"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"coEnergy [J_per_m3]"	"Br []"	"Bt []"
1	2000000000	0	0.0296073351066515	0.361026851844181	55137.7271308791	0.448650864019906	-0.0107267773124404
1	2000000000	0.513618	0.0297677552469918	0.310698252601736	39533.008178929	0.280862167137384	0.0480204989615625
1	2000000000	1.027236	0.0298921582159411	0.421674585167764	82737.7398182839	0.203886172908267	0.150317991883303
1	2000000000	1.540854	0.0300977696683185	0.435707386555756	88537.3767550249	0.448012441510911	0.0600709660476949
1	2000000000	2.054472	0.0303390801519954	0.496833090759816	93277.2103258466	0.491467433062944	0.00188066339559917
1	2000000000	2.56809	0.0306024387395036	0.525702445060832	106172.72049696	0.533865542582778	-0.0563669438852023
1	2000000000	3.081708	0.0308745087216728	0.52704125003427	110598.837167587	0.526364449793449	0.00637341521459463
1	2000000000	3.595326	0.0311450836002817	0.527259957241436	110607.993313698	0.52723194190474	-0.000369454020390579
1	2000000000	4.108944	0.0314160820405381	0.528496013164809	111142.403050451	0.52801363828433	-0.00714884673600164
1	2000000000	4.622562	0.0316882703085629	0.522912663757889	108806.96897227	0.526568681491666	0.0198442984376478
1	2000000000	5.13618	0.0319545246699839	0.510338894106483	103648.070649655	0.510164655174825	0.000842251128389308
1	2000000000	5.649798	0.0322122719831228	0.495685511941196	97924.4024583623	0.493443389732597	-0.0180953745269082
1	2000000000	6.163416	0.0324587472167432	0.429108840179224	74045.5484896783	0.438248832031178	0.0258788221127479
1	2000000000	6.677034	0.0326478866789683	0.301443989134248	35706.2889143304	0.298273646554509	0.0318252128213989
1	2000000000	7.190652	0.0327651861730219	0.173397036518551	11218.2878223205	0.158549487983095	0.0497720156030607
1	2000000000	7.70427	0.0328225008031559	0.142835299973202	8666.39435271309	0.147260863813073	-0.0245443726830813
1	2000000000	8.217888	0.0329480786370287	0.349560238606114	48102.0909409056	0.341677380622022	-0.0461267533491102
1	2000000000	8.731506	0.0331733840864756	0.542231663626635	115202.340998773	0.535532450970557	-0.0862986575845995
1	2000000000	9.245124	0.0334990459003682	0.692046588961412	189768.910220771	0.725419257819347	0.229437749590649
1	2000000000	9.758742	0.033849171722069	0.639453650110224	155967.105707756	0.637528730997495	0.0899867456145669
1	2000000000	10.27236	0.0341534997728672	0.5431672243409	127547.366581644	0.547096343375839	-0.0461445950026435
1	2000000000	10.785978	0.0344107364575529	0.490938782004766	107722.164897186	0.45416751865622	-0.178934899185927
1	2000000000	11.299596	0.0345326071574198	0.232588003525484	32369.2062294729	0.189205469804713	-0.0353173467189897
1	2000000000	11.813214	0.0346071435686434	0.101454254165641	-2603.95752341839	0.101305902085734	0.0498437052710611
1	2000000000	12.326832	0.034636948126795	0.0934846425479312	851.086834592666	0.0150270145906509	0.136258134570632
1	2000000000	12.84045	0.0346641267768067	0.0787027745789985	3412.22131183555	0.0702447757581166	-0.0187401914763357
1	2000000000	13.354068	0.0347052514221245	0.0917011433769865	3090.51777133101	0.0898994978919312	-0.0172266272866706
1	2000000000	13.867686	0.0347564762878524	0.109695408454464	4388.71821092161	0.109565829901643	-0.0183225928920327
1	2000000000	14.381304	0.0348140299177801	0.112105217731476	5003.52679126426	0.111589519638181	0.000996791764730136
1	2000000000	14.894922	0.0348712202387223	0.111209215208176	4920.6962269512	0.111111294401599	0.00161181912735053
1	2000000000	15.40854	0.0349281705360458	0.111735563139357	4970.21396968726	0.11065563327406	0.00246163734866378
1	2000000000	15.922158	0.0349861974322707	0.115029474328177	5065.07284890039	0.113096761005497	0.00193045272068358
1	2000000000	16.435776	0.0350423409829936	0.106076075065592	4452.65245519959	0.105521545064227	0.000582304427880428
1	2000000000	16.949394	0.035094589489345	0.0791134849346804	2989.38639421004	0.0979302166267933	-0.000667443317482964
1	2000000000	17.463012	0.035129962191543	0.0504667958601248	616.745368653959	0.0311427998953775	-0.0380384175915345
1	2000000000	17.97663	0.0351532452638093	0.0607220560193818	998.338849114923	0.0596568601067093	0.00480007161768734
1	2000000000	18.490248	0.0351913834176923	0.100339574348168	6243.23127734331	0.088989249728364	0.048374897535671
1	2000000000	19.003866	0.0352598299510258	0.196179952405017	19439.0105682801	0.250583279460682	0.120742274064798
1	2000000000	19.517484	0.0354094116899894	0.323494687060444	43067.3456594704	0.331593413793327	0.0262707176971683
