"Time [s]"	"Tro [mNewtonMeter]"
0	0
0.001	-1.76689080342925
0.002	-10.2834759162889
0.003	-28.4916969204374
0.004	-52.8582979315044
0.005	-73.756653741236
0.006	-78.0496823641121
0.007	-57.507475423196
0.008	-19.6829780072865
0.009	14.0876052822249
0.01	23.669873872191
0.011	8.2362442350848
0.012	-16.4802247353797
0.013	-37.5383571819869
0.014	-50.3684068458684
0.015	-56.2990255132965
0.016	-58.7494143719364
0.017	-60.0779131060984
0.018	-62.9692538980135
0.019	-69.404280042635
0.02	-78.9469240528502
0.021	-92.9903380022959
0.022	-113.665095830691
0.023	-143.62215786528
0.024	-175.031910357531
0.025	-176.213626011035
0.026	-147.507993334284
0.027	-123.826681656708
0.028	-120.586283430043
0.029	-135.488349618106
0.03	-136.600882010218
0.031	-99.9021841583037
0.032	-42.5909165917497
0.033	11.234322295753
0.034	42.7108961669303
0.035	50.2478234135076
0.036	54.1781823432536
0.037	72.6176685781866
0.038	90.8996605391049
0.039	87.7668069567337
0.04	81.0342702161385
0.041	88.7236536765864
0.042	82.7421823878195
0.043	51.1392560963715
0.044	23.2337384903469
0.045	15.3720622062521
0.046	30.3784541590341
0.047	62.1126378203018
0.048	69.3537669402936
0.049	38.8462523632616
0.05	10.1696174471008
0.051	1.90460935404054
0.052	14.0028292454554
0.053	48.4151465155517
0.054	94.8896858965123
0.055	120.132574609865
0.056	131.182679193793
0.057	154.899431267054
0.058	169.361306755738
0.059	180.687122023127
0.06	185.150305522229
0.061	182.998784819972
0.062	184.946323289634
0.063	172.170694474134
0.064	172.322485586824
0.065	161.145326769474
0.066	131.690513305584
0.067	134.136174211084
0.068	124.781956999838
0.069	86.1698284793366
0.07	70.3146570411873
0.071	94.1194121214309
0.0720000000000001	109.753162255057
0.0730000000000001	93.106187182295
0.0740000000000001	90.2046840197465
0.0750000000000001	118.68864265583
0.0760000000000001	137.841204696872
0.0770000000000001	145.516070770065
0.0780000000000001	168.337287137875
0.0790000000000001	182.586213827672
0.0800000000000001	199.419387482788
0.0810000000000001	213.068676656324
0.0820000000000001	223.799015077026
0.0830000000000001	230.908138673787
0.0840000000000001	237.324285069625
0.0850000000000001	240.014214632841
0.0860000000000001	242.141194093298
0.0870000000000001	238.562676924335
0.0880000000000001	236.955821193309
0.0890000000000001	233.326985190087
0.0900000000000001	226.896989082938
0.0910000000000001	220.274160448643
0.0920000000000001	205.782606528966
0.0930000000000001	208.479556023656
0.0940000000000001	202.730074827455
0.0950000000000001	212.419947561771
0.0960000000000001	218.029432574641
0.0970000000000001	225.823747102231
0.0980000000000001	236.559169642438
0.0990000000000001	246.265888344754
0.1	261.723271173587
0.101	270.08926472747
0.102	287.749068134921
0.103	292.521933027719
0.104	306.480784501778
0.105	325.646760512469
0.106	326.84866543572
0.107	347.321891103737
0.108	368.988369035281
0.109	364.974569607804
0.11	376.586130797237
0.111	410.254371189222
0.112	426.541724302341
0.113	416.262866142811
0.114	409.223914566688
0.115	432.839201714681
0.116	471.550358297949
0.117	503.938659982044
0.118	529.608763726692
0.119	552.948352398344
0.12	580.014174107949
0.121	612.814095339427
0.122	637.882416987618
0.123	637.338298708863
0.124	622.086919431332
0.125	615.876887901323
0.126	627.164340110068
0.127	653.516030918177
0.128	670.509166287672
0.129	662.284781495742
0.13	653.077779558135
0.131	664.172627192485
0.132	686.487168064809
0.133	687.085682310487
0.134	672.894444073489
0.135	676.512504536514
0.136	692.075629467506
0.137	690.63385171764
0.138	677.273050976223
0.139	678.7948100397
0.14	688.189864717749
0.141	683.724906517451
0.142	671.360554031292
0.143	671.073445633562
0.144	677.251980183637
0.145	672.31462511488
0.146	659.08205034491
0.147	654.511897028225
0.148	659.566489463463
0.149	660.711528656694
0.15	649.362270984396
0.151	636.370370859278
0.152	631.604587632162
0.153	634.168175303723
0.154	637.004362832372
0.155	631.838487394678
0.156	620.034922413319
0.157	609.64371079809
0.158	604.868721844762
0.159	605.52839292349
0.16	608.823232005287
0.161	610.157219274039
0.162	607.183568934222
0.163	601.702011442235
0.164	597.167303918008
0.165	596.153313995834
0.166	599.827144933146
0.167	607.375303557818
0.168	615.160093425838
0.169	618.767312849603
0.17	617.390527226903
0.171	615.214921596917
0.172	616.718314842731
0.173	623.165815289235
0.174	632.612831660914
0.175	639.596120371021
0.176	639.871742514383
0.177	637.707105019622
0.178	639.509346193588
0.179	645.974090002599
0.18	652.500414008414
0.181	653.630847183832
0.182	651.31565887265
0.183	651.536418272824
0.184	655.486402324141
0.185	658.64489935825
0.186	656.852125976779
0.187	653.160687498705
0.188	652.303798766118
0.189	654.132926621242
0.19	654.384717284676
0.191	650.50870168728
0.192	645.715825615575
0.193	643.325195219627
0.194	643.001515393393
0.195	641.793386307953
0.196	637.564092214935
0.197	631.931150725714
0.198	627.76490543649
0.199	626.127654574723
0.2	625.939497284161
0.201	624.59548600744
0.202	620.702018171984
0.203	615.870224461358
0.204	612.76125219316
0.205	612.832018752202
0.206	615.72060533538
0.207	619.082268025561
0.208	620.133180578913
0.209	618.060273134637
0.21	615.426052856624
0.211	615.405565728774
0.212	619.028777213684
0.213	625.354169249217
0.214	630.859367682358
0.215	632.317421427952
0.216	630.950757781909
0.217	631.093920736825
0.218	635.257511695068
0.219	641.987118790855
0.22	646.635322567074
0.221	646.52482573398
0.222	645.087059920816
0.223	646.675192552907
0.224	651.255677683904
0.225	654.460709485605
0.226	653.264867427931
0.227	650.814463184833
0.228	651.098693730096
0.229	653.687257055073
0.23	654.65782735185
0.231	651.762274112575
0.232	648.129620816467
0.233	646.97919207996
0.234	647.660495573997
0.235	647.044355851308
0.236	643.393250523099
0.237	639.056870424468
0.238	636.741644899679
0.239	636.592038885008
0.24	636.583820383631
0.241	634.408686010712
0.242	630.319363669282
0.243	626.950442060555
0.244	626.100798482187
0.245	627.481367297965
0.246	628.936009066364
0.247	627.962277114225
0.248	624.757028898297
0.249	622.168909991233
0.25	622.418302929157
0.251	625.671951247501
0.252	629.715529550853
0.253	631.091131234948
0.254	629.173214867382
0.255	627.092095913003
0.256	627.963036188896
0.257	631.910691454603
0.258	636.483127958901
0.259	638.245593545906
0.26	636.795367714914
0.261	635.635825339016
0.262	637.635919437659
0.263	642.202986401352
0.264	645.548841383727
0.265	644.999928854984
0.266	642.893182234145
0.267	643.097834429355
0.268	646.225120076884
0.269	649.074873729729
0.27	648.425990797763
0.271	645.525657711103
0.272	644.136617973436
0.273	645.472812901991
0.274	647.147467587976
0.275	646.046793608084
0.276	642.43896446997
0.277	639.775775253515
0.278	639.750049066409
0.279	641.005417880387
0.28	640.656282749466
0.281	637.467119155186
0.282	633.968942176819
0.283	632.693711626914
0.284	633.751208228
0.285	635.069137620778
0.286	634.065250327242
0.287	630.839315540871
0.288	628.125033195971
0.289	628.034629046692
0.29	630.410671074068
0.291	632.794243648463
0.292	632.436327670802
0.293	629.715423573886
0.294	627.749325593746
0.295	628.666794940835
0.296	632.120730022752
0.297	635.407865105018
0.298	635.701987462629
0.299	633.51064895883
0.3	632.329304802895
0.301	634.513861215457
0.302	638.774471389393
0.303	641.622247290832
0.304	640.911584500677
0.305	638.705665523077
0.306	638.634779802587
0.307	641.470119390402
0.308	644.48622867313
0.309	644.508293784501
0.31	642.046919601173
0.311	640.604766801219
0.312	642.008431553972
0.313	644.719652302976
0.314	645.334512395477
0.315	642.712020398262
0.316	639.929600956132
0.317	639.783538565348
0.318	641.744593617102
0.319	642.809849647341
0.32	640.742997912103
0.321	637.300484578687
0.322	635.705775292496
0.323	636.75487336076
0.324	638.521779955803
0.325	638.108958765244
0.326	634.979664243125
0.327	632.075361208378
0.328	631.751452773574
0.329	633.723363918658
0.33	635.60000353979
0.331	634.944261265382
0.332	632.078184597561
0.333	629.988143730912
0.334	630.886690997951
0.335	633.99196220278
0.336	636.330946844587
0.337	635.619044751208
0.338	633.018495814744
0.339	631.834325095434
0.34	633.786598707042
0.341	637.343874230235
0.342	639.174022861671
0.343	637.642953314402
0.344	635.291867829075
0.345	635.31575350676
0.346	638.185317458021
0.347	641.335406319602
0.348	641.555445258707
0.349	638.973939081571
0.35	637.145062528068
0.351	638.49375216025
0.352	641.654373637283
0.353	643.150796845192
0.354	641.371486498406
0.355	638.69267545521
0.356	638.308217624328
0.357	640.498427094832
0.358	642.523992913921
0.359	641.581967465115
0.36	638.483057056173
0.361	636.586050778903
0.362	637.478535391529
0.363	639.786336241029
0.364	640.365538361269
0.365	637.865458111374
0.366	634.82866692644
0.367	634.201566239278
0.368	636.186528571898
0.369	638.361069884095
0.37	637.986441654852
0.371	635.18244673866
0.372	632.890698424245
0.373	633.411041675557
0.374	636.098856914397
0.375	637.912233061474
0.376	636.599601481783
0.377	633.839949920891
0.378	632.702499490598
0.379	634.413259695606
0.38	637.522616396448
0.381	638.752391711278
0.382	636.668710112111
0.383	634.04560828917
0.384	634.1297813686
0.385	636.950316299374
0.386	639.864227509697
0.387	639.863508386691
0.388	637.198961437371
0.389	635.36468969436
0.39	636.574629062644
0.391	639.707788655244
0.392	641.369640570092
0.393	639.625924132014
0.394	636.954851310412
0.395	636.438334626117
0.396	638.630053394077
0.397	641.224990795609
0.398	641.098819689048
0.399	638.272523279378
0.4	636.082731710563
