"Time [s]"	"Pro [W]"
0.168	91.4987917131721
0.169	92.5750121175802
0.17	92.1635031532204
0.171	91.5151027028631
0.172	91.9629178895278
0.173	93.895827443821
0.174	96.764274330324
0.175	98.9123891696241
0.176	98.9976564749226
0.177	98.3289863191468
0.178	98.8855520494382
0.179	100.8949078944
0.18	102.94390388262
0.181	103.300905981284
0.182	102.570409580216
0.183	102.639952571246
0.184	103.88824852593
0.185	104.891843052352
0.186	104.321607466396
0.187	103.152349792195
0.188	102.881873910834
0.189	103.459665871063
0.19	103.53932916426
0.191	102.316404772024
0.192	100.814247220982
0.193	100.069140937702
0.194	99.9684695695721
0.195	99.5931629753216
0.196	98.284888559558
0.197	96.5558472533481
0.198	95.286882217914
0.199	94.7905018418047
0.2	94.7335395147285
0.201	94.3271543844066
0.202	93.1548274055622
0.203	91.7101631467545
0.204	90.7865767318717
0.205	90.8075474593929
0.206	91.6656085404411
0.207	92.6692782468277
0.208	92.9841635922369
0.209	92.3635697452439
0.21	91.5779263232796
0.211	91.5718292870949
0.212	92.6532650575097
0.213	94.5564480530249
0.214	96.2285990696844
0.215	96.6739237044472
0.216	96.2564816016712
0.217	96.300167818228
0.218	97.5750244670118
0.219	99.6532986615855
0.22	101.101569880246
0.221	101.067020425801
0.222	100.618007093697
0.223	101.114037626088
0.224	102.551518550272
0.225	103.563378131649
0.226	103.185258268589
0.227	102.412611846404
0.228	102.502084808371
0.229	103.318736970383
0.23	103.625772301722
0.231	102.711125417564
0.232	101.569377477293
0.233	101.209126613649
0.234	101.422396031332
0.235	101.229515215318
0.236	100.090314042756
0.237	98.7456714120866
0.238	98.0314802941072
0.239	97.985419615477
0.24	97.9828896180576
0.241	97.3144408425496
0.242	96.063929755761
0.243	95.039791847206
0.244	94.7823704396063
0.245	95.2008265509526
0.246	95.6427316760074
0.247	95.3468087545268
0.248	94.3759534938446
0.249	93.5956493102868
0.25	93.6706989370282
0.251	94.6525726915769
0.252	95.879963033416
0.253	96.2993165062554
0.254	95.7148893794982
0.255	95.0827434830678
0.256	95.3470392632496
0.257	96.5495952106202
0.258	97.9518949426421
0.259	98.4951170897056
0.26	98.0480231080332
0.261	97.6912763933066
0.262	98.3070351274916
0.263	99.7203265987906
0.264	100.762112172562
0.265	100.590828243976
0.266	99.9347869496671
0.267	99.9984215605635
0.268	100.973340072621
0.269	101.865857557773
0.27	101.662287894985
0.271	100.754874938987
0.272	100.321733517823
0.273	100.738379377162
0.274	101.261781265419
0.275	100.917620373087
0.276	99.7936247115792
0.277	98.967963582259
0.278	98.9600044901621
0.279	99.3487600423005
0.28	99.2405653370412
0.281	98.2549927054505
0.282	97.1795795299455
0.283	96.7890186640597
0.284	97.1128391625448
0.285	97.5171648451976
0.286	97.2091074636716
0.287	96.222481830515
0.288	95.396239379864
0.289	95.368781167626
0.29	96.0917632126696
0.291	96.8197797371921
0.292	96.710285865223
0.293	95.879930761489
0.294	95.2821526250173
0.295	95.5608700454313
0.296	96.6137894369987
0.297	97.6212182499333
0.298	97.7116144498848
0.299	97.0391289761054
0.3	96.6775573961301
0.301	97.3467099929388
0.302	98.6584193308475
0.303	99.5400555301682
0.304	99.3196758962109
0.305	98.637166407588
0.306	98.615273448157
0.307	99.4928594594339
0.308	100.430664041898
0.309	100.437540997908
0.31	99.6718648458335
0.311	99.2246058704272
0.312	99.6599153750384
0.313	100.50342629637
0.314	100.69521512285
0.315	99.8784733375654
0.316	99.0155604038556
0.317	98.9703654357023
0.318	99.5780203023191
0.319	99.9088812943981
0.32	99.2674322995576
0.321	98.2036315020609
0.322	97.7127788825325
0.323	98.0355535916615
0.324	98.5803786216367
0.325	98.4529501923999
0.326	97.4896888588354
0.327	96.5999215298964
0.328	96.5009412053654
0.329	97.104305906915
0.33	97.6802657531207
0.331	97.4788181829289
0.332	96.6007845275685
0.333	95.9629970197652
0.334	96.2369348144002
0.335	97.1866370272771
0.336	97.9050605621953
0.337	97.6861184228541
0.338	96.8884146616207
0.339	96.5262605981711
0.34	97.1236855824546
0.341	98.2170040523958
0.342	98.7818790078716
0.343	98.3092040246974
0.344	97.5855788995198
0.345	97.5929170746824
0.346	98.476514156751
0.347	99.451075498323
0.348	99.5193295286537
0.349	98.7200443351926
0.35	98.1557383997722
0.351	98.5717244765666
0.352	99.550023820334
0.353	100.01489300794
0.354	99.4622656290516
0.355	98.6331542607561
0.356	98.5144465409594
0.357	99.1916662476478
0.358	99.8200423438217
0.359	99.5275580513086
0.36	98.5684222484111
0.361	97.983576223496
0.362	98.2585119842621
0.363	98.9712310021734
0.364	99.1505105260244
0.365	98.3778257694192
0.366	97.4433285359091
0.367	97.2509093840542
0.368	97.8606255859733
0.369	98.5307613134624
0.37	98.4151478301817
0.371	97.5519659999271
0.372	96.8492978371929
0.373	97.00861632681
0.374	97.8336554704663
0.375	98.3922544755109
0.376	97.9877477269666
0.377	97.1400377256598
0.378	96.7917074045783
0.379	97.3158439985979
0.38	98.2721014103004
0.381	98.651599056739
0.382	98.0090237899378
0.383	97.2030848803039
0.384	97.2288950932374
0.385	98.0957440919156
0.386	98.9953311230306
0.387	98.9951086077624
0.388	98.172345955337
0.389	97.6079521472577
0.39	97.9800601848885
0.391	98.946930783157
0.392	99.4616931061008
0.393	98.9216075804192
0.394	98.0971409571171
0.395	97.9381084422842
0.396	98.6138137896553
0.397	99.4168344530368
0.398	99.3777146491453
0.399	98.5034289471979
0.4	97.8286953369176
0.401	98.0755254075744
0.402	98.9175230841395
0.403	99.3683611760576
0.404	98.8560436274885
0.405	98.0108694236595
0.406	97.7467802218793
0.407	98.2861060559522
0.408	98.9975988982312
0.409	98.9259078645039
0.41	98.0888709207822
0.411	97.4161208833022
0.412	97.5543089748606
0.413	98.3448505346049
0.414	98.8763670216623
0.415	98.4382874814771
0.416	97.5163033461689
0.417	97.1350471435158
0.418	97.6456580248641
0.419	98.5432865411352
0.42	98.8082234166072
0.421	98.136974925404
0.422	97.3848351558749
0.423	97.3547618923657
0.424	98.1111948846792
0.425	98.8734320623839
0.426	98.7200520515724
0.427	97.903039554723
0.428	97.4026460627311
0.429	97.7561074984497
0.43	98.673485175812
0.431	99.1499437748815
0.432	98.5727295537914
0.433	97.6930926158528
0.434	97.5392694803766
0.435	98.2401372362578
0.436	99.0963532840319
0.437	99.1197714593242
0.438	98.2797133968071
0.439	97.6406053862215
0.44	97.8874383221421
0.441	98.7358511062831
0.442	99.2497601803148
0.443	98.7556891019397
0.444	97.8809201916425
0.445	97.5914586455962
0.446	98.1429148895073
0.447	98.9549618671125
0.448	99.0475197378094
0.449	98.2300915080554
0.45	97.4749082280811
0.451	97.5746735469258
0.452	98.3912936821288
0.453	99.0461554901977
0.454	98.7594692812995
0.455	97.9469357415944
0.456	97.5677982011929
0.457	98.0624395677446
0.458	98.9311069055056
0.459	99.1326776951046
0.46	98.37433535441
0.461	97.5664114647447
0.462	97.5520059159166
0.463	98.2859024702944
0.464	98.9701249569843
0.465	98.752021741933
0.466	97.8303368745583
0.467	97.2684834362621
0.468	97.6032479542773
0.469	98.4599087152223
0.47	98.9096298692876
0.471	98.4125242900348
0.472	97.6415445616075
0.473	97.495422751563
0.474	98.1851382904849
0.475	99.02942507042
0.476	99.0205001549091
0.477	98.1711791300024
0.478	97.4912213685907
0.479	97.6783102925803
0.48	98.5118851366993
0.481	99.0597378869939
0.482	98.5969164261089
0.483	97.7043452185837
0.484	97.4240568501574
0.485	97.9909361039422
0.486	98.8498249924383
0.487	99.0577507362025
0.488	98.3784020306497
0.489	97.6790657200326
0.49	97.7706986399718
