"Time [s]"	"InducedVoltage(Phase_A) [V]"	"InducedVoltage(Phase_C) [V]"	"InducedVoltage(Phase_B) [V]"
0	-36.2175277829435	404.389322041792	-347.4978531595
0.001	37.4887241421296	272.181162868081	-291.414779848315
0.002	111.194976067203	139.973003694369	-235.33170653713
0.003	170.170431078514	55.7193176897189	-227.939369148322
0.004	212.415535204481	-25.1377468974038	-208.268110003562
0.005	243.159274949072	-110.033405544201	-157.058147774181
0.006	256.65162941799	-172.645088985047	-70.4179739866386
0.007	215.288025962493	-214.725388145043	5.19843900081551
0.008	158.344636643532	-236.409636190343	61.7117614253018
0.009	109.937155031725	-231.341186001827	109.884233644897
0.01	57.5696402207944	-212.502312361468	155.791682823607
0.011	-4.0234786265172	-185.178256880542	216.202499864265
0.012	-68.6800646710011	-134.466471985263	255.807781205792
0.013	-137.604548864576	-79.0453966891238	259.256372137349
0.014	-205.270600233734	-25.3377678609206	203.935933558633
0.015	-286.616232307963	31.9793752636899	144.275370757027
0.016	-291.32271859905	118.08525258911	89.3227194764195
0.017	-234.899401642389	224.101349438267	46.1984363778598
0.018	-156.177056511316	303.506446178973	-7.20701261786888
0.019	-98.3366122547181	329.899597190135	-91.7221033027222
0.02	-78.6466056746463	237.039145202967	-227.551985813718
0.021	-39.8688684490923	153.220489286247	-329.29135975412
0.022	79.4704091343129	149.916835903507	-278.107985644094
0.023	202.834834324014	158.87402378347	-218.932640513908
0.024	264.622222396348	47.1367278386939	-269.446426528216
0.025	305.434953880984	-141.953839016242	-188.466545732929
0.026	207.984336643776	-125.987150785101	-21.0822626306657
0.027	131.375119839282	-180.46649423576	-37.8192841369029
0.028	127.868265529188	-214.380715805092	4.48514031381708
0.029	132.876877636324	-197.066463416199	75.2969613274663
0.03	62.2150873793121	-216.776168905048	219.423459464991
0.031	-75.2671568687235	-202.44708595722	258.928058262305
0.032	-122.214849264132	-124.242135569847	260.995156456057
0.033	-149.516082992171	-76.6959769018685	235.413188125778
0.034	-182.673353939786	-28.7458774716437	197.334303202232
0.035	-284.634666673406	32.1818351540215	143.832500448827
0.036	-297.122758015186	141.206387815133	89.3140044877713
0.037	-258.829472193307	235.918235513703	44.6864451413384
0.038	-138.755338955442	239.920281294239	21.6455968427842
0.039	-54.5294936089871	255.779404499081	-51.9484075127758
0.04	-20.2305298719135	287.573230386783	-207.146694717972
0.041	10.7797470070854	191.66113631467	-296.00620307482
0.042	45.5452987038306	97.0632981891452	-226.18785822037
0.043	142.136656161079	26.2791412942175	-231.891196175303
0.044	278.60943236057	-10.4155690513432	-200.846244942072
0.045	305.425568451113	-81.4882311932267	-144.716503946275
0.046	276.900254538152	-160.573865577087	-93.6707138365958
0.047	234.556098463035	-232.816223322959	-44.6114828043542
0.048	145.080253960195	-208.578485283878	14.9981748915995
0.049	85.5463401964496	-251.818704480766	121.039721430611
0.05	43.0025740493196	-237.531518205878	205.46635158102
0.051	-15.2468580919221	-186.620625006431	271.447557399137
0.052	-97.5389063372052	-128.696149172049	290.730501524037
0.053	-182.257386034911	-80.4073518945325	282.138845027227
0.054	-217.32279140772	-54.5358784172144	229.339735274026
0.055	-244.902695986309	-24.58692718007	126.620343691539
0.056	-316.94116925587	169.197631989084	80.4142108707395
0.057	-234.97983385094	236.871034207592	96.8788671097056
0.058	-97.5108354293644	250.653868625458	73.7058195924425
0.059	-140.920608263436	287.701414944111	-176.411197261755
0.06	-153.558189813082	115.797385574346	-162.931183238894
0.061	47.0946030285609	185.681143540114	-270.655798223249
0.062	103.93797376354	190.939478267106	-175.068610354248
0.063	92.4989814076864	2.08892483383233	-224.862773870273
0.064	284.290990971539	-17.7428232452073	-235.060191208623
