"Time [s]"	"CoreLoss [W]"
0.838000000000001	234.730282227913
0.839000000000001	226.878618370162
0.840000000000001	226.941072648789
0.841000000000001	227.765361936707
0.842000000000001	231.766465239394
0.843000000000001	239.069479503789
0.844000000000001	228.975542807066
0.845000000000001	229.673769915056
0.846000000000001	230.909554084228
0.847000000000001	228.222203791175
0.848000000000001	238.786454443871
0.849000000000001	232.679424544412
0.850000000000001	234.339979489633
0.851000000000001	231.266891621399
0.852000000000001	231.144099325898
0.853000000000001	235.071363879205
0.854000000000001	238.131915144127
0.855000000000001	240.334512124179
0.856000000000001	232.856192631165
0.857000000000001	231.320947668222
0.858000000000001	229.878545881166
0.859000000000001	233.217924787055
0.860000000000001	236.418777882394
0.861000000000001	227.729846143499
0.862000000000001	226.683787089824
0.863000000000001	233.222372105414
0.864000000000001	229.553965678642
0.865000000000001	237.087466990904
0.866000000000001	231.927119133896
0.867000000000001	229.772432671976
0.868000000000001	229.332197073852
0.869000000000001	226.4606342631
0.870000000000001	234.867380417378
0.871000000000001	236.133346193364
0.872000000000001	232.199709549218
0.873000000000001	231.923946489193
0.874000000000001	229.047261625954
0.875000000000001	229.921627025087
0.876000000000001	237.645006691871
0.877000000000001	233.403028905691
0.878000000000001	229.014017320565
0.879000000000001	224.506011844163
0.880000000000001	228.820932093164
0.881000000000001	234.727268133903
0.882000000000001	235.978624012829
0.883000000000001	236.137737499005
0.884000000000001	231.431552287125
0.885000000000001	231.53464241866
0.886000000000001	229.820162157118
0.887000000000001	234.359645318264
0.888000000000001	236.558862145843
0.889000000000001	232.060762628049
0.890000000000001	231.078432542767
0.891000000000001	227.002376902033
0.892000000000001	230.296304671533
0.893000000000001	240.426024264359
0.894000000000001	234.072550387059
0.895000000000001	236.283347003262
0.896000000000001	231.144893489221
0.897000000000001	226.463117362085
0.898000000000001	236.951862939094
0.899000000000001	234.118052477654
0.900000000000001	231.438388683993
0.901000000000001	226.905971741907
0.902000000000001	231.323052454939
0.903000000000001	233.218938420036
