"Time [s]"	"InducedVoltage(EndConnection) [mV]"
0	0
0.001	11.0073017913338
0.002	50.9235807886513
0.003	108.289639969618
0.004	172.592674740057
0.005	235.818264848201
0.006	305.250920584912
0.007	357.778279344024
0.008	363.50144574468
0.009	346.856120640838
0.01	309.413763472094
0.011	256.779535020595
0.012	192.087566946915
0.013	115.613156799346
0.014	9.4704708673613
0.015	-53.1037238725861
0.016	-112.683856984212
0.017	-155.769474805911
0.018	-172.755498590035
0.019	-167.57437354754
0.02	-144.794093595296
0.021	-104.64122921877
0.022	-2.35145425103917
0.023	88.3063927786746
0.024	142.41978210407
0.025	201.223734093601
0.026	229.991649060741
0.027	231.533435650733
0.028	193.897756575542
0.029	122.336893875985
0.03	5.53955954897198
0.031	-57.2448991462849
0.032	-126.582061457245
0.033	-179.778859586318
0.034	-217.685440902376
0.035	-229.53359459465
0.036	-228.136380783917
0.037	-206.774007097421
0.038	-167.607394475919
0.039	-143.100111896898
0.04	-86.2665870745261
0.041	-36.0724590226793
0.042	37.425257959565
0.043	105.135883633683
0.044	153.26330104388
0.045	193.617322578707
0.046	217.993341958092
0.047	236.645583962536
0.048	238.523451043222
0.049	181.185682334883
0.05	132.320560463906
0.051	74.6913012803921
0.052	4.55709979435386
0.053	-56.5644582711509
0.054	-113.772378266176
0.055	-154.128576552826
0.056	-176.560419988075
0.057	-212.186934456482
0.058	-202.138652621941
0.059	-207.850189980053
0.06	-211.390178365128
0.061	-162.008083411312
0.062	-120.397464323609
0.063	-103.905571441956
0.064	-71.6998681192136
0.065	-0.330775083538359
0.066	48.1596855769629
0.067	85.3728741796915
0.068	152.557806087525
0.069	194.365584118195
0.07	211.157720475714
0.071	203.996499971889
0.0720000000000001	208.91378214484
0.0730000000000001	182.752887768197
0.0740000000000001	154.713773115049
0.0750000000000001	96.8520859409776
0.0760000000000001	24.2391560970837
0.0770000000000001	-9.38239587388191
0.0780000000000001	-78.314941286798
0.0790000000000001	-142.76678573266
0.0800000000000001	-161.23742902136
0.0810000000000001	-181.306260527586
0.0820000000000001	-224.206745243694
0.0830000000000001	-236.952794892379
0.0840000000000001	-245.995111582835
0.0850000000000001	-281.267912134986
0.0860000000000001	-264.586894948458
0.0870000000000001	-277.811237135713
0.0880000000000001	-211.124109915269
0.0890000000000001	-215.492465892339
0.0900000000000001	-156.756775364092
0.0910000000000001	-102.106771778225
0.0920000000000001	-56.6996425157918
0.0930000000000001	3.20923860939787
0.0940000000000001	28.3340279610396
0.0950000000000001	44.8557745438657
0.0960000000000001	105.017688277654
0.0970000000000001	138.306764025742
0.0980000000000001	165.515997924758
0.0990000000000001	157.42296454399
0.1	152.53479587194
0.101	139.850749855615
0.102	141.143636442081
0.103	130.125792139298
0.104	135.387501397913
0.105	91.6370905531549
0.106	34.2571662772663
0.107	68.7888671890946
0.108	8.33313853419531
0.109	-31.0427701271417
0.11	2.1721157500629
0.111	-43.6104730029156
0.112	-83.4946655315551
0.113	-78.9405710556871
0.114	-104.910172485607
0.115	-88.6707912281755
0.116	-140.104734836601
0.117	-152.700533516531
0.118	-121.016362643544
0.119	-136.995381009553
0.12	-134.207341147064
0.121	-149.604383754804
0.122	-124.621538170619
0.123	-123.401988778533
0.124	-142.868081460681
0.125	-118.813562323158
0.126	-128.85590397729
0.127	-126.653388942173
0.128	-108.018481869982
0.129	-119.482289705369
0.13	-117.53745348233
0.131	-116.008356317058
0.132	-94.2094592331724
0.133	-88.9141260735121
0.134	-100.17494269712
0.135	-63.436592220764
0.136	-54.4460096675034
0.137	-74.1004066400594
0.138	-52.1858294929747
0.139	-46.0119602668546
0.14	-31.4973614691755
0.141	-45.0088260227279
0.142	-46.0322150135537
0.143	-24.9829241514142
0.144	-19.8757872797322
0.145	-43.9908068186627
0.146	-34.8902974379379
0.147	-32.5345357404972
0.148	-12.6807561620266
0.149	-22.5294606817437
0.15	-42.0922382877154
0.151	-24.4996525687498
0.152	-23.6602488211759
0.153	-10.2590132007815
0.154	-14.4137011081329
0.155	-31.3452869587032
0.156	-30.4008681649964
0.157	-35.7732209464016
0.158	-22.354900551223
0.159	-26.7391287525061
0.16	-21.8312932503371
0.161	-27.2778140114477
0.162	-36.4373326105045
0.163	-44.6090107528115
0.164	-49.8292136871352
0.165	-46.6417750736945
0.166	-49.0922540387498
0.167	-45.8844684538438
0.168	-47.9424887264049
0.169	-41.929668635597
0.17	-52.8824687972967
0.171	-62.4286114544416
0.172	-54.09780343017
0.173	-55.5370627897092
0.174	-49.3269993413039
0.175	-44.3419252937369
0.176	-44.5722968109778
0.177	-58.3650577814635
0.178	-57.5390421443849
0.179	-41.8046452419383
0.18	-34.6055591352876
0.181	-39.8080467035418
0.182	-47.5782781128174
0.183	-44.5274074450741
0.184	-38.1391831632259
0.185	-28.9165477157455
0.186	-32.2574524788859
0.187	-45.3942414846511
0.188	-41.9209240173986
0.189	-23.5991414575679
0.19	-22.3127356290334
0.191	-33.861724105562
0.192	-36.8202373582103
0.193	-32.609434245867
0.194	-24.4268825875071
0.195	-20.2991078506209
0.196	-25.3055444004975
0.197	-34.7033043112369
0.198	-35.6318834416934
0.199	-28.8829717316214
0.2	-21.2334828586544
0.201	-23.3323423191596
0.202	-27.2924543359364
0.203	-35.9808590188453
0.204	-41.1834275594208
0.205	-40.3476475238549
0.206	-32.9658396387234
0.207	-24.6660403797373
0.208	-30.6917319916195
0.209	-31.3924042333585
0.21	-40.8236469303215
0.211	-50.4278026937288
0.212	-43.1516787096041
0.213	-36.0174419068993
0.214	-23.3893896165235
0.215	-31.7396070273835
0.216	-38.831753234647
0.217	-42.3678261587236
0.218	-47.6382115411683
0.219	-32.0964387531672
0.22	-22.3864892725158
0.221	-28.974227942298
0.222	-44.4672122781025
0.223	-37.9450806059422
0.224	-27.732100255762
0.225	-20.4295242078652
0.226	-25.8087360620286
0.227	-35.8481591461283
0.228	-38.2238781709322
0.229	-25.2932455254897
0.23	-13.684204282537
0.231	-24.4551366395751
0.232	-34.1692259538786
0.233	-30.2591909518285
0.234	-20.6477366257486
0.235	-14.2928504695333
0.236	-19.8379254848094
0.237	-27.3013535352449
0.238	-31.3325289717685
0.239	-24.3411469023113
0.24	-13.6499863981933
0.241	-15.4392364188748
0.242	-23.420182978252
0.243	-29.7744401854859
0.244	-25.907558075639
0.245	-25.4127130408129
0.246	-14.8481143997193
0.247	-13.2687362431839
0.248	-23.1173315702691
0.249	-30.9510448148111
0.25	-29.7732494204811
0.251	-20.8959000471132
0.252	-21.1528187322218
0.253	-10.9697524821534
0.254	-16.0905928265394
0.255	-30.6607115707807
0.256	-29.6357087983985
0.257	-23.7784328171575
0.258	-12.4638973220056
0.259	-13.5618651611394
0.26	-17.0364316503958
0.261	-23.7007998064682
0.262	-31.384671164719
0.263	-18.3752284021541
0.264	-9.71198706860125
0.265	-11.6855294371287
0.266	-21.7595160576442
0.267	-25.1522917555499
0.268	-16.8856978174847
0.269	-11.1002744961949
0.27	-8.90848291015996
0.271	-16.0796291965365
0.272	-26.3301284048958
0.273	-17.8796384197356
0.274	-10.363450137124
0.275	-7.58861575087498
0.276	-14.2504297058841
0.277	-19.8872600864529
0.278	-15.9207159202389
0.279	-13.6794437893559
0.28	-4.95878446961275
0.281	-8.73005483832505
0.282	-17.0190168919263
0.283	-19.1441661447841
0.284	-13.3650239024872
0.285	-5.26120572580998
0.286	-8.1654797527619
0.287	-7.50607371234006
0.288	-13.1430332931575
0.289	-19.8397407502873
0.29	-12.8971120424565
0.291	-5.71869947455124
0.292	-1.71712718164546
0.293	-9.09389206302669
0.294	-13.9123144634939
0.295	-12.5493725121988
0.296	-13.7412078393684
0.297	-4.21326831930718
0.298	-0.288620147463961
0.299	-6.79249172835707
0.3	-13.1392425147805
0.301	-13.5635903963155
0.302	-4.70820151635219
0.303	-3.14229900499376
0.304	0.0222346715492497
0.305	-6.40970577219391
0.306	-15.8686920613497
0.307	-10.3297132185744
0.308	-4.09469449260194
0.309	3.90936650253304
0.31	-5.18671836964493
0.311	-10.6552357838951
0.312	-8.12870933983821
0.313	-6.86592136499645
0.314	2.30380995568623
0.315	-0.458153886156477
0.316	-9.27149746045644
0.317	-11.6067932682444
0.318	-4.45737610634163
0.319	2.08068468751047
0.32	1.11777851866807
0.321	-4.18380005637667
0.322	-6.57702868724769
0.323	-11.1393676149292
0.324	0.193315631993526
0.325	5.36642697120376
0.326	-0.127299784520932
0.327	-6.48071384467836
0.328	-8.06067759516645
0.329	-1.31875705441844
0.33	-1.79263876329445
0.331	6.51845581540588
0.332	0.889339276628071
0.333	-5.38908219333781
0.334	-5.15417718976053
0.335	-2.44957035281171
0.336	7.29171514786929
0.337	3.96571185156021
0.338	0.467151435435027
0.339	-0.344372551698904
0.34	-10.0222182421537
0.341	1.68443734465014
0.342	8.63924555050133
0.343	4.93021177073831
0.344	-1.08845264237475
0.345	-3.12162192691277
0.346	-0.158924937450518
0.347	0.605512555370419
0.348	9.58020790719008
0.349	5.17298506516432
0.35	-3.76998038061419
0.351	-3.72880525684963
0.352	1.34123312251974
0.353	10.3439028283506
0.354	3.88352215185701
0.355	0.867312208842862
0.356	-0.793290517204712
0.357	-4.47677032762266
0.358	7.54588585491836
0.359	8.57741231538329
0.36	2.93223495138276
0.361	-1.33085377488837
0.362	-2.49249452245921
0.363	4.46230923398325
0.364	7.20358272202765
0.365	7.6730470399463
0.366	2.9448211200829
0.367	-2.60749815168739
0.368	0.682041878868542
0.369	6.71029442063983
0.37	10.9088374411993
0.371	4.27921292587858
0.372	3.48256675192053
0.373	0.949107312545223
0.374	-0.548941022711531
0.375	11.164717454033
0.376	11.5505341237131
0.377	6.03492097731983
0.378	2.17219438176323
0.379	1.13791106226297
0.38	8.2670934608356
0.381	9.02450317101424
0.382	12.8497505118459
0.383	5.66178467484215
0.384	1.32458220631487
0.385	4.58505283186354
0.386	8.7075074783902
0.387	14.6267937791147
0.388	7.67763379351267
0.389	5.22722774965942
0.39	5.40352081470838
0.391	2.95388873510199
0.392	15.032549481043
0.393	12.5187099755267
0.394	7.2541829502417
0.395	5.0145073310975
0.396	2.70369670625666
0.397	12.5761904108635
0.398	12.092384097856
0.399	11.7524356916419
0.4	7.30485462498588
0.401	2.86499443483568
0.402	8.91078934850582
0.403	10.395696360169
0.404	16.4695609481203
0.405	8.30101224700772
0.406	6.78437556628653
0.407	6.34947216998551
0.408	7.14117819539725
0.409	19.7830632994948
0.41	12.2999538534931
0.411	7.52642853314028
0.412	9.1820085379047
0.413	4.81189062865629
0.414	16.5682469652467
0.415	14.5832268644572
0.416	13.8932103486951
0.417	10.8940386230371
0.418	5.09978902459452
0.419	14.0609882468296
0.42	15.2524982552343
0.421	17.6220420896539
0.422	11.7233871854234
0.423	10.2476684942336
0.424	12.6388469646509
0.425	13.2242835133977
0.426	20.6823095630602
0.427	16.5852113393232
0.428	13.0743250406464
0.429	12.9221861639448
0.43	10.0581886110004
0.431	19.8311128992773
0.432	18.525248289037
0.433	18.6151028265785
0.434	14.1704627566854
0.435	10.4422864231407
0.436	18.8147535295051
0.437	17.3162707717755
0.438	21.7034831952083
0.439	16.5141149635738
0.44	12.9560526350792
0.441	15.5212008828565
0.442	16.1810473827259
0.443	25.228204258744
0.444	19.3060071039799
0.445	16.4988922408621
0.446	16.9553438592405
0.447	14.6432848511582
0.448	21.3541076786675
0.449	24.8623361604723
0.45	22.1177923369065
0.451	17.8971151255022
0.452	14.9411836691885
