"Time [s]"	"Current(EndConnection) [kA]"	"RingCurrent(EndConnection) [kA]"
0	0	0
0.001	-0.126000689405842	2.2658190481495
0.002	-0.494279893968961	5.14362240074451
0.003	-1.06263144660695	7.57179656089258
0.004	-1.70723028691592	9.1310827608069
0.005	-2.31047863528376	9.72629759497822
0.006	-3.14575152448279	9.25572288433972
0.007	-3.94494035973121	6.96343051157889
0.008	-4.25652857908528	4.07058586429128
0.009	-4.24315039379472	1.19784928583601
0.01	-3.96409413806106	-1.50724541324079
0.011	-3.48139106576032	-4.07731598569527
0.012	-2.84458382566713	-6.51689106823872
0.013	-2.03961374936634	-8.54835234775939
0.014	-0.792235553795599	-9.87206249284207
0.015	-0.073109935702907	-9.7295305580759
0.016	0.75763021553191	-8.56718602838715
0.017	1.40726965586437	-6.56757450381386
0.018	1.8401865865075	-4.05283622473868
0.019	1.9994433851877	-1.32063192913219
0.02	1.95374439861986	1.50694681192999
0.021	1.70002853035445	4.08845246750787
0.022	0.554371096277003	6.53913394416478
0.023	-0.497004136031356	7.5050572155633
0.024	-1.15885492631108	6.99837011294652
0.025	-1.82799259334671	5.62772242492563
0.026	-2.28437771366258	2.67084951863864
0.027	-2.56982103701403	-0.647830272166656
0.028	-2.50915754071652	-4.06490307651725
0.029	-1.92534177416789	-7.65424701536911
0.03	-0.630199389743797	-10.798871636336
0.031	0.043219547051076	-12.0565210723048
0.032	0.871464384006425	-12.319894516319
0.033	1.60197776602679	-11.2984118035272
0.034	2.27854186890331	-9.31955769499668
0.035	2.66878677544943	-6.90446143883053
0.036	2.75420571020511	-4.20261063860671
0.037	2.56318400962333	-1.40125940568865
0.038	2.15299090293511	1.84915878418939
0.039	2.14673691995218	3.93361299856893
0.04	1.49300264640114	5.76950037610493
0.041	0.898497072787216	7.31656248334589
0.042	0.116546936965693	8.49353014278002
0.043	-0.67688557465138	8.90734575418783
0.044	-1.335043761071	8.41797078117024
0.045	-1.88668341217896	7.01621544965163
0.046	-2.30850137635074	4.86008892416694
0.047	-2.7722593755371	2.54469977904075
0.048	-3.00296924920451	0.300211533043871
0.049	-2.36600655228438	-2.43898226688406
0.05	-1.87515218548604	-5.10703413161333
0.051	-1.31852926007197	-7.29070860246801
0.052	-0.577192453120413	-8.82226968595193
0.053	0.119955828459453	-9.3000161186488
0.054	0.804040928562803	-8.71720453416298
0.055	1.45482932374524	-7.25400862206799
0.056	1.85759358596452	-5.83338146796798
0.057	2.33069793788231	-4.01464760483911
0.058	2.34126000102002	-1.78418684853461
0.059	2.49669993294791	0.369655432513038
0.06	2.65859598930647	2.8463626445557
0.061	2.13683185211448	4.48544164540244
0.062	1.509559853216	7.20814046979797
0.063	1.61532423967885	8.73030519450297
0.064	1.25036658727211	9.85127046419219
0.065	0.391489629783588	11.2421667051598
0.066	-0.170756594284541	11.8371629402541
0.067	-0.600635719192098	11.422192984677
0.068	-1.51508019310342	10.7003515737253
0.069	-2.04511947708416	9.315128979071
0.07	-2.31542115848011	7.20480904067632
0.071	-2.37152640347635	4.61052532449665
0.0720000000000001	-2.6292994127321	2.52993151235503
0.0730000000000001	-2.38421312484352	-0.0423035109007678
0.0740000000000001	-2.16820699733813	-2.31638203512113
0.0750000000000001	-1.6378548862523	-4.09060883203057
0.0760000000000001	-0.802960610312103	-5.90107527877994
0.0770000000000001	-0.215458665646879	-6.93802384587779
0.0780000000000001	0.506932882474628	-7.19541696300985
0.0790000000000001	1.37132985966318	-7.23918699824253
0.0800000000000001	1.59275359889134	-7.14409445071509
0.0810000000000001	1.74223295516449	-5.57547187569309
0.0820000000000001	2.38670688728246	-4.68538208427997
0.0830000000000001	2.57143988697695	-3.22057362297663
0.0840000000000001	2.75301986417234	-1.53531486327483
0.0850000000000001	3.35982203448741	-0.414807533899631
0.0860000000000001	3.32463865557285	1.52628789490688
0.0870000000000001	3.55103627487739	2.78327742865201
0.0880000000000001	2.75652558433604	4.54071996928948
0.0890000000000001	2.87952284660091	6.27145358558779
