"Time [s]"	"Moving1.Speed [rpm]"
0	0
0.001	-4.07962404561857
0.002	-23.7438077889184
0.003	-65.7852831830347
0.004	-122.046015992221
0.005	-170.298819566615
0.006	-180.21111452249
0.007	-132.780633123423
0.008	-45.4465834629166
0.009	32.5272694515155
0.01	54.6520398534722
0.011	19.0168967781288
0.012	-38.0516560373535
0.013	-86.6733723982418
0.014	-116.297036188706
0.015	-129.990409018581
0.016	-135.648181015255
0.017	-138.715589238753
0.018	-145.391487599807
0.019	-160.249501090414
0.02	-182.282781181801
0.021	-214.708016017785
0.022	-262.444547902133
0.023	-331.613253956406
0.024	-404.136118009812
0.025	-406.864614635502
0.026	-340.585369146489
0.027	-285.906920221336
0.028	-278.425073297223
0.029	-312.832874521966
0.03	-315.401631962767
0.031	-230.66697269068
0.032	-98.3393694253241
0.033	25.9392438316111
0.034	98.6163936528202
0.035	116.018617698323
0.036	125.093534363565
0.037	167.668984576382
0.038	209.880791814731
0.039	202.647257755219
0.04	187.102313652485
0.041	204.856548153191
0.042	191.045760270619
0.043	118.076871780015
0.044	53.6450345606363
0.045	35.4929882965354
0.046	70.1416702239796
0.047	143.413622560432
0.048	160.132869962712
0.049	89.6932084969531
0.05	23.4809167558134
0.051	4.39760629415996
0.052	32.3315276674584
0.053	111.787098282273
0.054	219.093473978855
0.055	277.377492196617
0.056	302.891390553945
0.057	357.651668808982
0.058	391.043101303773
0.059	417.193595839936
0.06	427.498766192065
0.061	422.531059317062
0.062	427.027785857932
0.063	397.529775900296
0.064	397.880250684612
0.065	372.072993221696
0.066	304.063943068015
0.067	309.710798560241
0.068	288.112582423244
0.069	198.959949074864
0.07	162.351496237292
0.071	217.31496711899
0.0720000000000001	253.412174057045
0.0730000000000001	214.975503459268
0.0740000000000001	208.276140913831
0.0750000000000001	274.043556953712
0.0760000000000001	318.265448021449
0.0770000000000001	335.986162916979
0.0780000000000001	388.678713505666
0.0790000000000001	421.578462508337
0.0800000000000001	460.44505226827
0.0810000000000001	491.960281285188
0.0820000000000001	516.735862523009
0.0830000000000001	533.150318646913
0.0840000000000001	547.964740152683
0.0850000000000001	554.175594443067
0.0860000000000001	559.086637352213
0.0870000000000001	550.824098058996
0.0880000000000001	547.113983508955
0.0890000000000001	538.735261639093
0.0900000000000001	523.888862143977
0.0910000000000001	508.597226184332
0.0920000000000001	475.137268322563
0.0930000000000001	481.36433113086
0.0940000000000001	468.089191720814
0.0950000000000001	490.46241236873
0.0960000000000001	503.414310639765
0.0970000000000001	521.410823443022
0.0980000000000001	546.198143547864
0.0990000000000001	568.610260326766
0.1	604.300247816909
0.101	623.616726459319
0.102	664.391944985615
0.103	675.412147448245
0.104	707.642133598077
0.105	751.894996558939
0.106	754.670108759379
0.107	801.941317350489
0.108	851.967659771786
0.109	842.700084986267
0.11	869.510346346868
0.111	947.247896856628
0.112	984.85422616164
0.113	961.121080441637
0.114	944.868646476752
0.115	999.394649502042
0.116	1088.77593153956
0.117	1163.55819544106
0.118	1222.8286225025
0.119	1276.71805753432
0.12	1339.21109719847
0.121	1414.94376109068
0.122	1472.82471648462
0.123	1471.56838643335
0.124	1436.35404635715
0.125	1422.01552928258
0.126	1448.07744626986
0.127	1508.92160893957
0.128	1548.15753881667
0.129	1529.16802464157
0.13	1507.90971800495
0.131	1533.52692485425
0.132	1585.04959809076
0.133	1586.43152452536
0.134	1553.66497401958
0.135	1562.01881594055
0.136	1597.95295435488
0.137	1594.62399301478
0.138	1563.77486308122
0.139	1567.28849553375
0.14	1588.98100245046
0.141	1578.67173444066
0.142	1550.1233320079
0.143	1549.46041932489
0.144	1563.72621213351
0.145	1552.32621366096
0.146	1521.77314829198
