"Time [s]"	"Pem [kW]"	"Pout [kW]"	"Pin [kW]"
0	0	0	0.3815
0.001	0.0220378616118813	0.0220371067656847	2.73363601863317
0.002	0.489988190661833	0.489962621356977	11.6267701367627
0.003	2.30477003427186	2.30457375443768	26.0891709885794
0.004	4.81706952510734	4.81639396281677	42.8517659159762
0.005	4.16156197235228	4.16024662195397	56.7298595492108
0.006	-2.03541240222604	-2.03688532958995	63.076925519256
0.007	-6.83732899560298	-6.83812862298157	67.8829628518263
0.008	-2.91491303637432	-2.91500671071931	76.7902243493061
0.009	1.27213125635711	1.27208327048413	81.6790120087988
0.01	-0.535834578696112	-0.535970044892874	76.42053357452
0.011	-0.71068590493882	-0.710702306964357	70.052991590247
0.012	1.45318161389983	1.45311594415783	64.6657821748486
0.013	2.27009591587114	2.26975520218798	57.3897306727112
0.014	1.51608426804481	1.5154708515087	48.5152255124463
0.015	0.662643657596293	0.661877283519597	40.3298684040759
0.016	0.324814981525953	0.323980443492298	32.861488308438
0.017	0.231013954628538	0.230141247090122	27.3499044224472
0.018	1.04246348365942	1.04150475403831	24.1172374749434
0.019	2.0026723941817	2.00150770093432	22.350096250383
0.02	3.03852352841709	3.03701654151463	22.6122083747738
0.021	5.63737124374461	5.63528043309668	25.6612265980218
0.022	9.69538028854519	9.69225641607768	30.9795924181887
0.023	18.1177914566627	18.1128039677222	41.1594874301713
0.024	16.7256285184419	16.7182209867828	41.4386232113152
0.025	-15.3713355447124	-15.37884343688	13.1944711888465
0.026	-17.0284779340201	-17.0337389565375	18.8362279004724
0.027	-6.4142170536997	-6.41792443726211	36.5838998688215
0.028	3.47619195999154	3.47267607329747	51.1895128245718
0.029	10.3317873523395	10.3273487835407	61.393764628112
0.03	-9.36007507462171	-9.36458683532867	47.9211098125972
0.031	-19.0493899788951	-19.0518031550049	40.6628367914605
0.032	-9.11768451948735	-9.11812312392731	49.6099064937712
0.033	1.86632798595743	1.86629746959189	56.3387727928139
0.034	2.40732027604506	2.40687919700726	50.895855237339
0.035	-0.142208539943082	-0.142819022920816	41.8155803291556
0.036	1.67566212036712	1.674952398949	38.2442826241389
0.037	7.23423906040581	7.23296402086297	39.689907918082
0.038	2.7142133676055	2.71221551440671	31.8533943333459
0.039	-4.520726768478	-4.52258928291479	23.220010431572
0.04	0.362675449985264	0.361087720532439	27.5685708007757
0.041	4.46533650908359	4.46343316245811	32.7086321096671
0.042	-7.61099110259112	-7.61264646463786	22.4772321148336
0.043	-6.67385838611832	-6.67449072205333	26.1663871274194
0.044	-1.53028696261791	-1.53041748267173	33.9003139121413
0.045	0.16936990539394	0.169312770251148	36.8509501811543
0.046	2.90445170307642	2.90422856669203	39.7012131430699
0.047	8.02250949327656	8.02157667080981	44.2441744152681
0.048	-5.3556654222161	-5.35682842073054	30.5924719725244
0.049	-5.33215786714889	-5.33252273643338	30.8313233795649
0.05	-0.653593045369193	-0.653618051602749	35.9649057226904
0.051	0.0130776898644553	0.0130768127608898	36.451663694413
0.052	1.11371782095255	1.11367041087819	36.7344205389806
0.053	7.96207559478526	7.96150883170555	41.5762989299824
0.054	15.6347372044244	15.632560110987	46.3826837091961
0.055	1.76198671933374	1.75849724008488	30.5206034921707
0.056	8.48129233841382	8.47713139276072	36.7428408861527
0.057	16.1332544641548	16.1274529855229	44.1484295810824
0.058	-0.100400798973227	-0.107336133952254	28.4956408714711
0.059	14.8333115961295	14.8254176628451	45.7757939383365
0.06	-9.0641746756366	-9.07246340417927	25.3484541212524
0.061	6.49270608214164	6.48460887103176	44.0135675481884
0.062	-3.68801053603949	-3.6962810110666	38.7114468817889
0.063	-11.7707366602881	-11.7779039921411	34.2862996755104
0.064	12.3025424931305	12.295362517815	61.5788285061506
0.065	-23.8891299872572	-23.8954087559118	27.43549995098
0.066	-7.57837531738018	-7.58256854107805	44.4365580127052
0.067	10.331191181209	10.326840764269	60.0991044045004
0.068	-17.5613229929816	-17.5650877992738	29.9669860304297
0.069	-11.1521500838291	-11.1539454354063	33.7949007148851
0.07	1.40535472665973	1.40415927842165	42.1435064537591
0.071	14.1789718765588	14.1768299850836	48.3936855874427
0.0720000000000001	-4.12250571362412	-4.12541826191578	24.7048659976691
0.0730000000000001	-7.17896572582596	-7.18106174926449	19.6722028353374
0.0740000000000001	5.37352765316459	5.37156023249525	30.2101170326373
0.0750000000000001	17.1588819602844	17.1554758604202	38.1639993308236
0.0760000000000001	-0.848569022464828	-0.85316308783664	19.0209878909983
0.0770000000000001	9.26675664906468	9.26163675506799	30.2539373290265
0.0780000000000001	16.9843544517578	16.9775027303128	37.7570171955345
0.0790000000000001	0.605735451735592	0.597674709814825	24.1084954681269
0.0800000000000001	23.7865700635	23.7769545206723	50.5430293600748
0.0810000000000001	-4.05013404705113	-4.06111091065173	26.2913942199702
0.0820000000000001	22.1166705889	22.1045602752186	57.6134792749319
0.0830000000000001	-10.2567164507138	-10.2696083686273	29.9604969370564
0.0840000000000001	22.3288501436558	22.3152318274756	66.7790300623533
0.0850000000000001	-16.9365941572548	-16.9505229339849	31.9621875163746
0.0860000000000001	21.8583096704096	21.8441329292478	73.1086111514608
0.0870000000000001	-26.4035040700182	-26.4172648816309	27.5240166918154
0.0880000000000001	24.7268572311743	24.713281169096	78.2145765713599
0.0890000000000001	-29.1147956698556	-29.1279590974744	24.096075334817
0.0900000000000001	19.2295531233751	19.2171052111786	69.749450857328
0.0910000000000001	-27.7475526570854	-27.7592844978551	19.303102446138
0.0920000000000001	6.04640568324876	6.03616671070676	49.8983678796138
0.0930000000000001	-0.928930598655807	-0.939439710100939	36.0198147526302
0.0940000000000001	-6.091321642209	-6.10125910262964	28.142163613376
0.0950000000000001	22.244954925211	22.2340448022523	49.8283371635843
0.0960000000000001	-12.786076772627	-12.7975707225233	12.5305849509878
0.0970000000000001	27.17757695783	27.1652465264861	47.9803782156893
0.0980000000000001	-8.91149493517349	-8.92502558406902	10.9455702022373
0.0990000000000001	27.9028247887996	27.8881609536545	45.2332513677817
0.1	0.82257285676407	0.80601043918563	19.631698945392
0.101	17.1434181636751	17.1257799867044	35.0420792135826
0.102	19.8475700519548	19.8275499215364	41.0667792568171
0.103	-7.97355928372861	-7.99424906597515	14.48663238457
0.104	41.0844584059386	41.061746919882	66.8939576561583
0.105	3.17379909822769	3.14815823895786	32.1886634766771
0.106	2.44956395632486	2.42373347596608	34.0737782235112
0.107	50.7185517318344	50.6893839525742	85.5224072189881
0.108	5.97160625870095	5.93868591169582	42.964272003175
0.109	-12.768861298201	-12.8010693355232	25.3551307545974
0.11	47.7276313952212	47.6933413787695	86.7717062318807
0.111	49.6366922002015	49.5959967849104	89.2398446465595
0.112	1.84952800638584	1.80553718297265	40.6967142818335
0.113	-27.5835641658555	-27.6254603424034	9.03495375334582
0.114	11.2438067283911	11.2033154898167	46.3149845762096
0.115	65.1032105300246	65.057911153425	98.3713920315811
0.116	63.3521202075758	63.2983557573856	94.8449141422762
0.117	53.4647408372559	53.4033371566213	82.7343070400263
0.118	46.202402509451	46.1345838225756	73.3455396363691
0.119	49.7426130543854	49.6686851854508	74.4061627714417
0.12	66.0428972260022	65.9615549604707	88.3534699374899
0.121	80.1356692772783	80.0448670414126	100.141788665854
0.122	38.0335759535956	37.9351928966304	56.0489331962479
0.123	-31.6740494326373	-31.7722647182811	-14.3976676199343
0.124	-27.2908086925437	-27.3843796750668	-9.62270021639641
0.125	8.90137249543796	8.8096603477547	26.8623514594886
0.126	50.1663701024243	50.0712654496485	67.4729416800387
0.127	79.1745087649164	79.0712441472547	94.7568599309827
0.128	9.58599989371351	9.47729515181569	23.8479331186623
0.129	-37.4164840201267	-37.5225383982687	-22.5886824900257
0.13	5.03880907762698	4.9356829131404	20.5940798109314
0.131	57.904796733206	57.7981368763851	72.3247130936972
0.132	59.9328160536085	59.8188687905728	71.4781100360536
0.133	-45.1528548108341	-45.2670008504618	-34.0619997476846
0.134	-11.2477718412307	-11.3572513740536	0.675746016880147
0.135	40.8513235759529	40.7406635653603	51.6657635751673
0.136	47.0696232368385	46.9538132096977	54.9866507883589
0.137	-40.9116717358573	-41.0269997393888	-33.292011921888
0.138	-10.6455174308403	-10.7564263928853	-2.28875978520505
0.139	31.3797307271947	31.2683228044145	38.7174765841676
0.14	27.7263561894713	27.6118429778098	32.7289460340461
0.141	-34.9889598340018	-35.1019919483975	-29.6534460852225
0.142	-10.0992193068122	-10.2082002824971	-3.95864425457334
0.143	23.1623861255223	23.0534983416779	28.6004124973475
0.144	21.0290413109751	20.9181392498496	24.8275297667418
0.145	-29.2410324273241	-29.350323369023	-25.1716044013364
0.146	-17.8280473011147	-17.9330784264709	-12.7091380852447
0.147	11.8568340900623	11.7532545112266	16.8621751015132
0.148	27.284074673347	27.1788890910909	31.2414445694322
0.149	-5.94426198232668	-6.04981309607171	-2.88338086605452
0.15	-30.0946540140275	-30.1966100998483	-26.0772459632392
0.151	-12.7954152413656	-12.89333243376	-8.15856818521301
0.152	7.71699643545618	7.62054035675786	12.1141891236293
0.153	20.3814903857476	20.2842497166831	23.9660350369548
0.154	9.3380780613172	9.23996566927122	11.907325707437
0.155	-15.054436714027	-15.1509642463906	-12.4954915588441
0.156	-19.6388577735436	-19.7318124733696	-16.5294474280052
0.157	-8.12621061815931	-8.21607575632824	-4.81934403722513
0.158	5.14637824938285	5.0579153222688	8.23833315365713
0.159	15.4903756446181	15.4017196565827	18.1362308688192
0.16	16.8442486587319	16.7546252447799	18.8894160142687
0.161	7.50737396132309	7.41735737093991	9.17275631600294
0.162	-1.31875939462927	-1.40790071686407	0.483909124214193
0.163	-2.90374315594552	-2.99128223577613	-0.722222297415383
0.164	3.04081757586931	2.95459299478687	5.56493664735438
0.165	12.2901846808823	12.2042526698281	14.9695289631068
0.166	23.2625123056832	23.1755179087208	25.9531528425598
0.167	29.5020677473342	29.4128701186468	31.9787577274365
0.168	25.2642162347014	25.1727174429882	27.4218836801188
0.169	12.1937956417775	12.10122062966	14.2896902527455
0.17	4.02197944473645	3.92981594158323	6.46150270376421
0.171	9.04382729778713	8.95231219508426	11.9621421681074
0.172	20.429229270323	20.3372663524334	23.6214230502252
0.173	31.3155978052054	31.2217019777615	34.4013329195275
0.174	34.7690626576319	34.6722983833016	37.3912054064804
0.175	21.4461151688611	21.3472027796915	23.6457085038923
0.176	5.30199798124873	5.20300032477381	7.55066700994502
0.177	10.830337652401	10.7320086660818	13.5164266613634
0.178	23.6457831600248	23.5468976079754	26.4533604144646
0.179	32.6823149815293	32.5814200736349	35.1249736219992
0.18	24.8715612254778	24.7686173215952	26.7786571588755
0.181	8.63980277199763	8.53650186601634	10.4985499654782
0.182	9.45241450562095	9.34984409604074	11.6487393829743
0.183	20.7481830192782	20.645543066707	23.0595480740813
0.184	27.2510636426383	27.1471753941124	29.1964366452015
0.185	17.7860111201909	17.6811192771386	19.2940637328615
0.186	4.84427421195377	4.73995260448737	6.39456582210864
0.187	9.37844552609618	9.27529317630398	11.2557955360369
0.188	18.3622906782786	18.2594088043678	20.2374785291488
0.189	22.3031301493281	22.1996704834571	23.8367190406943
0.19	11.648771726271	11.5452323971067	12.8759302876697
0.191	3.74002980226256	3.63771339749054	5.09952199775403
0.192	7.83057353819209	7.72975929097111	9.45272607415738
0.193	15.1271103176998	15.0270411767621	16.7543756338689
0.194	17.7050751959231	17.6051067263535	19.0705452391128
0.195	11.6146428968035	11.5150497338282	12.7214618992443
0.196	4.48995112622093	4.39166623766138	5.66676916588767
0.197	5.70591088546843	5.60935503821508	7.12048653357202
0.198	11.4535265125847	11.3582396303668	12.9825079731823
0.199	17.3693195571096	17.2745290552678	18.8228209683686
0.2	18.36726772406	18.2725341845453	19.6206619119206
0.201	12.5036062341877	12.4092790798033	13.6565864174594
0.202	7.04229078495265	6.94913595754709	8.33782480463604
0.203	8.24802876819548	8.15631860504872	9.83103726689841
0.204	14.4027788595857	14.3119922828538	16.2085783969693
0.205	21.9623850132786	21.8715774658193	23.8190107812479
0.206	26.720322169599	26.6286565610586	28.5039397552749
0.207	24.255088993728	24.1624197154811	25.9130601184975
0.208	16.7973752747095	16.7043911111173	18.4544428426031
0.209	10.5859228698601	10.4935593001149	12.46726667096
0.21	14.2302465511181	14.1386686247948	16.4723842164275
0.211	21.8942122413703	21.8026404120832	24.3880041223339
0.212	30.2361495153195	30.143496250262	32.7503501171435
0.213	34.1784292957643	34.0838728477113	36.5083802871291
0.214	27.1637760581453	27.0675474590757	29.2791425564576
0.215	16.4957238655652	16.3990499418607	18.6697379469219
0.216	14.5863802667214	14.4901237851197	17.005540384263
0.217	23.1891798739174	23.0928797060992	25.8851886073062
0.218	32.7152457660491	32.6176707415821	35.3365358944705
0.219	35.2201863510863	35.1205330524247	37.5134509967194
0.22	23.8027757343633	23.701674164483	25.8505252666495
0.221	13.7520623707379	13.6509953503121	15.8873863593141
0.222	17.7009657258922	17.6003477187985	20.0587032069316
0.223	27.5676893800298	27.4665753424037	29.9282003809617
0.224	31.6279123768134	31.5253608582631	33.6376526151049
0.225	21.5470344052364	21.4434710271048	23.2338887410416
0.226	11.431781725078	11.3285964668094	13.1845948167306
0.227	15.66224306639	15.5598304545436	17.6295016843651
0.228	23.9617782075119	23.8592761227035	25.883971786219
0.229	26.3651347534045	26.2618160164341	27.954899099529
0.23	16.6167085303532	16.5130827580515	17.9702281456926
0.231	8.50003761238106	8.39732648696349	9.92277010147316
0.232	13.0770990797152	12.9755297022379	14.7012921060474
0.233	19.7729731198696	19.6717639932559	21.3582253235938
0.234	21.4421749477793	21.340752551748	22.773635576659
