"Time [s]"	"SolidLoss [kW]"	"StrandedLossR [kW]"
0	0	0
0.001	1.13304250283798	0.843876746096332
0.002	5.10542598607686	4.35477182782466
0.003	10.5886215122905	9.94191676115169
0.004	16.5417668027419	16.3990016032423
0.005	22.7315773827614	22.8082339033002
0.006	27.9492336987348	28.5039659508274
0.007	31.7643175314639	33.1438099387615
0.008	33.3347010091578	36.0261954095355
0.009	33.3706866682851	36.6576912352411
0.01	31.6920768709421	35.3969377007181
0.011	28.9801178192858	32.7759964377896
0.012	26.0953384041523	29.106487820999
0.013	23.3594181103811	24.7220454952968
0.014	20.5701764591029	20.4308300818953
0.015	17.9325010869051	16.6005314405542
0.016	15.0418285349614	13.2566441976479
0.017	12.8314568785213	10.6890992854633
0.018	11.0533219159806	8.948585567402
0.019	9.72339520001721	7.84425586751186
0.02	9.30269981245642	7.56592445633053
0.021	9.36621421708628	7.88420113646199
0.022	9.83451558616044	8.55617838831037
0.023	10.531181321298	9.40083032793853
0.024	11.3762149509139	9.93414581797188
0.025	12.8437177524678	11.8754605564858
0.026	15.8101739952299	15.5477891083666
0.027	18.6891018524859	18.9866077381432
0.028	20.3301202929407	21.4908419284664
0.029	21.7990209244874	22.9564493782272
0.03	25.5782404068889	24.3633376461309
0.031	26.490311153013	25.4790925296986
0.032	25.8727123568147	25.2001554177233
0.033	24.1079735569278	23.1563550636085
0.034	21.5244322692876	20.473396896697
0.035	18.2556221192505	18.0691601473617
0.036	15.7713507980236	15.9502649306272
0.037	14.4939737352298	13.57070153601
0.038	13.6773851626344	11.4556888058702
0.039	12.8067497523187	11.1932418700527
0.04	12.0806006480608	11.4250764794018
0.041	12.7998788830369	11.5166648675311
0.042	13.7661928515935	12.223705887819
0.043	14.3643273183449	14.1664260495353
0.044	15.0994323090265	15.6876553993368
0.045	15.4522977768109	16.4376908463826
0.046	15.4953035615865	16.5183343078424
0.047	15.4920681138751	15.9495082053895
0.048	15.440048547938	15.7852066447661
0.049	15.0192380439672	16.5225994308525
0.05	15.2512719136193	16.7081631529671
0.051	15.3362142303146	16.4332019460168
0.052	15.1226023381399	15.9001212627331
0.053	14.4172623336876	14.7998399225036
0.054	13.8062607145693	12.81482309237
0.055	12.9936580623691	11.832491606853
0.056	12.176429346801	12.2212030276107
0.057	12.7187485200552	11.3667023170738
0.058	12.7673830279231	11.841726907627
0.059	13.5872919663375	13.0332366664496
0.06	15.4628642974365	14.1841088222485
0.061	15.9125850755701	16.5014715414861
0.062	18.8650743435278	17.6359734385452
0.063	19.4013809523175	20.5081052380808
0.064	21.0349826851534	21.5082624157714
0.065	21.9372259383186	22.4571783422262
0.066	21.3271347706568	23.8770468523083
0.067	20.9050755955802	22.1649654510182
0.068	20.2974150280406	20.8376339929433
0.069	18.5831827449185	20.532410555835
0.07	16.8564205854373	18.5961725498114
0.071	14.4176928881279	15.3051145653385
0.0720000000000001	12.7925791324194	12.1649822201664
0.0730000000000001	11.5387620918007	11.7847958364062
0.0740000000000001	10.7025740677463	10.8213333856418
0.0750000000000001	9.35447748264204	8.7456337982044
0.0760000000000001	9.24617648181778	7.87485565767779
0.0770000000000001	9.14531788300884	8.90853820817229
0.0780000000000001	9.42603946983292	8.34505869979105
0.0790000000000001	10.3910493440902	9.80810020563254
0.0800000000000001	11.7545883552348	11.1933572802833
0.0810000000000001	13.3221257715301	12.7621004125321
0.0820000000000001	15.3488623665874	15.2078237127546
0.0830000000000001	17.5626204919412	17.1303337644308
0.0840000000000001	18.8119204235596	19.53468017771
0.0850000000000001	20.976692002594	21.239333622201
0.0860000000000001	21.4088701401022	22.8826846631657
0.0870000000000001	22.8156511735848	23.8088924082362
0.0880000000000001	21.855477180774	24.4201265600091
0.0890000000000001	22.3895977619214	23.6065700621535
0.0900000000000001	20.5097566161552	23.2664246395014
0.0910000000000001	19.938459363563	20.6859161606262
0.0920000000000001	17.8062550852806	20.1958333870376
0.0930000000000001	15.9132666925997	15.879208908241
0.0940000000000001	14.1330351574089	15.5225599641779
0.0950000000000001	11.8534936584384	11.8453431520519
0.0960000000000001	10.6961919348357	11.1730692796816
0.0970000000000001	8.90089342389388	8.91477190749178
0.0980000000000001	8.59977841222386	8.48344653263603
0.0990000000000001	7.49015996775517	7.25610435510256
0.1	8.13018751698291	7.9999007987148
0.101	7.96078722114001	7.23412000799437
0.102	8.89347632077081	9.2742653026491
0.103	9.79271217173674	9.38927405106417
0.104	10.9202621956162	11.1536980027453
0.105	11.9825575806867	12.994583308891
0.106	13.7064096328124	13.3595506356412
0.107	14.4411006598322	15.4768013251309
0.108	14.9434293263671	16.9658315376293
0.109	16.0808740361863	16.6357411110038
0.11	16.3271854718754	17.1726312660266
0.111	15.8306936717328	18.3220212743089
0.112	15.4766645884777	18.0644472404469
0.113	14.8664059514578	16.6357125095
0.114	14.7613635632895	15.2243499656842
0.115	13.6476402697341	14.8881399955189
0.116	12.5744720574444	14.5047452976787
0.117	11.5950802396299	13.5730205951841
0.118	10.7153060005734	12.5817996604165
0.119	9.68410795176641	11.450393418386
0.12	8.78706654560057	10.2880358042719
0.121	7.97900955567904	9.04825647754652
0.122	7.43854459981554	7.81878228150606
0.123	6.96905825799975	7.67370122680827
0.124	6.83388341991862	8.15898392306756
