"Time [s]"	"Efficience []"
0	0
0.001	0.0080614634192241
0.002	0.0421409054787934
0.003	0.0883344953906936
0.004	0.112396627300279
0.005	0.0733343367146033
0.006	-0.0322920832431526
0.007	-0.100734091968079
0.008	-0.0379606484473782
0.009	0.0155741755341886
0.01	-0.00701342976583948
0.011	-0.0101452099450854
0.012	0.02247117246999
0.013	0.0395498493473022
0.014	0.031237015503925
0.015	0.0164115904591622
0.016	0.00985897049005865
0.017	0.00841470023205036
0.018	0.0431850768613272
0.019	0.0895525316093444
0.02	0.134308710196689
0.021	0.219602925509847
0.022	0.312859390957874
0.023	0.440063885597489
0.024	0.403445377553416
0.025	-1.16555208744402
0.026	-0.904307329818952
0.027	-0.175430297488097
0.028	0.067839599982099
0.029	0.168214945704956
0.03	-0.195416735379258
0.031	-0.468531087801674
0.032	-0.183796418263198
0.033	0.0331263422519906
0.034	0.0472902790567804
0.035	-0.00341544997813258
0.036	0.0437961515819311
0.037	0.182236855671004
0.038	0.0851468288127588
0.039	-0.194771199446382
0.04	0.0130978034059814
0.041	0.136460404320575
0.042	-0.338682557787619
0.043	-0.255078803563952
0.044	-0.0451446404489964
0.045	0.0045945292975847
0.046	0.0731521365915485
0.047	0.18130243759372
0.048	-0.175102830053799
0.049	-0.172957958073502
0.05	-0.0181737735291873
0.051	0.000358743921005014
0.052	0.0303168089910776
0.053	0.191491523695106
0.054	0.337034402946538
0.055	0.0576167257156621
0.056	0.230715186640767
0.057	0.365300717116189
0.058	-0.003766756271122
0.059	0.323870246419234
0.06	-0.357909928581121
0.061	0.147332044009658
0.062	-0.0954828948231706
0.063	-0.343516334617867
0.064	0.199668665612678
0.065	-0.870966769280918
0.066	-0.170638070997984
0.067	0.171830193920422
0.068	-0.58614796234221
0.069	-0.330048178851239
0.07	0.0333185203742439
0.071	0.292947929321636
0.0720000000000001	-0.166988084950755
0.0730000000000001	-0.365035975349191
0.0740000000000001	0.177806667438333
0.0750000000000001	0.449519865874339
0.0760000000000001	-0.0448537737748311
0.0770000000000001	0.306129964319788
0.0780000000000001	0.449651587740377
0.0790000000000001	0.0247910414237584
0.0800000000000001	0.470429944973862
0.0810000000000001	-0.154465407070996
0.0820000000000001	0.383669942405934
0.0830000000000001	-0.342771629929988
0.0840000000000001	0.334165258265047
0.0850000000000001	-0.530330501480882
0.0860000000000001	0.298790150506248
0.0870000000000001	-0.959789596751932
0.0880000000000001	0.315967716664024
0.0890000000000001	-1.20882586449199
0.0900000000000001	0.275516222349723
0.0910000000000001	-1.43807372806069
0.0920000000000001	0.120969221383549
0.0930000000000001	-0.0260811921591668
0.0940000000000001	-0.216801351397506
0.0950000000000001	0.446212859346659
0.0960000000000001	-1.02130672850308
0.0970000000000001	0.566174080670403
0.0980000000000001	-0.815400698105681
0.0990000000000001	0.616541153031472
0.1	0.0410565810645145
0.101	0.488720429011139
0.102	0.48281239192248
0.103	-0.551836262131564
0.104	0.613833421711174
0.105	0.0978033226275121
0.106	0.0711319261417768
0.107	0.592702960556048
0.108	0.138223822604441
0.109	-0.504870965147835
0.11	0.549641622250901
0.111	0.55576068045993
0.112	0.0443656745964532
0.113	-3.05762055861915
0.114	0.241893970004071
0.115	0.661349908848895
0.116	0.667387980998456
0.117	0.645479959489902
0.118	0.629003263883539
0.119	0.667534560786603
0.12	0.746564396476319
0.121	0.799315331869106
0.122	0.676822746363528
0.123	2.20676470363093
0.124	2.84581032966253
0.125	0.327955665424178
0.126	0.742094003950352
