"Time [s]"	"-Moving1.LoadTorque [NewtonMeter]"	"Moving1.Torque [NewtonMeter]"
0	0	0
0.001	1.513375E-05	-51.5846740506338
0.002	0.00012107	-197.063697517501
0.003	0.00040861125	-334.557085624015
0.004	0.00096856	-376.903950483902
0.005	0.00189171875	-233.354462668149
0.006	0.00326889	107.855482466725
0.007	0.00519087625	491.725945989845
0.008	0.00774848	612.485405597799
0.009	0.01103250375	373.469979727739
0.01	0.01513375	-93.6258431791705
0.011	0.02014302125	-356.869502137181
0.012	0.02615112	-364.684843417135
0.013	0.03324884875	-250.109330909762
0.014	0.04152701	-124.487594857532
0.015	0.0510764062500001	-48.678828420273
0.016	0.0619878400000001	-22.8661716714112
0.017	0.0743521137500001	-15.9031928584709
0.018	0.0882600300000001	-68.468884591321
0.019	0.10380239125	-119.339608083222
0.02	0.12107	-159.179941005933
0.021	0.14015365875	-250.726223303673
0.022	0.16114417	-352.775710620541
0.023	0.18413233625	-521.728736804057
0.024	0.20920896	-395.208396834877
0.025	0.23646484375	360.772199773158
0.026	0.26599079	477.442664666823
0.027	0.29787760125	214.234971865041
0.028	0.332216080000001	-119.224851487068
0.029	0.369097028750001	-315.380222864084
0.03	0.408611250000001	283.391472624938
0.031	0.450849546250001	788.618641670552
0.032	0.495902720000001	885.377587415264
0.033	0.543861573750001	687.071665598553
0.034	0.594816910000001	233.107442290024
0.035	0.648859531250001	-11.7049448773858
0.036	0.706080240000001	127.915440601357
0.037	0.766569838750001	412.013554760051
0.038	0.830419130000002	123.493094434818
0.039	0.897718916250002	-213.029088932518
0.04	0.968560000000002	18.5101689475978
0.041	1.04303318375	208.14966894529
0.042	1.12122927	-380.430380896164
0.043	1.20323906125	-539.73866463448
0.044	1.28915336	-272.404784276273
0.045	1.37906296875	45.5685344314897
0.046	1.47305869	395.420734100157
0.047	1.57123132625	534.18441807448
0.048	1.67367168	-319.377511571679
0.049	1.78047055375	-567.694675744761
0.05	1.89171875	-265.805372991424
0.051	2.00750707125	28.3978898554188
0.052	2.12792632	328.94275501718
0.053	2.25306729875	680.152025226527
0.054	2.38302081	681.447693946483
0.055	2.51787765625	60.6600543880013
0.056	2.65772864000001	267.390815631435
0.057	2.80266456375001	430.7577601436
0.058	2.95277623000001	-2.45179368622359
0.059	3.10815444125001	339.525086648565
0.06	3.26889000000001	-202.471911326333
0.061	3.43507370875001	146.73661179169
0.062	3.60679637000001	-82.4721659467313
0.063	3.78414878625001	-282.751789207513
0.064	3.96722176000001	295.266293867679
0.065	4.15610609375001	-613.117295729882
0.066	4.35089259000001	-238.003075313051
0.067	4.55167205125001	318.541068408435
0.068	4.75853528000001	-582.058167274453
0.069	4.97157307875001	-535.259428904326
0.07	5.19087625000001	82.6610742971689
0.071	5.41653559625001	623.055142137454
0.0720000000000001	5.64864192000001	-155.34782368431
0.0730000000000001	5.88728602375001	-318.89248677182
0.0740000000000001	6.13255871000001	246.371999430112
0.0750000000000001	6.38455078125001	597.916822916778
0.0760000000000001	6.64335304000001	-25.4606251453661
0.0770000000000001	6.90905628875001	263.376940465152
0.0780000000000001	7.18175133000001	417.282018123592
0.0790000000000001	7.46152896625001	13.7206902045403
0.0800000000000001	7.74848000000001	493.316219100388
0.0810000000000001	8.04269523375002	-78.6159629093266
0.0820000000000001	8.34426547000002	408.716836308435
0.0830000000000001	8.65328151125002	-183.708841495129
0.0840000000000001	8.96983416000002	389.121410213087
0.0850000000000001	9.29401421875002	-291.843528256856
0.0860000000000001	9.62591249000002	373.343714472015
0.0870000000000001	9.96561977625002	-457.741213846489
0.0880000000000001	10.31322688	431.581170369178
0.0890000000000001	10.66882460375	-516.071322363776
0.0900000000000001	11.03250375	350.510803437419
0.0910000000000001	11.40435512125	-520.981232698728
0.0920000000000001	11.78446952	121.520505746731
0.0930000000000001	12.17293774875	-18.4281078182164
0.0940000000000001	12.56985061	-124.266567115922
0.0950000000000001	12.97529890625	433.108973807606
0.0960000000000001	13.38937344	-242.539865646241
