"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
0	-0	-0	-0
0.001	0.0374887241421296	0.272181162868081	-0.291414779848315
0.002	0.148683700209332	0.41215416656245	-0.526746486385445
0.003	0.318854131287847	0.467873484252169	-0.754685855533767
0.004	0.531269666492327	0.442735737354765	-0.962953965537329
0.005	0.7744289414414	0.332702331810564	-1.12001211331151
0.006	1.03108057085939	0.160057242825517	-1.19043008729815
0.007	1.24636859682188	-0.0546681453195258	-1.18523164829733
0.008	1.40471323346541	-0.291077781509869	-1.12351988687203
0.009	1.51465038849714	-0.522418967511696	-1.01363565322713
0.01	1.57222002871793	-0.734921279873164	-0.857843970403528
0.011	1.56819655009142	-0.920099536753706	-0.641641470539263
0.012	1.49951648542042	-1.05456600873897	-0.38583368933347
0.013	1.36191193655584	-1.13361140542809	-0.126577317196121
0.014	1.15664133632211	-1.15894917328901	0.0773586163625116
0.015	0.870025104014143	-1.12696979802532	0.221633987119539
0.016	0.578702385415092	-1.00888454543621	0.310956706595958
0.017	0.343802983772703	-0.784783195997947	0.357155142973818
0.018	0.187625927261387	-0.481276749818973	0.349948130355949
0.019	0.0892893150066693	-0.151377152628838	0.258226027053227
0.02	0.010642709332023	0.0856619925741285	0.0306740412395088
0.021	-0.0292261591170693	0.238882481860376	-0.298617318514611
0.022	0.0502442500172436	0.388799317763883	-0.576725304158705
0.023	0.253079084341258	0.547673341547353	-0.795657944672613
0.024	0.517701306737605	0.594810069386047	-1.06510437120083
0.025	0.82313626061859	0.452856230369805	-1.25357091693376
0.026	1.03112059726237	0.326869079584705	-1.27465317956442
0.027	1.16249571710165	0.146402585348944	-1.31247246370133
0.028	1.29036398263084	-0.0679781304561476	-1.30798732338751
0.029	1.42324086026716	-0.265044593872347	-1.23269036206004
0.03	1.48545594764647	-0.481820762777395	-1.01326690259505
0.031	1.41018879077775	-0.684267848734615	-0.754338844332748
