0.000000e+00	2.886050e-01	-1.338476e-01	3.870632e-01	-7.265290e-02
6.283185e-03	5.240061e-01	-1.981936e-01	1.331815e+00	-1.248967e-01
1.256637e-02	9.666782e-01	-2.213707e-01	1.296276e+00	-3.255219e-05
1.884956e-02	1.408789e+00	-2.658272e-01	1.296275e+00	-2.034767e-07
2.513274e-02	8.308547e-01	-5.086665e-01	1.296275e+00	-1.339616e-04
3.141593e-02	5.689062e-01	-1.840486e-01	1.272766e+00	-9.687929e-02
3.769911e-02	3.131764e-01	1.461076e-01	5.112006e-01	-1.283877e-01
4.398230e-02	5.231674e-01	1.908027e-01	2.812813e-01	-1.937319e-02
5.026548e-02	7.284956e-01	2.903303e-02	2.796870e-01	1.993839e-02
5.654867e-02	9.306528e-01	-1.510945e-01	5.612000e-01	1.518058e-01
6.283185e-02	1.057202e+00	2.630591e-02	1.043885e+00	1.551947e-02
6.911504e-02	1.072919e+00	1.211435e-02	1.044556e+00	2.025131e-05
7.539822e-02	1.088470e+00	-1.238436e-04	1.044556e+00	3.611257e-08
8.168141e-02	1.103896e+00	-1.040817e-02	1.044556e+00	1.572475e-08
8.796459e-02	1.073240e+00	-2.671176e-03	1.044556e+00	1.937993e-11
9.424778e-02	1.072773e+00	4.222573e-03	1.044556e+00	-9.452510e-09
1.005310e-01	1.072524e+00	1.152325e-02	1.044556e+00	-2.862392e-09
1.068142e-01	1.089987e+00	-5.030829e-03	1.044556e+00	1.408377e-10
1.130973e-01	1.087988e+00	7.357722e-03	1.044556e+00	-2.273541e-06
1.193805e-01	1.086311e+00	2.006616e-02	1.045300e+00	-1.666324e-03
1.256637e-01	8.839291e-01	9.290628e-02	5.149307e-01	1.331832e-01
1.319469e-01	5.998570e-01	9.882004e-02	2.649731e-01	2.111787e-02
1.382301e-01	3.160316e-01	1.144454e-01	2.552767e-01	-1.544147e-02
1.445133e-01	4.166769e-01	1.954331e-01	4.612572e-01	-1.241246e-01
1.507964e-01	5.831332e-01	-1.474182e-01	1.385456e+00	-2.073853e-02
1.570796e-01	7.432204e-01	-4.853120e-01	1.383803e+00	-4.087069e-04
1.633628e-01	3.971900e-01	-2.571841e-01	1.250872e+00	-1.960148e-01
1.696460e-01	3.793905e-01	-3.057298e-02	4.621213e-01	-1.004232e-01
1.759292e-01	3.658642e-01	1.931049e-01	2.755265e-01	-1.589869e-02
1.822124e-01	9.779043e-01	-8.409326e-03	2.868042e-01	2.532166e-02
1.884956e-01	9.993623e-01	-7.479206e-03	6.615354e-01	1.379390e-01
1.947787e-01	1.020911e+00	-7.090642e-03	9.741332e-01	4.236685e-03
2.010619e-01	1.027197e+00	-9.842570e-04	9.741881e-01	5.553729e-06
2.073451e-01	1.016059e+00	2.389257e-03	9.741881e-01	1.470278e-08
2.136283e-01	1.005068e+00	6.080360e-03	9.741881e-01	-1.120196e-08
2.199115e-01	9.942293e-01	1.008695e-02	9.741881e-01	-1.103335e-08
2.261947e-01	1.005393e+00	4.494910e-03	9.741881e-01	2.496647e-09
2.324779e-01	1.004977e+00	5.602719e-03	9.741881e-01	1.187304e-08
2.387610e-01	1.004665e+00	7.062704e-03	9.741881e-01	5.908414e-09
2.450442e-01	1.022142e+00	-1.102253e-03	9.741881e-01	-9.431979e-09
2.513274e-01	1.028429e+00	-4.892885e-02	9.741881e-01	1.451922e-09
2.576106e-01	1.033860e+00	-1.006364e-01	9.741881e-01	1.312526e-05
2.638938e-01	9.432089e-01	1.613090e-01	9.844988e-01	1.706789e-02
2.701770e-01	7.534010e-01	1.026847e-01	3.721288e-01	7.830433e-02
2.764602e-01	5.626335e-01	5.331264e-02	2.311221e-01	9.243787e-03
2.827433e-01	3.064961e-01	-2.143701e-01	2.594834e-01	-2.667185e-02
2.890265e-01	2.471070e-01	-1.949787e-01	5.882252e-01	-2.166588e-01
2.953097e-01	1.881256e-01	-1.732313e-01	9.834240e-01	-1.762574e-01
3.015929e-01	2.213674e-01	-1.179057e-01	3.505356e-01	-7.202417e-02
3.078761e-01	3.357301e-01	-7.560719e-02	1.995653e-01	-1.631527e-02
3.141593e-01	4.507939e-01	-4.597315e-02	1.842148e-01	1.186829e-02
3.204425e-01	5.361925e-01	3.967100e-02	3.689484e-01	4.960811e-02
3.267256e-01	5.415215e-01	1.798043e-02	4.955837e-01	6.693838e-04
3.330088e-01	5.464934e-01	-2.743566e-03	4.955860e-01	8.641170e-07
3.392920e-01	5.445486e-01	1.531686e-04	4.955860e-01	-4.457882e-09
3.455752e-01	5.440478e-01	2.147070e-04	4.955860e-01	3.989751e-09
3.518584e-01	5.435917e-01	3.442174e-04	4.955860e-01	5.925199e-09
3.581416e-01	5.431816e-01	5.408716e-04	4.955860e-01	-1.897590e-10
3.644247e-01	5.431713e-01	2.147451e-05	4.955860e-01	-5.271956e-09
3.707079e-01	5.430524e-01	3.028508e-05	4.955860e-01	-3.016979e-09
3.769911e-01	5.429766e-01	3.939361e-05	4.955860e-01	3.090549e-09
3.832743e-01	5.427734e-01	1.864552e-04	4.955860e-01	4.844500e-09
3.895575e-01	5.422565e-01	8.292198e-04	4.955860e-01	1.708615e-11
3.958407e-01	5.417948e-01	1.500789e-03	4.955860e-01	8.948176e-08
4.021239e-01	5.509808e-01	6.479791e-03	4.955862e-01	7.186014e-05
4.084070e-01	5.255752e-01	9.543082e-04	4.607411e-01	9.374822e-02
4.146902e-01	5.001098e-01	-4.253591e-03	1.577002e-01	2.319846e-02
4.209734e-01	5.915669e-02	-8.101492e-02	1.279037e-01	-6.715795e-03
