"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0.01	181792.085374521	-3.5527136788005E-13	2.01829088999128	1.2237297284079	-92324.8786145467	388.908729652601	250.736159487089	-0.41062522153502	-89467.2067599741	-388.908729652601	-263.662947322704	-0.918944127888574
0.011	167829.957286035	-138.771225645639	-56.9001404796441	1.16682958792825	-65598.3447222393	439.259794402996	282.294860419061	-0.128330361115959	-102231.612563796	-300.488568757357	-222.7548503517	-1.14169897824027
0.012	145965.093801515	-263.9585568491	-113.100611626885	1.05372897630137	-34613.5933646849	446.613049974276	289.353846186754	0.161023485070795	-111351.50043683	-182.654493125176	-118.78250831902	-1.2604814865593
0.013	119080.238501596	-363.307785400764	-181.671172302795	0.872057803998575	-1209.27684630284	410.248708477981	246.385786666427	0.407409271737222	-117870.961655293	-46.9409230772173	-2.04509922497786	-1.26252658578427
0.014	92279.0127952308	-427.093916603215	-259.022133931477	0.613035670067098	25198.3323672228	333.726365025033	215.015071619321	0.622424343356543	-117477.345162454	93.3675515781821	88.1061872591893	-1.17442039852508
0.015	69296.4577993258	-449.07311951025	-318.482882469001	0.294552787598097	37555.1226610971	224.536559755124	200.91015934781	0.823334502704352	-106851.580460423	224.536559755125	154.421394149955	-1.01999900437513
0.016	47372.2698070554	-427.093916603214	-318.317217776031	-0.0237644301779346	40478.885549604	93.3675515781805	133.905608114771	0.957240110819124	-87851.1553566594	333.726365025034	212.287750267676	-0.807711254107453
0.017	27912.6064495779	-363.307785400763	-289.195685278606	-0.31296011545654	35500.7535342513	-46.9409230772189	40.5259309403285	0.997766041759452	-63413.3599838292	410.248708477982	253.855146136447	-0.553856107971006
0.018	11342.405654396	-263.958556849099	-243.678358290887	-0.556638473747427	26638.6449887606	-182.654493125178	-97.3667433373341	0.900399298422118	-37981.0506431566	446.613049974276	267.058310323827	-0.28679779764718
0.019	-2116.13793654885	-138.771225645637	-133.79776334341	-0.690436237090837	19130.8429454138	-300.488568757358	-221.175013996527	0.679224284425591	-17014.705008865	439.259794402996	309.981612799663	0.0231838151524838
0.02	-7603.25760071084	1.06581410364015E-12	-33.5932892808686	-0.724029526371705	9960.53849880754	-388.908729652602	-297.142992856753	0.382081291568838	-2357.2808980967	388.9087296526	327.63879157671	0.350822606729194
0.021	-4357.38005329302	138.77122564564	52.8018697652511	-0.671227656606454	-3488.96535316297	-439.259794402996	-332.716768623074	0.0493645229457641	7846.34540645599	300.488568757356	282.613305170338	0.633435911899532
0.022	4551.41952889649	263.958556849101	160.997745020785	-0.510229911585669	-21234.9734077381	-446.613049974276	-313.218431264666	-0.263853908318902	16683.5538788416	182.654493125175	196.74531260571	0.830181224505242
0.023	14237.3928278221	363.307785400764	269.322606913418	-0.240907304672251	-38921.9812905803	-410.24870847798	-287.184309291376	-0.551038217610278	24684.5884627582	46.9409230772165	73.884656339601	0.904065880844843
0.024	24711.8166204173	427.093916603215	317.919991984039	0.0770126873117882	-53608.966043163	-333.726365025032	-266.633799855965	-0.817672017466243	28897.1494227457	-93.3675515781828	-68.4316712743852	0.835634209570458
0.025	36202.7522895495	449.073119510249	344.341790101125	0.421354477412913	-61771.0888479203	-224.536559755123	-215.288873911778	-1.03296089137802	25568.3365583708	-224.536559755126	-162.755692799624	0.672878516770834
0.026	48811.0912033591	427.093916603214	335.349960272918	0.756704437685831	-62133.9472263263	-93.3675515781791	-138.590581729275	-1.1715514731073	13322.8560229672	-333.726365025035	-219.622455588145	0.453256061182688
0.027	64820.3270928124	363.307785400762	248.97499203291	1.00567942971874	-58430.759980455	46.9409230772202	-42.7902292252722	-1.21434170233257	-6389.56711235737	-410.248708477982	-272.735011807625	0.180521049375063
0.028	81070.4929289834	263.958556849098	168.860176038195	1.17453960575694	-57919.2173592478	182.654493125179	127.883503412944	-1.08645819891962	-23151.2755697356	-446.613049974276	-329.636789682164	-0.149115740307101
0.029	89966.1331573061	138.771225645637	100.756988156252	1.27529659391319	-54811.1065179338	300.488568757359	242.176357524829	-0.844281841394795	-35155.0266393723	-439.259794402996	-365.159508664221	-0.514275248971322
0.03	90366.7097293398	-2.21689333557151E-12	26.6404366327222	1.30193703054591	-45935.0454173508	388.908729652603	313.15915617683	-0.531122685217966	-44431.6643119891	-388.9087296526	-342.277494029803	-0.856552743001125
0.031	82603.859282965	-138.771225645641	-54.2531159401431	1.24768391460577	-33103.764583392	439.259794402996	358.082397284273	-0.173040287933693	-49500.094699573	-300.488568757356	-290.957091244907	-1.14750983424603
0.032	68522.3206535358	-263.958556849102	-133.969231112578	1.11371468349319	-16839.0902434863	446.613049974276	366.71454869723	0.193674260763537	-51683.2304100495	-182.654493125175	-195.474976503839	-1.34298481074987
0.033	55046.4392317607	-363.307785400765	-235.692155741201	0.878022527751989	3503.54497657397	410.24870847798	327.192932452269	0.520867193215807	-58549.9842083346	-46.940923077215	-25.0581652741944	-1.36804297602406
0.034	44756.5880624387	-427.093916603216	-350.840497316494	0.527182030435495	18395.9910144715	333.726365025031	280.243395178241	0.801110588394048	-63152.5790769102	93.3675515781843	85.3369623756834	-1.28270601364838
0.035	34488.1507505579	-449.073119510249	-384.761772161466	0.14242025827403	25281.2593715682	224.536559755122	238.26738644733	1.03937797484138	-59769.4101221261	224.536559755127	176.392458148015	-1.10631355550037
0.036	23898.4020478111	-427.093916603214	-377.790778583154	-0.235370520309124	25898.2823036111	93.3675515781784	155.740615147273	1.19511858998865	-49796.6843514222	333.726365025035	252.67472443641	-0.853638831063957
0.037	13617.8213893903	-363.307785400762	-348.33434188353	-0.583704862192654	22559.3249731279	-46.9409230772209	27.9169007393478	1.223035490728	-36177.1463625181	410.248708477982	301.210239344713	-0.552428591719244
0.038	3391.36987664687	-263.958556849097	-274.494808723574	-0.858199670916228	18630.3217379412	-182.654493125179	-119.339553378371	1.10369593734963	-22021.691614588	446.613049974276	335.732553882526	-0.216696037836718
0.039	-5537.65633763503	-138.771225645635	-151.006196304564	-1.00920586722079	15477.5266451608	-300.48856875736	-237.189239706959	0.86650669764267	-9939.87030752573	439.259794402995	371.94732288571	0.155251285048993
0.04	-9490.99675587095	3.73745479009813E-12	-42.2316957548292	-1.05143756297562	11130.0765950505	-388.908729652603	-327.704554308845	0.538802143333824	-1639.07983917954	388.9087296526	367.162732951606	0.522414018000599
0.041	-7748.56184056487	138.771225645643	58.5269883192009	-0.992910574656421	3843.92933518097	-439.259794402997	-379.697883657375	0.15910425967645	3904.6325053839	300.488568757354	308.315299240253	0.830729317240852
0.042	-2211.37454995145	263.958556849103	174.252031868415	-0.818658542788005	-6671.05887347496	-446.613049974276	-375.748639774272	-0.216644380097822	8882.43342342642	182.654493125173	213.511689888257	1.04424100712911
0.043	3870.08396473201	363.307785400766	289.131137881999	-0.529527404906006	-17716.3264517515	-410.248708477979	-345.499683644285	-0.562144063742107	13846.2424870195	46.9409230772134	90.3569539960731	1.13459796112518
0.044	8951.53074559385	427.093916603216	366.903489101372	-0.162623915804634	-26045.4174363191	-333.72636502503	-310.417574787496	-0.872561638529603	17093.8866907252	-93.367551578185	-48.8923147011229	1.08570564642406
0.045	14136.7126748745	449.073119510249	395.745771114228	0.233121855309594	-30140.743795196	-224.53655975512	-252.659577716815	-1.12522121624642	16004.0311203214	-224.536559755128	-170.33825079279	0.915367395631269
0.046	20218.3349612164	427.093916603213	390.625653476108	0.623747508785702	-29305.99781613	-93.3675515781768	-158.978213045784	-1.2841994292922	9087.66285491357	-333.726365025037	-249.3161144297	0.666051281201569
0.047	28104.7293186967	363.30778540076	332.223766297347	0.955971275083048	-26292.9539694105	46.9409230772233	-36.6948608354591	-1.32089429012766	-1811.77534928615	-410.248708477983	-313.760240433223	0.352291040768345
0.048	39580.0205701205	263.958556849096	216.687371368665	1.17265864645171	-27329.8815998447	182.654493125181	123.41320367166	-1.197481086456	-12250.1389702759	-446.613049974277	-374.538934083954	-0.022247893315609
0.049	47391.819281816	138.771225645634	125.248780162318	1.29790742661403	-28298.1859011344	300.488568757361	254.580143165382	-0.942900943290621	-19093.6333806816	-439.259794402995	-405.83660518965	-0.428084498505259
0.05	48665.2830168103	-4.49063009000383E-12	39.4115855843893	1.33731901219842	-25270.1606847715	388.908729652604	340.14444349839	-0.60275649979223	-23395.1223320388	-388.908729652599	-383.1148974644	-0.81119939596966
0.051	43578.703110159	-138.771225645644	-49.295257716208	1.28802375448221	-18702.8438633079	439.259794402997	395.112597076169	-0.207643902716061	-24875.8592468511	-300.488568757353	-320.067727180204	-1.13126712314986
0.052	34108.6370428853	-263.958556849104	-146.993380257241	1.14103037422497	-8502.21716246575	446.613049974276	401.368726722606	0.193724824006545	-25606.4198804196	-182.654493125172	-215.715510527872	-1.34698263367774
0.053	26484.8503808368	-363.307785400766	-273.000305859194	0.868030068365777	3669.98555301984	410.248708477979	364.736054373543	0.558460878380087	-30154.8359338567	-46.9409230772119	-65.6642714301581	-1.41264690510789
0.054	22104.6748069249	-427.093916603216	-378.587936494757	0.48944213187102	13125.3794775737	333.72636502503	315.67817371148	0.874139052091568	-35230.0542844986	93.3675515781865	74.9429920675433	-1.33770391304035
