"Time [s]"	"CoreLoss [W]"	"Moving1.Torque [NewtonMeter]"	"Moving1.Speed [rpm]"	"SolidLoss [kW]"
0	0	0	1500	0
0.001	46.697785157378	-30.741311185913	1500	0.421567894034521
0.002	42.8574575095777	-90.0484346670012	1500	1.72148163257335
0.003	43.5959452602193	-16.4098979133956	1500	3.55773409529863
0.004	46.0605039373696	183.416944396309	1500	5.27273724383685
0.005	53.6045025211549	301.339364695492	1500	6.87990018698659
0.006	54.0740923783917	107.428892897358	1500	8.45869822503729
0.007	47.3958922136888	-293.026062060228	1500	9.68737309299379
0.008	53.2274117517967	-488.297555293806	1500	10.3493675342198
0.009	60.3247094735818	-272.395055712945	1500	10.7782493972356
0.01	62.4667884519519	66.1963940845925	1500	10.3176547158945
0.011	64.9878969961624	312.059545007387	1500	9.03549040261483
0.012	64.1734346456367	191.827835235565	1500	7.75234429721067
0.013	65.0110313013035	-190.812676843047	1500	6.28119086105984
0.014	71.3103977410657	-385.804319579282	1500	4.88333184726335
0.015	77.5971604450027	-278.424456037043	1500	3.80278694351588
0.016	75.041950317178	-88.9468488552012	1500	2.72686849139853
0.017	68.2876849581181	17.0360623443971	1500	1.69254873183774
0.018	67.7997478936513	13.6571911743099	1500	0.898667760578087
0.019	65.8213283390143	-23.3894406317381	1500	0.427533295672558
0.02	72.9108832244185	-12.6653157631307	1500	0.217459805422096
0.021	73.1280365362085	7.69591179212723	1500	0.176905642776753
0.022	61.8279426661786	0.761139283247835	1500	0.336251603770364
0.023	69.1221228336248	11.5832419301661	1500	0.665528047908854
0.024	79.9355817729495	79.5492831675442	1500	1.01040304411018
0.025	86.0903790811652	157.248439065526	1500	1.21490118986782
0.026	86.301196838666	124.72253502023	1500	1.29994236857185
0.027	80.9062503771774	-68.3802009305092	1500	1.5973378914105
0.028	82.7030600425873	-195.739015442533	1500	2.17592904635051
0.029	92.0386914273432	-119.176012342705	1500	2.60945702876995
0.03	93.5829945159083	35.4187011897236	1500	2.60158687025332
0.031	94.9455835042769	142.759501839173	1500	2.201652321294
0.032	89.8275202292626	96.8527506977835	1500	1.63690304618152
0.033	84.5207052042905	-107.773860599437	1500	1.29886681451707
0.034	92.8367060347072	-194.220207857224	1500	1.22832401142553
0.035	95.4582020690727	-143.065207653462	1500	1.11245471868129
0.036	90.7833071621444	-54.9962449679694	1500	0.854537210274867
0.037	84.9091089444823	-9.30125083441736	1500	0.55002752332776
0.038	73.6594715704927	-15.411457562227	1500	0.286840688867677
0.039	74.1117584556115	-29.7703422129771	1500	0.138660460924574
0.04	82.0228787670171	-18.0820074411228	1500	0.0729138325700456
0.041	81.8907517844297	1.42850300419467	1500	0.0443989680217916
0.042	74.3732282263336	6.16896871047468	1500	0.0685362592901993
0.043	74.7396424971409	9.02459269869938	1500	0.156493773814708
0.044	86.0768366219714	33.0189621253821	1500	0.250795327126115
0.045	92.3478691889693	63.9622323704135	1500	0.284161333613919
0.046	90.6109460808711	53.0786856108634	1500	0.268052991037375
0.047	83.7789639793875	-5.33055691614554	1500	0.327225492419341
0.048	85.4058450016869	-52.8677607652958	1500	0.51080070687342
0.049	97.3907503386137	-43.0649693264904	1500	0.714677395522588
0.05	102.689099101486	11.667465078589	1500	0.750148683509101
0.051	101.776177463601	49.5692184886251	1500	0.613616095067413
0.052	90.8171940484807	24.2636371421224	1500	0.415523273497156
0.053	85.4645974159633	-43.7614410230039	1500	0.320352013674595
0.054	92.2780912975838	-87.6775108479491	1500	0.347717484360189
0.055	99.3412348400536	-69.5053701093519	1500	0.36649805847877
0.056	96.1144150949417	-36.1628276651992	1500	0.300228454948694
0.057	89.2096662627503	-14.5810285919242	1500	0.194102704664004
0.058	80.7062525793985	-18.2808490626145	1500	0.097631016153618
0.059	82.1900444083282	-23.9381797763786	1500	0.0492863487694944
0.06	88.9058175402089	-15.8216585838469	1500	0.0300994004583482
0.061	88.6978030237295	-2.39734578161173	1500	0.0169600722700905
0.062	82.9411549557001	2.97576993080534	1500	0.0173456122105115
0.063	81.9865475595954	4.83677082192117	1500	0.0431983199830537
0.064	88.3097276168342	14.0227516169396	1500	0.0757760384787675
0.065	94.8735958597901	28.4292849312519	1500	0.0847485349302123
0.066	92.5509206371598	27.5902136097031	1500	0.0745492978790364
0.067	86.9793389164292	6.68915286863615	1500	0.088714760584867
0.068	86.5479042576656	-13.8729634266	1500	0.150030062218039
0.069	94.8380892155551	-14.2227742429301	1500	0.219823432266259
0.07	101.493790182174	4.20026935553354	1500	0.24021782267723
0.071	100.008851910608	15.1609339473657	1500	0.195963961577458
0.0720000000000001	90.8896161081391	4.51919036314405	1500	0.128726667490692
0.0730000000000001	85.922114853653	-24.5166931397404	1500	0.0988848772102624
0.0740000000000001	90.9131102021203	-42.4326568119985	1500	0.114070098282277
0.0750000000000001	98.0588623696257	-36.4147190655537	1500	0.130935652491425
0.0760000000000001	97.2243590315296	-19.5142294127438	1500	0.112267815383637
0.0770000000000001	90.5432958928114	-11.7862612451264	1500	0.0700531416564371
0.0780000000000001	85.0387793897126	-14.4183697214059	1500	0.0333721758955642
0.0790000000000001	87.6881716520667	-17.1846469508773	1500	0.0182018077677797
0.0800000000000001	92.9075335315085	-11.7282273333575	1500	0.0139904439992618
0.0810000000000001	93.0089944737392	-3.49441139067486	1500	0.00861393579777653
0.0820000000000001	88.3518978397025	0.588059172853043	1500	0.00562237132063103
0.0830000000000001	87.144442772338	1.49738156754346	1500	0.0132203371516229
0.0840000000000001	92.062074557417	5.65715457922765	1500	0.0251608253845503
0.0850000000000001	96.7107713129973	13.178159227556	1500	0.0277906469772752
0.0860000000000001	95.0352083927574	14.1509656077171	1500	0.0208241641863029
0.0870000000000001	90.4471487575761	5.8597408399915	1500	0.0225642903174994
0.0880000000000001	89.6769772587702	-3.6230711442891	1500	0.0444846965399604
0.0890000000000001	95.278580076885	-5.26338038295845	1500	0.0725013111569945
0.0900000000000001	100.322314018099	0.482523009054873	1500	0.0820421277177642
0.0910000000000001	98.7637234162641	5.02651465960866	1500	0.0651716834524951
0.0920000000000001	92.1159586578129	-0.468128260205326	1500	0.0391010763946651
0.0930000000000001	88.8076770332069	-13.7617168437332	1500	0.0296704324371811
0.0940000000000001	92.5399285126485	-22.2613064826448	1500	0.0397481134484537
0.0950000000000001	97.924912245293	-18.4145005918267	1500	0.0497306706520751
0.0960000000000001	97.2351928327809	-11.9966788067533	1500	0.043073677935318
0.0970000000000001	91.978786268103	-8.33901916992984	1500	0.025509222969777
0.0980000000000001	88.4416493469122	-9.87594315701559	1500	0.0110326784133438
0.0990000000000001	91.2205248447677	-11.3461729351231	1500	0.00687766507915848
0.1	95.5025862407633	-8.38106019079956	1500	0.00709126124482393
0.101	95.5310592129597	-3.18602318295065	1500	0.00513316487408366
