"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0	0	0	-32.0973155796445	-0	0	-194.454364826301	-126.651596237586	-0	0	194.454364826301	148.164053719488	-0
0.001	4111.7899156274	69.3856128228194	16.4504089001794	0.0164504089001794	-14280.4803401972	-219.629897201498	-105.127321687422	-0.105127321687422	10168.6904245698	150.244284378679	115.260616762604	0.115260616762604
0.002	12527.2705675723	131.97927842455	64.9981333800033	0.0814485422801827	-31155.5012464729	-223.306524987138	-83.603047137259	-0.188730368824681	18628.2306789006	91.3272465625883	82.3571798057188	0.197617796568322
0.003	21102.2877535438	181.653892700382	112.762422403569	0.194210964683752	-46824.1125766929	-205.124354238991	-81.0672132555861	-0.269797582080267	25721.8248231491	23.4704615386089	19.3068774567135	0.216924674025036
0.004	30263.2331829148	213.546958301608	126.311996059457	0.32052296074321	-58189.0156002638	-166.863182512517	-94.3274957935408	-0.364125077873808	27925.782417349	-46.6837757890908	-40.9720164576702	0.175952657567366
0.005	41203.234353877	224.536559755125	120.01179056565	0.440534751308859	-64233.509672935	-112.268279877562	-89.8962910130288	-0.454021368886837	23030.2753190579	-112.268279877562	-75.1369771837599	0.100815680383606
0.006	55513.7528495799	213.546958301608	84.8230421436324	0.525357793452492	-64865.0917389813	-46.6837757890908	-70.3532731742529	-0.52437464206109	9351.33888940146	-166.863182512517	-82.7126532075601	0.0181030271760458
0.007	70760.4578042701	181.653892700382	49.4290130930076	0.574786806545499	-61653.1640094811	23.4704615386089	-28.1329749547325	-0.552507617015823	-9107.293794789	-205.124354238991	-92.6503610460485	-0.0745473338700028
0.008	82508.2451399694	131.97927842455	29.9544491793359	0.604741255724835	-58021.3510101903	91.3272465625883	42.6710566978486	-0.509836560317974	-24486.894129779	-223.306524987138	-128.433961591964	-0.202981295461967
0.009	88159.4221434542	69.3856128228193	17.0219228178514	0.621763178542687	-53452.6587631354	150.244284378679	107.264744379776	-0.402571815938198	-34706.7633803188	-219.629897201498	-155.166190492586	-0.358147485954553
0.01	87101.1673725743	-1.77635683940025E-13	1.73919856689753	0.623502377109584	-45106.463586003	194.454364826301	141.253504661713	-0.261318311276485	-41994.7037865713	-194.4543648263	-146.523287740205	-0.504670773694757
0.011	79573.5800434209	-69.3856128228196	-16.7499359014132	0.606752441208171	-33706.9680709494	219.629897201498	160.176458955314	-0.101141852321171	-45866.6119724715	-150.244284378678	-123.060738569751	-0.627731512264508
0.012	67352.6215980559	-131.97927842455	-33.7538878827079	0.572998553325463	-18708.0144032757	223.306524987138	160.618141880419	0.0594762895592472	-48644.6071947802	-91.3272465625881	-61.4322918255232	-0.689163804090032
0.013	52880.9808628909	-181.653892700382	-66.0776019349811	0.506920951390482	-605.110437993389	205.12435423899	129.792879038932	0.18926916859818	-52275.8704248975	-23.4704615386086	13.6874958617237	-0.675476308228308
0.014	40333.0677958353	-213.546958301608	-120.971228422884	0.385949722967597	13471.7864621161	166.863182512516	112.942774632768	0.302211943230948	-53804.8542579514	46.683775789091	63.9240327180454	-0.611552275510262
0.015	31097.1152485921	-224.536559755125	-167.34072802165	0.218608994945948	19686.3861807456	112.268279877562	104.239808196223	0.406451751427171	-50783.5014293377	112.268279877562	94.773697064664	-0.516778578445598
0.016	22779.1808629216	-213.546958301607	-174.025326040035	0.044583668905913	20096.0996024462	46.6837757890903	74.8519034453261	0.481303654872497	-42875.2804653678	166.863182512517	116.88542326719	-0.399893155178409
0.017	14859.1146513971	-181.653892700381	-170.151599442278	-0.125567930536365	17025.8523271426	-23.4704615386094	10.3806728625591	0.491684327735056	-31884.9669785398	205.124354238991	120.848794143954	-0.279044361034455
0.018	6430.55005857415	-131.979278424549	-127.720641295621	-0.253288571831985	13039.2766280332	-91.3272465625888	-57.7768356767984	0.433907492058258	-19469.8266866073	223.306524987138	129.184673374573	-0.149859687659882
0.019	-495.569438934779	-69.3856128228187	-66.5132944950076	-0.319801866326993	9203.40076997143	-150.244284378679	-110.507908267804	0.323399583790453	-8707.83133103665	219.629897201498	152.743011685318	0.00288332402543582
0.02	-3328.15309257382	5.32907051820075E-13	-17.3200365133134	-0.337121902840306	4328.76309453069	-194.454364826301	-147.340329131275	0.176059254659178	-1000.61000195687	194.4543648263	160.505090095419	0.163388414120855
0.021	-1517.87913317131	69.3856128228199	25.9856737433386	-0.311136229096968	-2945.45299610839	-219.629897201498	-161.337953767554	0.0147213008916244	4463.33212927969	150.244284378678	139.852513613572	0.303240927734427
0.022	3194.69078859558	131.979278424551	79.5075356621729	-0.231628693434795	-12347.8886038192	-223.306524987138	-151.496223545508	-0.136774922653884	9153.1978152236	91.3272465625876	97.3474279056105	0.400588355640038
0.023	8231.25547102147	181.653892700382	134.59200177695	-0.0970366916578448	-21480.576049837	-205.12435423899	-139.247533838761	-0.276022456492645	13249.3205788155	23.4704615386083	37.5770789002925	0.43816543454033
0.024	12502.6254334996	213.546958301608	167.905103602177	0.0708684119443321	-27771.2907913455	-166.863182512516	-136.494083356639	-0.412516539849284	15268.6653578459	-46.6837757890914	-31.0650260749047	0.407100408465425
0.025	16962.3256518243	224.536559755125	177.020669339023	0.247889081283355	-30148.8571218391	-112.268279877562	-122.316994498704	-0.534833534347987	13186.5314700148	-112.268279877563	-82.6413652562758	0.32445904320915
0.026	22730.4975215062	213.546958301607	166.245087830287	0.414134169113642	-28978.3429328713	-46.6837757890895	-84.2045513058243	-0.619038085653811	6247.84541136515	-166.863182512517	-110.053415843295	0.214405627365855
0.027	31041.4026645028	181.653892700381	120.650305396399	0.534784474510041	-27023.3934805406	23.4704615386101	-25.5509243894746	-0.644589010043286	-4018.00918396227	-205.124354238991	-135.972497488479	0.0784331298773761
0.028	40285.0551827614	131.979278424549	66.7024675361238	0.601486942046165	-26958.8414802498	91.3272465625894	53.3984369472376	-0.591190573096048	-13326.2137025116	-223.306524987138	-169.08794266018	-0.0906548127828037
0.029	45750.2081154749	69.3856128228184	35.5945102738244	0.637081452319989	-26813.8745559065	150.24428437868	121.550257132717	-0.469640315963332	-18936.3335595684	-219.629897201498	-192.505554013011	-0.283160366795815
0.03	45997.4954065716	-1.10844666778576E-12	11.7846715801172	0.648866123900107	-24113.8757048239	194.454364826301	167.076343290943	-0.302563972672388	-21883.6197017477	-194.4543648263	-182.736531379955	-0.465896898175769
0.031	41476.3564348365	-69.3856128228205	-12.4196099231814	0.636446513976925	-18576.8358904543	219.629897201498	196.221808951434	-0.106342163720955	-22899.5205443822	-150.244284378678	-145.008795508776	-0.610905693684545
0.032	33378.6971484213	-131.979278424551	-48.974720358523	0.587471793618402	-9600.83144546429	223.306524987138	189.619755119318	0.0832775913983635	-23777.865702957	-91.3272465625874	-88.9804648916008	-0.699886158576146
0.033	25508.2907769217	-181.653892700383	-106.792260708002	0.4806795329104	1152.35368541158	205.12435423899	163.302831111402	0.246580422509765	-26660.6444623333	-23.4704615386075	-14.0597533462093	-0.713945911922356
0.034	20250.6579823056	-213.546958301608	-167.034333711177	0.313645199199222	9473.29250535418	166.863182512515	141.264029199184	0.387844451708949	-29723.9504876598	46.6837757890921	53.3392230334898	-0.660606688888866
0.035	16439.3996202637	-224.536559755125	-195.181671321813	0.118463527877409	13497.333672825	112.268279877561	120.227903443705	0.508072355152655	-29936.7332930886	112.268279877564	105.234371433983	-0.555372317454882
0.036	12607.3272027796	-213.546958301607	-200.998785543069	-0.0825352576656598	13596.0164047935	46.6837757890892	76.2277417177619	0.584300096870417	-26203.3436075731	166.863182512518	132.08564735009	-0.423286670104792
0.037	8036.21393730519	-181.653892700381	-184.825037943822	-0.267360295609481	11677.3924977872	-23.4704615386105	8.78578845943734	0.593085885329854	-19713.6064350924	205.124354238991	146.777204795546	-0.276509465309246
