"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0	0	0	-45.6968973735787	-0	0	-289.913780286485	-194.457930716312	-0	0	289.913780286485	232.867882611539	-0
0.001	6129.88953596268	103.44764093584	24.61963787782	0.02461963787782	-21239.8235201665	-327.448210373143	-156.986526374984	-0.156986526374984	15109.9339842039	224.000569437303	172.273149309224	0.172273149309224
0.002	18575.1453668182	196.769106014783	94.9361731292187	0.119555811007039	-47563.9655126462	-332.929728162642	-119.515122033656	-0.276501648408639	28988.820145828	136.160622147859	111.678416006909	0.283951565316134
0.003	32313.4004306546	270.829440026024	146.7232331901	0.266279044197139	-72232.7529075941	-305.821764501768	-126.659739832949	-0.403161388241589	39919.3524769395	34.9923244757442	10.813952951866	0.294765518268
0.004	48918.4787019261	318.379101467851	167.538442882278	0.433817487079417	-90773.8559318113	-248.777835745934	-129.525017980791	-0.53268640622238	41855.3772298852	-69.6012657219171	-53.411956110313	0.241353562157687
0.005	67707.185135374	334.763598180368	168.088201980215	0.601905689059633	-101558.621238141	-167.381799090184	-112.911591278266	-0.645597997500646	33851.4361027673	-167.381799090184	-99.9475222700283	0.141406039887658
0.006	89875.5509881861	318.379101467851	126.770103850787	0.72867579291042	-104017.020284773	-69.6012657219171	-83.4700001756616	-0.729067997676307	14141.4692965872	-248.777835745934	-119.001355331632	0.0224046845560262
0.007	111657.718488968	270.829440026024	89.7085306362304	0.81838432354665	-99763.4205287984	34.9923244757441	-22.2761494678032	-0.75134414714411	-11894.2979601696	-305.821764501768	-135.336661221423	-0.112931976665397
0.008	127735.517285636	196.769106014784	63.5444052791537	0.881928728825804	-92538.2882444724	136.160622147859	66.9979185410223	-0.684346228603088	-35197.2290411632	-332.929728162642	-177.726690662048	-0.290658667327445
0.009	134932.903940697	103.44764093584	38.7774281657255	0.92070615699153	-82877.2501140094	224.000569437303	150.809374491846	-0.533536854111242	-52055.6538266875	-327.448210373142	-213.782832053926	-0.50444149938137
0.01	133037.51485748	-2.41584530158434E-13	2.52514533338088	0.92323130232491	-68117.8784703451	289.913780286485	195.86885259998	-0.337668001511263	-64919.6363871347	-289.913780286484	-205.568744637372	-0.710010244018743
