"Time [s]"	"Current(Phase_A) [mA]"	"InputVoltage(Phase_A) [V]"	"InducedVoltage(Phase_A) [V]"	"FluxLinkage(Phase_A) [Wb]"	"Current(Phase_B) [mA]"	"InputVoltage(Phase_B) [V]"	"InducedVoltage(Phase_B) [V]"	"FluxLinkage(Phase_B) [Wb]"	"Current(Phase_C) [mA]"	"InputVoltage(Phase_C) [V]"	"InducedVoltage(Phase_C) [V]"	"FluxLinkage(Phase_C) [Wb]"
0	0	0	-55.8848216894115	-0	0	-487.903679018718	-306.654956138174	-0	0	487.903679018718	440.829127117628	-0
0.001	10564.1408032261	174.094810355438	42.3110578956946	0.0423110578956946	-36865.5844016751	-551.07137843285	-254.154169746215	-0.254154169746215	26301.443598449	376.976568077412	286.618622709092	0.286618622709092
0.002	30619.5780121291	331.148007683416	140.506937480801	0.182817995376495	-84764.2703046481	-560.296371785911	-201.653383354256	-0.455807553100472	54144.692292519	229.148364102494	132.408118300555	0.419026741009647
0.003	57373.2770920612	455.786130775503	205.594330034015	0.38841232541051	-127970.861794959	-514.675652454194	-217.017714336513	-0.672825267436985	70597.5847028982	58.8895216786914	11.5337795193379	0.430560520528985
0.004	89443.2032354707	535.808731738579	257.391491018827	0.645803816429337	-161057.41305284	-418.674894304133	-198.119438158567	-0.870944705595552	71614.2098173689	-117.133837434446	-72.0062729855423	0.358554247543442
0.005	125724.534993648	563.382640840131	257.377838208782	0.903181654638119	-181478.593763901	-281.691320420065	-162.22986581094	-1.03317457140649	55754.0587702535	-281.691320420065	-143.835591122588	0.214718656420854
0.006	164775.383638041	535.808731738579	218.824558562392	1.12200621320051	-188566.491014087	-117.133837434446	-93.6027337792551	-1.12677730518575	23791.1073760454	-418.674894304132	-185.4119575075	0.0293066989133546
0.007	199887.340742321	455.786130775503	182.486632668049	1.30449284586856	-182527.970008563	58.8895216786913	3.22320003122734	-1.12355410515452	-17359.3707337577	-514.675652454194	-218.422214468528	-0.189115515555173
0.008	224488.495345194	331.148007683416	129.240947507953	1.43373379337651	-167626.553074466	229.148364102494	112.099006959129	-1.01145509819539	-56861.9422707275	-560.29637178591	-287.187337664109	-0.476302853219282
0.009	236403.457937548	174.094810355438	68.1944747932919	1.5019282681698	-146682.710587899	376.976568077412	233.580500970674	-0.777874597224717	-89720.7473496485	-551.07137843285	-324.933628189883	-0.801236481409165
