"Time [s]"	"Current(EndConnection) [kA]"	"RingCurrent(EndConnection) [kA]"
0.059	2.6532643181181	-3.43340038215518
0.06	2.59791486598721	-0.67390110685953
0.061	2.32133803910526	2.18079469052984
0.062	1.80097710852927	4.86066300823945
0.063	1.07325717449307	7.21872978070664
0.064	0.270557110646003	8.7443389382589
0.065	-0.564269768404263	9.35213666430336
0.066	-1.38706148791465	9.05466238953414
0.067	-2.06092187717732	7.92812432410065
0.068	-2.49893839779355	5.97715755824012
0.069	-2.66340821724753	3.4293975273758
0.07	-2.57716651943973	0.480265225775912
0.071	-2.28791328017065	-2.37959346579405
0.0720000000000001	-1.80501641559754	-4.9822080139281
0.0730000000000001	-1.10966296966388	-7.23703753582217
0.0740000000000001	-0.272753061933739	-8.78411698009682
0.0750000000000001	0.606751353637928	-9.39287113945667
0.0760000000000001	1.41768054200204	-9.04324694966924
0.0770000000000001	2.09536441071454	-7.74149735556094
0.0780000000000001	2.49533521396942	-5.89836189530527
0.0790000000000001	2.68376752517488	-3.46041571022022
0.0800000000000001	2.62649072769916	-0.694323768462128
0.0810000000000001	2.34554966821156	2.1690222725748
0.0820000000000001	1.82627837631872	4.83870654591912
0.0830000000000001	1.09654779667284	7.19904166133582
0.0840000000000001	0.291906203318846	8.72495866074001
0.0850000000000001	-0.542649146470509	9.32865120936995
0.0860000000000001	-1.36651495695894	9.02885432389296
0.0870000000000001	-2.04296769576332	7.90391510860088
0.0880000000000001	-2.48319167092867	5.96187121054382
0.0890000000000001	-2.65151253714075	3.43038913439228
0.0900000000000001	-2.56801599913229	0.4952727193467
0.0910000000000001	-2.27937907974912	-2.36294265530348
0.0920000000000001	-1.79493426689285	-4.96735667817505
0.0930000000000001	-1.09699828834854	-7.22916375240194
0.0940000000000001	-0.259965576929259	-8.77724415419358
0.0950000000000001	0.619546293443615	-9.38859218595998
0.0960000000000001	1.43016295210081	-9.04181712013434
0.0970000000000001	2.1067836705038	-7.74405809292484
0.0980000000000001	2.50725905343992	-5.90178810914046
0.0990000000000001	2.69424254995641	-3.47741066799222
0.1	2.63672999253321	-0.707138531209165
0.101	2.35442359540412	2.15362897924634
0.102	1.83569484498981	4.82169139343613
0.103	1.10577625419538	7.18306053389908
0.104	0.301709796349949	8.7082906088074
0.105	-0.532529943077894	9.31004609915761
0.106	-1.35690572509209	9.00882724742419
0.107	-2.03444535172073	7.88507168774485
0.108	-2.47661980485413	5.95119148331559
0.109	-2.64924729492234	3.43346643330077
0.11	-2.56779286372209	0.508895043597648
0.111	-2.27887174097835	-2.34778124355706
0.112	-1.7922015414722	-4.95550700138454
0.113	-1.09100858538403	-7.22300126540463
0.114	-0.253626810783744	-8.77113248521252
0.115	0.626116046102466	-9.38430687964964
0.116	1.43679582005155	-9.03984055004853
0.117	2.11275220040953	-7.74564560880019
0.118	2.51407805787004	-5.90399667887177
0.119	2.69999224312267	-3.49024115729052
0.12	2.64248018865001	-0.716261491618847
0.121	2.35972386961146	2.13979933496462
0.122	1.84110964046998	4.8076848387214
0.123	1.11137124030446	7.16971457071397
0.124	0.308485853556516	8.69380911305217
0.125	-0.525475330735413	9.29426077538613
0.126	-1.35023836175345	8.99203036335221
0.127	-2.02841597525926	7.86914533405666
0.128	-2.47228136939252	5.94262893279636
0.129	-2.64933247817701	3.43680014396086
0.13	-2.56976021910053	0.52071407692607
0.131	-2.28042837130229	-2.3336559928563
0.132	-1.79133644502833	-4.9461778340136
0.133	-1.08686493351178	-7.21836517535594
0.134	-0.249185729858806	-8.76620508026109
0.135	0.630780686783804	-9.38083364279624
0.136	1.44150036855941	-9.03823829661491
0.137	2.11697618198059	-7.74728976548849
0.138	2.51902620330321	-5.90636181277968
0.139	2.70419363178142	-3.50019311658519
0.14	2.64672250016257	-0.722786942246965
0.141	2.3637021576597	2.1281201953227
0.142	1.84490511156914	4.79668043224427
0.143	1.11551093703251	7.1582383857649
0.144	0.313699931172574	8.68131158520481
0.145	-0.520085064509993	9.28089884983752
0.146	-1.34517577500841	8.97794661681202
0.147	-2.02378010687861	7.85560259808907
0.148	-2.46893481876965	5.93567348589209
0.149	-2.65017544494628	3.44001089994945
0.15	-2.57243609484685	0.531105918127867
0.151	-2.28271285370086	-2.32222186203022
0.152	-1.79118857397455	-4.93798949406289
0.153	-1.08358491803247	-7.21457311355877
0.154	-0.2457013572018	-8.76196533606296
0.155	0.634434585491321	-9.37777567365915
0.156	1.44511730669745	-9.03668173386551
0.157	2.12019717853184	-7.74877949473674
0.158	2.52277172427233	-5.90867791813268
0.159	2.70750403671003	-3.50793326326356
0.16	2.65001982451582	-0.728096073199496
0.161	2.36678584727614	2.11842049704441
0.162	1.84772362425056	4.78842910551428
0.163	1.11217688562313	7.14678968439234
0.164	0.317008995679262	8.6722576993183
0.165	-0.515786336728861	9.26995680435734
0.166	-1.3411712691821	8.96635970975607
0.167	-2.0201045716799	7.84430577627521
0.168	-2.46637946540136	5.92929026787118
0.169	-2.6511719903164	3.44322282430954
0.17	-2.57518171821588	0.54060423465751
0.171	-2.28504304613483	-2.31212291915548
0.172	-1.79121432930113	-4.9306236699383
0.173	-1.08077867175691	-7.21114066471044
0.174	-0.242790514069973	-8.75796412141831
0.175	0.637453796787557	-9.37471821821269
0.176	1.44803342058361	-9.03487727436422
0.177	2.122755860961	-7.74985819882019
0.178	2.52570753592384	-5.91062553138825
0.179	2.7102109283415	-3.51407224552832
0.18	2.65268713257282	-0.731997405531577
0.181	2.37113298812662	2.10406345459684
0.182	1.85006402707593	4.77975512360103
0.183	1.12097365842206	7.1415726469844
0.184	0.319963987477428	8.66362725267972
0.185	-0.51345064668383	9.26139688474211
0.186	-1.33896587247057	8.95745458065591
0.187	-2.01806588032131	7.83552562943102
0.188	-2.46492632581029	5.92496522964881
0.189	-2.65280097308264	3.44656282192477
0.19	-2.57843141232214	0.54942277502828
0.191	-2.28788681416121	-2.3025966043878
0.192	-1.79176759932625	-4.92383127334439
0.193	-1.07882298492021	-7.20770973715737
0.194	-0.240778697293601	-8.75389148136821
0.195	0.639543516562164	-9.37141665246142
0.196	1.44999582453002	-9.0326674859976
0.197	2.12441218966684	-7.75039744537646
0.198	2.52762733201325	-5.91197704460953
0.199	2.71205500680669	-3.51877355846453
0.2	2.65448216396299	-0.734621235013486
0.201	2.37250845855496	2.09921345447379
0.202	1.8515436469617	4.77350315477321
0.203	1.12256525205886	7.13505623971081
0.204	0.323203309058435	8.65610190164881
0.205	-0.512231613273178	9.25458032706847
0.206	-1.33768700685521	8.95001407272345
0.207	-2.01690916596283	7.82817300645929
0.208	-2.46405100743069	5.9214384840012
0.209	-2.65443664995665	3.44959488252167
0.21	-2.58158490716349	0.557343861927487
0.211	-2.29069041234999	-2.29393283720762
0.212	-1.79237598097348	-4.91779335480002
0.213	-1.07729169665722	-7.20457642046433
0.214	-0.239207374838717	-8.75023767778501
0.215	0.641130939864081	-9.36826767074444
0.216	1.45143116346878	-9.03046144778538
0.217	2.12556261167543	-7.75085640930256
0.218	2.52899661987612	-5.91305638262598
0.219	2.71344023292214	-3.52227303040678
0.22	2.65576459947678	-0.73635140918642
0.221	2.37342036842891	2.09547830417537
0.222	1.85258314545723	4.76816727507982
0.223	1.12362191418524	7.12963120434369
0.224	0.321696815707919	8.65192815022521
0.225	-0.51154635310869	9.24864389561539
0.226	-1.33710443500395	8.94408428094459
0.227	-2.01645529616862	7.82220692608753
0.228	-2.46365864264351	5.91864118519765
0.229	-2.65599866776576	3.45252509468681
0.23	-2.58457753947288	0.564680770842808
0.231	-2.29336225509256	-2.28584088318125
0.232	-1.79299641099431	-4.91214348247687
0.233	-1.07615531891575	-7.20131632489841
0.234	-0.238045700560662	-8.74655916644206
0.235	0.642308694588281	-9.36508614600003
0.236	1.45244507080431	-9.02812114973102
0.237	2.12631183134918	-7.75109899492824
0.238	2.5299512534564	-5.91390453243499
0.239	2.71445811076477	-3.52480650390688
0.24	2.65665137712642	-0.73748492312496
0.241	2.37397371921785	2.09264006585661
0.242	1.85335413909286	4.76331869058278
0.243	1.1242680803788	7.12525013069157
0.244	0.321483756656411	8.64777359086278
0.245	-0.511754839151346	9.24417844302421
0.246	-1.33721838468981	8.93938634201147
0.247	-2.01670822641375	7.81737401505684
0.248	-2.46369641312325	5.91657827983632
0.249	-2.65750883598215	3.45517784284773
0.25	-2.58740505307559	0.571434616027688
0.251	-2.29588384314844	-2.2783251089003
0.252	-1.79364497077808	-4.90688444524189
0.253	-1.07534795932194	-7.19811162887586
0.254	-0.237232444960262	-8.74296579463602
0.255	0.643115922747204	-9.36189413014473
0.256	1.453089098738	-9.02569926907361
0.257	2.12671027298137	-7.75118737019047
0.258	2.53056772375932	-5.9145602056987
0.259	2.71514943085686	-3.52640894949805
0.26	2.65718247201622	-0.738094295500686
0.261	2.3742090752502	2.09044307572172
0.262	1.85373044554804	4.75974801623186
0.263	1.124564731423	7.1215017984528
0.264	0.320630742906595	8.64484233953998
0.265	-0.512541545047972	9.24061947547045
0.266	-1.33784608845128	8.93563346690681
0.267	-2.01741877514017	7.81339805560275
0.268	-2.46404175956199	5.91516967676899
0.269	-2.65889703079473	3.45761176443652
0.27	-2.59001805299099	0.577540701926878
0.271	-2.29821464261513	-2.27138223086073
0.272	-1.79431946383177	-4.9018909886726
0.273	-1.07480719010776	-7.19503271209733
0.274	-0.236699232807156	-8.73950797528684
0.275	0.643621421457836	-9.35874228722049
0.276	1.45343626326319	-9.02325425881252
0.277	2.12682688015073	-7.75121054671896
0.278	2.53091628376129	-5.91506647202699
0.279	2.71555903512411	-3.5276401409657
0.28	2.65665177911523	-0.738531852760876
0.281	2.3741708393604	2.08879214920644
0.282	1.85376494661296	4.75767207889258
0.283	1.12462543555922	7.11833525248445
0.284	0.319457183080307	8.64246887331486
0.285	-0.513739355125203	9.23782188981829
0.286	-1.33883581675231	8.93265530228137
0.287	-2.01850225244435	7.81014433904276
0.288	-2.46466578873052	5.91400667223121
0.289	-2.66013443254977	3.4598204438866
0.29	-2.59204192323956	0.584968372258611
0.291	-2.30031782896991	-2.26514063046607
0.292	-1.7949571323843	-4.89761115589009
0.293	-1.07447452068341	-7.19213608317952
0.294	-0.236371914116251	-8.73629405166424
0.295	0.643893765589763	-9.35569932032636
