"Time [s]"	"Pem [kW]"	"Pout [kW]"	"Pin [kW]"
0	0	0	0.3815
0.001	-0	-0	2.71159816616746
0.002	-0	-0	11.1707125245943
0.003	-0	-0	23.9524960295098
0.004	-0	-0	38.1416692186538
0.005	-0	-0	52.1044690715741
0.006	-0	-0	64.5135349172041
0.007	-0	-0	73.7608716421497
0.008	-0	-0	78.7875342568251
0.009	0	0	79.6679364095859
0.01	0	0	77.0517536207386
0.011	0	0	71.4394461463153
0.012	0	0	63.5912566985739
0.013	0	0	54.649644768134
0.014	0	0	45.8622480198345
0.015	0	0	37.6736384712375
0.016	0	0	30.8379682786867
0.017	0	0	25.6327396618864
0.018	-0	-0	22.3568178922802
0.019	0	0	20.6045349717237
0.02	0	0	20.7045000225995
0.021	0	0	22.2964862418206
0.022	0	0	24.729110221978
0.023	-0	-0	28.147626534035
0.024	-0	-0	31.8292672706393
0.025	-0	-0	35.6157036697422
0.026	-0	-0	39.0199773161513
0.027	-0	-0	42.0187728436431
0.028	-0	-0	43.754502333492
0.029	0	0	44.0376611235755
0.03	0	0	43.4935841349369
0.031	0	0	42.1996215142246
0.032	0	0	40.1964123880644
0.033	0	0	38.1304641905844
0.034	0	0	36.401120165184
0.035	0	0	34.854238801774
0.036	0	0	33.5251482273124
0.037	0	0	32.0986723220577
0.038	0	0	31.1805835572483
0.039	0	0	30.6295042122565
0.04	0	0	30.6401497665497
0.041	0	0	31.4524335667975
0.042	0	0	31.8693316257957
0.043	-0	-0	32.7564167178554
0.044	-0	-0	33.5433035607364
0.045	-0	-0	34.5800791889044
0.046	-0	-0	35.7057460012089
0.047	-0	-0	37.0025808940675
0.048	-0	-0	37.7301041464441
0.049	0	0	37.670640301416
0.05	0	0	37.319568723308
0.051	0	0	36.7163907705986
0.052	0	0	35.7936203014345
0.053	0	0	35.1674565689998
0.054	0	0	34.9073161274675
0.055	0	0	34.772594284874
0.056	0	0	34.5639348817716
0.057	0	0	34.0272623486771
0.058	0	0	33.574975326249
0.059	0	0	33.3093893462451
0.06	0	0	33.2011442833883
0.061	0	0	33.7267569331972
0.062	0	0	33.6129796682434
0.063	-0	-0	33.8917263583243
0.064	-0	-0	34.0167427566367
0.065	-0	-0	34.4037007887304
0.066	-0	-0	34.9812200307237
0.067	-0	-0	35.8799950848046
0.068	-0	-0	36.3943326237435
0.069	0	0	36.2748000842937
0.07	0	0	35.9310040273822
0.071	0	0	35.4450043833716
0.0720000000000001	0	0	34.7542627425316
0.0730000000000001	0	0	34.4582115597666
0.0740000000000001	0	0	34.5221207998572
0.0750000000000001	0	0	34.7034720301357
0.0760000000000001	0	0	34.7558777356875
0.0770000000000001	0	0	34.4498320408786
0.0780000000000001	-0	-0	34.1513828339906
0.0790000000000001	0	0	33.9469762707162
0.0800000000000001	0	0	33.7921002435606
0.0810000000000001	0	0	34.1940057791544
0.0820000000000001	0	0	33.9390478191145
0.0830000000000001	-0	-0	34.0852719129943
0.0840000000000001	-0	-0	34.0752084251287
0.0850000000000001	-0	-0	34.3145878448357
0.0860000000000001	-0	-0	34.7494556879736
0.0870000000000001	-0	-0	35.5451099833897
0.0880000000000001	-0	-0	36.0298461108026
0.0890000000000001	0	0	35.9151446930576
