"Time [s]"	"RingSolidLoss(EndConnection) [kW]"
0.19	3.98688346910959
0.191	3.95717528381207
0.192	3.95096272996149
0.193	4.00458078166513
0.194	4.08834098383129
0.195	4.15733699538722
0.196	4.18061452724752
0.197	4.11971830211736
0.198	4.08374865818536
0.199	4.05077151439103
0.2	4.0252448755426
0.201	4.07834916525265
0.202	4.07640815573401
0.203	4.11236334669014
0.204	4.09282332754472
0.205	4.05093680946146
0.206	3.99986516213907
0.207	4.0345925442011
0.208	4.0671553289232
0.209	4.04326433671433
0.21	3.98879280587232
0.211	3.95859580349604
0.212	3.95182246682552
0.213	4.00585231200508
0.214	4.08758333070738
0.215	4.15356728122288
0.216	4.17443516511377
0.217	4.11353517266875
0.218	4.08061272871375
0.219	4.04944980735693
0.22	4.02335956825875
0.221	4.07226050196037
0.222	4.06947481422693
0.223	4.10813968760025
0.224	4.09125100386794
0.225	4.05210165510134
0.226	4.00080804937558
0.227	4.03246581534995
0.228	4.06535516641252
0.229	4.04422409509595
0.23	3.99051028497091
0.231	3.96001145883801
0.232	3.95238485564678
0.233	4.00697352682489
0.234	4.08695608180832
0.235	4.15024042477008
0.236	4.16884305252377
0.237	4.10792113405496
0.238	4.07774243174713
0.239	4.04833948544398
0.24	4.02159410188454
0.241	4.06682274006747
0.242	4.06307335490033
0.243	4.1045238997525
0.244	4.09043958073153
0.245	4.0534318113632
0.246	4.00180474308701
0.247	4.03058886186562
0.248	4.06360995462867
0.249	4.04493956118055
0.25	3.99197511589117
0.251	3.96129078622558
0.252	3.9527186973729
0.253	4.00808581997927
0.254	4.08647793015206
0.255	4.1472886002482
0.256	4.16377645588768
0.257	4.10284259550092
0.258	4.0751573990714
0.259	4.04765614916508
0.26	4.01992090125551
0.261	4.06192466501218
0.262	4.05750012542831
0.263	4.10124787705562
0.264	4.08995493762975
0.265	4.05467322617968
0.266	4.00281790133113
0.267	4.02888668542181
0.268	4.06192241824201
0.269	4.04541517411031
0.27	3.99321169761905
0.271	3.96240986827719
0.272	3.9528306410769
0.273	4.00920524837137
0.274	4.08615403624476
0.275	4.14466947694165
0.276	4.15916725891382
0.277	4.09822676119202
0.278	4.07284224466333
0.279	4.04702978592504
0.28	4.0175675139247
0.281	4.05763793991952
0.282	4.05295425979058
0.283	4.09832273958648
0.284	4.08950790102352
0.285	4.05585581183198
0.286	4.00384057304307
0.287	4.02732656994062
0.288	4.06027306550093
0.289	4.04561440906978
0.29	3.99370966306675
0.291	3.96316447140952
0.292	3.95305961000348
0.293	4.01036599903176
0.294	4.08605856179413
0.295	4.14236870430175
0.296	4.15499037959596
0.297	4.0940345773351
0.298	4.07078068187485
0.299	4.04651878690971
0.3	4.01626224805562
0.301	4.05343632467473
0.302	4.0484230554525
0.303	4.09554029042865
0.304	4.08907474179834
0.305	4.05695673891498
0.306	4.00488409047352
0.307	4.02595224017337
0.308	4.05878476737425
0.309	4.04571493714573
0.31	3.99449481087609
0.311	3.96377871003609
0.312	3.9530381142083
0.313	4.01139808332858
0.314	4.08589014723699
0.315	4.14019015264982
0.316	4.15106537716151
0.317	4.0901140244308
0.318	4.06890879048045
0.319	4.04600763821314
0.32	4.01498547936282
0.321	4.04976687894624
0.322	4.04426959862373
0.323	4.0930739218586
0.324	4.08872862030756
0.325	4.05803659100666
0.326	4.00596208090879
0.327	4.02474538800718
0.328	4.05741059067697
0.329	4.04567719225204
0.33	3.99508025360551
0.331	3.96439271176094
0.332	3.95290694422438
0.333	4.01234211246842
0.334	4.08573187090491
0.335	4.13816497615404
0.336	4.14740950193078
0.337	4.08646271817146
0.338	4.06720751679823
0.339	4.04554622726433
0.34	4.01377799426566
0.341	4.0464402694457
0.342	4.04045395697237
0.343	4.09076637853959
0.344	4.08843180418363
0.345	4.05907580136979
0.346	4.00705340568944
0.347	4.0237069877077
0.348	4.05613223535129
0.349	4.04552137411376
0.35	3.99547620845632
0.351	3.96487572600618
0.352	3.95275125549073
0.353	4.0132221743923
0.354	4.08563626503013
0.355	4.13628063105371
0.356	4.14398750963176
0.357	4.08305594365124
0.358	4.06565075862872
0.359	4.04512443221736
0.36	4.01269953185423
0.361	4.04340016098411
0.362	4.03679184102289
0.363	4.08868959511041
0.364	4.08820622963321
0.365	4.06010467288831
0.366	4.00816167157144
0.367	4.02274243010499
0.368	4.05496684545719
0.369	4.04530439482434
0.37	3.99573454017775
0.371	3.96527096888573
0.372	3.95258937879476
0.373	4.01405013816004
0.374	4.08559336742818
0.375	4.13451396649355
0.376	4.14077310505021
0.377	4.07985829787088
0.378	4.06422092985171
0.379	4.04478344716558
0.38	4.01173237650244
