"Time [s]"	"SolidLoss [kW]"	"StrandedLossR [kW]"
0	0	0
0.001	1.1330425088505	0.843876748868352
0.002	5.11829867193978	4.37338543301973
0.003	10.6023058663214	10.093348621567
0.004	16.2209073128036	16.9036083318617
0.005	21.5406215501082	23.8190945815827
0.006	26.2490828892848	30.0004794014107
0.007	29.725465607623	34.6643893348429
0.008	31.4672051859049	37.3831824369889
0.009	31.6250055035682	38.1301682177282
0.01	30.7511711269842	36.7677761930217
0.011	28.9418936090865	33.597384411125
0.012	26.306774449726	29.3003191523821
0.013	23.2274030531787	24.4722571375519
0.014	20.249033572852	19.697816205362
0.015	17.2733976579379	15.4663985865059
0.016	14.5647102688275	12.1986422378386
0.017	12.2141768064699	9.99509931736146
0.018	10.5451646175502	8.80114220371524
0.019	9.55322720425822	8.22880842280575
0.02	9.60214116900215	8.23482890408379
0.021	10.3642106909361	8.83038754466984
0.022	11.5384125744092	9.78517743693384
0.023	12.9704176476498	11.3438830916492
0.024	14.2742174479994	13.3001535477261
0.025	15.4725153657233	15.4767940482546
0.026	16.5396129417953	17.4600033217927
0.027	17.5882449332369	19.0448236161132
0.028	18.1236671085919	20.0816994492726
0.029	18.0628656432493	20.4536001900789
0.03	17.9015155339352	20.1788523091145
0.031	17.5697991598659	19.318759263744
0.032	17.0343528964031	18.0400675790838
0.033	16.6303582634655	16.5704020364315
0.034	16.3632612819468	15.2441387880922
0.035	15.9742472847277	14.2223261207504
0.036	15.4008614915649	13.5929236608543
0.037	14.6030811057239	13.1631959355404
0.038	13.8654498375266	13.0556805658098
0.039	13.5350075970025	12.9711704859655
0.04	13.6051730015136	12.8747084537288
0.041	14.1626964897027	12.9980533033332
0.042	14.4893806752976	13.016280597357
0.043	14.9512988050592	13.3537840273122
0.044	15.1245478463282	13.9221144104026
0.045	15.2518376947731	14.7923883176554
0.046	15.3912197661925	15.7201484686271
0.047	15.7567937831449	16.4998662445448
0.048	15.9009606420517	17.0375385576247
0.049	15.7093926121295	17.2106901105521
0.05	15.6008385264182	17.0514389106471
0.051	15.4731497001807	16.5940276571651
0.052	15.3151550927449	15.8883295599442
0.053	15.4700803584614	15.1209999254812
0.054	15.750188108961	14.5320959118165
0.055	15.8981597511604	14.2073212447404
0.056	15.7467062781899	14.1294356870726
0.057	15.3170281006751	14.1215459278877
0.058	14.7571382464508	14.2392473300491
0.059	14.5738591726169	14.2619080872878
0.06	14.6078541859134	14.1023611575607
0.061	15.0867355700961	14.057416598056
0.062	15.1755169872193	13.8403267999787
0.063	15.420626323717	13.8706041045502
0.064	15.3524848503498	14.0997388585519
0.065	15.2358483561244	14.6480871144556
0.066	15.1533485527634	15.3200722871307
0.067	15.3569705282966	15.9163073102155
0.068	15.4258950983777	16.3374951942445
0.069	15.2263406477325	16.4561427914727
0.07	15.1159103829564	16.3030069620233
0.071	15.0088429766322	15.9299537756477
0.0720000000000001	14.9273527440705	15.353035794006
0.0730000000000001	15.2034011528913	14.7548336628231
0.0740000000000001	15.5936483638592	14.3430625721164
0.0750000000000001	15.8474886927909	14.1929314680089
0.0760000000000001	15.7842938453856	14.2582723576697
0.0770000000000001	15.4447399372797	14.3656863993995
0.0780000000000001	14.9500202232217	14.5580200745285
0.0790000000000001	14.7927445245762	14.5982395091411
0.0800000000000001	14.8162245249432	14.4132918037424
0.0810000000000001	15.2550174104302	14.3025670268381
0.0820000000000001	15.2752749456486	14.0257665612406
0.0830000000000001	15.486776504717	13.9759999408341
0.0840000000000001	15.38513090696	14.1161003093561
0.0850000000000001	15.2231864233775	14.5770001926771
0.0860000000000001	15.0821782518929	15.1817582576656
0.0870000000000001	15.2405428069718	15.7343875960412
0.0880000000000001	15.3073121861459	16.1291438587257
