"Time [s]"	"factor_puissance []"
0	0.00508892541805668
0.001	0.0361706968056762
0.002	0.149008972225981
0.003	0.319508429542528
0.004	0.5087814153969
0.005	0.695034749810437
0.006	0.860562431582823
0.007	0.983915005393845
0.008	1.05096693500804
0.009	1.06271084298523
0.01	1.0278129161374
0.011	0.952948920959043
0.012	0.848259928124613
0.013	0.728985495015269
0.014	0.611768177398049
0.015	0.502538234356379
0.016	0.411355493092095
0.017	0.341921626211804
0.018	0.298223273496433
0.019	0.274849126460924
0.02	0.276182585670148
0.021	0.297418494284016
0.022	0.329867883550588
0.023	0.375468341093099
0.024	0.424578682180016
0.025	0.475086919231784
0.026	0.520497390238944
0.027	0.560499085608297
0.028	0.583652422226285
0.029	0.587429549262201
0.03	0.580171968090871
0.031	0.562911471968831
0.032	0.5361901565303
0.033	0.508631948680904
0.034	0.485563789395387
0.035	0.464929545911834
0.036	0.447200469090663
0.037	0.428172344601813
0.038	0.415925725332427
0.039	0.40857473795079
0.04	0.408716741703953
0.041	0.41955200167186
0.042	0.425113110791584
0.043	0.436946164193843
0.044	0.447442647695472
0.045	0.461272461186968
0.046	0.476288016765996
0.047	0.49358682685588
0.048	0.503291444342766
0.049	0.50249824100746
0.05	0.497815208039201
0.051	0.489769264093842
0.052	0.477460194380706
0.053	0.469107637280176
0.054	0.465637557843274
0.055	0.463840468959548
0.056	0.461057108172748
0.057	0.453898296914982
0.058	0.447865125421689
0.059	0.444322406563704
0.06	0.442878498171172
0.061	0.449889778836085
0.062	0.448372074994354
0.063	0.452090347907466
0.064	0.45375797340431
0.065	0.458919704899048
0.066	0.466623380783704
0.067	0.478612369559137
0.068	0.485473248655773
0.069	0.483878773745444
0.07	0.479292790802732
0.071	0.472809918085636
0.0720000000000001	0.463595939859211
0.0730000000000001	0.459646837922072
0.0740000000000001	0.460499339511446
0.0750000000000001	0.462918429643451
0.0760000000000001	0.463617482663199
0.0770000000000001	0.459535061390853
0.0780000000000001	0.455553971600732
0.0790000000000001	0.452827340524809
0.0800000000000001	0.450761409853145
0.0810000000000001	0.456122529894406
0.0820000000000001	0.452721580894713
0.0830000000000001	0.454672101230432
0.0840000000000001	0.454537861809218
0.0850000000000001	0.457731004701764
0.0860000000000001	0.463531817337255
0.0870000000000001	0.474145252115575
0.0880000000000001	0.480611270463785
0.0890000000000001	0.479081239113196
0.0900000000000001	0.474332661573795
0.0910000000000001	0.467990319306333
0.0920000000000001	0.45955445784938
0.0930000000000001	0.456728539964749
0.0940000000000001	0.458507154490569
0.0950000000000001	0.461866663587426
0.0960000000000001	0.463462559953664
0.0970000000000001	0.460412185657088
0.0980000000000001	0.457449748832689
0.0990000000000001	0.455091083789134
0.1	0.452692358240681
0.101	0.456904235708653
0.102	0.453015778689498
0.103	0.454617233375777
0.104	0.454224816493873
0.105	0.456966502483411
0.106	0.462071552181948
0.107	0.472166977330514
0.108	0.478703029054498
0.109	0.477382739063568
0.11	0.472497236880436
0.111	0.46601283591161
0.112	0.4579514487264
0.113	0.45547478073363
0.114	0.457411447436243
0.115	0.460947012783457
0.116	0.462826782254052
0.117	0.460280720914747
0.118	0.458072181626011
0.119	0.455888138776963
0.12	0.453315964813705
0.121	0.456630981954854
0.122	0.452529033664389
0.123	0.454126764203504
0.124	0.45379587301446
0.125	0.456424730299049
0.126	0.461127857017366
0.127	0.470884317102535
0.128	0.477543894903714
0.129	0.476440797326654
0.13	0.471467061962214
0.131	0.464759954874584
0.132	0.457077391496237
0.133	0.454748226826773
0.134	0.456671754224808
0.135	0.46020218862096
0.136	0.462199284848439
0.137	0.459988674724184
0.138	0.458396565365275
0.139	0.456387597494979
0.14	0.453644061524155
0.141	0.456214952455534
0.142	0.451992495508657
0.143	0.453626637242364
0.144	0.453410185839251
0.145	0.456011537204674
0.146	0.460411736125645
0.147	0.469873431562667
0.148	0.476627816257062
0.149	0.475731165839389
0.15	0.470702104612972
0.151	0.463848470790724
0.152	0.456425621766404
0.153	0.454231682672096
0.154	0.456112843425359
0.155	0.459595197967838
0.156	0.461654365791888
0.157	0.459701083430588
0.158	0.458636663473591
0.159	0.45678905762115
0.16	0.453891818741888
0.161	0.455846249369645
0.162	0.451562841616042
0.163	0.452654504576722
0.164	0.453174939988202
0.165	0.45569612974655
0.166	0.459816909702296
0.167	0.468996189976251
0.168	0.475834655750909
0.169	0.475087083994968
0.17	0.470021564991444
0.171	0.463115855903103
0.172	0.45585877715537
0.173	0.453817261195632
0.174	0.455644279880276
0.175	0.459080514231698
0.176	0.461180437020906
0.177	0.459446619103266
0.178	0.458852248463394
0.179	0.457149671087363
0.18	0.454133042695947
0.181	0.45551495621211
0.182	0.451089571012981
0.183	0.452917217005163
0.184	0.452926532484638
0.185	0.455475756447849
0.186	0.459389822923136
0.187	0.468306918650779
0.188	0.475193438488763
0.189	0.474589123071509
0.19	0.469494958314941
0.191	0.46254715096037
0.192	0.455403583115888
0.193	0.453497396824707
0.194	0.455258539592144
0.195	0.458634996843767
0.196	0.460747967759296
0.197	0.45919672911607
0.198	0.459012579825078
0.199	0.457435624846704
0.2	0.45432376822323
0.201	0.455287840032686
0.202	0.4507227879863
0.203	0.452637551176096
0.204	0.452792344891121
0.205	0.455275235517229
0.206	0.458972951640245
0.207	0.467648751137364
0.208	0.474575934223533
0.209	0.474109545500975
0.21	0.469001984423959
0.211	0.462037012327585
0.212	0.45499796860697
0.213	0.453237903793533
0.214	0.454949805116114
0.215	0.458265112257775
0.216	0.460383929543535
0.217	0.45899519757163
0.218	0.459172749850637
0.219	0.457723598612936
0.22	0.454513747861294
0.221	0.45511260283704
0.222	0.450401774961022
0.223	0.452401973790741
0.224	0.452542291900625
0.225	0.455079505680275
0.226	0.458630555905232
0.227	0.46707489546583
0.228	0.474026276828726
0.229	0.473679584832471
0.23	0.468562200132748
0.231	0.461592483307537
0.232	0.45462934583814
0.233	0.453006573789065
0.234	0.45467883001657
0.235	0.457942475198887
0.236	0.460056107175616
0.237	0.458814701843979
0.238	0.459318116674637
0.239	0.45800046275849
0.24	0.454693005023369
0.241	0.454964913633624
0.242	0.450110293904209
0.243	0.452213314128015
0.244	0.452386742162619
0.245	0.454924925522191
0.246	0.458324468408071
0.247	0.466554298378285
0.248	0.473517129624506
0.249	0.473283928975408
0.25	0.468159412336641
0.251	0.461195216416428
0.252	0.454291978975539
0.253	0.452808931194135
0.254	0.454442249705804
0.255	0.457657397444713
0.256	0.459761369115301
0.257	0.458656951553182
0.258	0.459454509901468
0.259	0.458278669435559
0.26	0.454858922145418
0.261	0.45483890898158
0.262	0.449873370366551
0.263	0.452046567958169
0.264	0.452270891947024
0.265	0.454781569095666
0.266	0.458049104647522
0.267	0.466075876261615
0.268	0.473042171189708
0.269	0.472917617002752
0.27	0.467794141814574
0.271	0.460837618694289
0.272	0.453976882981411
0.273	0.452642330054524
0.274	0.454237481944834
0.275	0.457405905536911
0.276	0.459495858119621
0.277	0.458519314254286
0.278	0.459582968140799
0.279	0.45853673952317
0.28	0.454860580619871
0.281	0.454772831754003
0.282	0.449720755253762
0.283	0.451908232640617
0.284	0.452162603652526
0.285	0.454652180126821
0.286	0.457800070966713
0.287	0.46563398266391
0.288	0.472598850769286
0.289	0.472563485311151
0.29	0.467377396150479
0.291	0.460520339119386
0.292	0.453712137414248
0.293	0.452506753112962
0.294	0.454070482612656
0.295	0.457186911734817
0.296	0.459259818680319
0.297	0.458401904750109
0.298	0.459712547422545
0.299	0.458784728813396
0.3	0.45503169649799
0.301	0.454668023110489
0.302	0.449548899498187
0.303	0.451774476780091
0.304	0.452058292619328
0.305	0.45453416858444
0.306	0.457576619045638
0.307	0.465231602095122
0.308	0.472197035082055
0.309	0.472244304619229
0.31	0.467063251573839
0.311	0.460213019223253
0.312	0.453447396396095
0.313	0.452375016037352
0.314	0.453907349486757
0.315	0.456980993466556
0.316	0.459036808477483
0.317	0.458292210613701
0.318	0.459837395834668
0.319	0.459013975933191
0.32	0.455184649595894
0.321	0.454592489119604
0.322	0.4493991868655
0.323	0.451661536073031
0.324	0.451967297750632
0.325	0.454429680706012
0.326	0.457375970148915
0.327	0.464862454624212
0.328	0.471824903544801
0.329	0.471944843813459
0.33	0.466770849008721
0.331	0.459937852630321
0.332	0.453195941171741
0.333	0.452254309906264
0.334	0.453755542166377
0.335	0.456791295041275
0.336	0.458830352318914
0.337	0.458191839163662
0.338	0.459957111829107
0.339	0.459233391606067
0.34	0.455329981614247
0.341	0.454530215115924
0.342	0.44926794312614
0.343	0.451557772261984
0.344	0.451886274181716
0.345	0.45433543629896
0.346	0.457195033876563
0.347	0.464527813412785
0.348	0.471477943536542
0.349	0.471663291346978
0.35	0.466496166198025
0.351	0.459683281396863
0.352	0.452962723197532
0.353	0.452143664437435
0.354	0.453621173647544
0.355	0.456616424376442
0.356	0.458637753238357
0.357	0.45810159210055
0.358	0.460072657538633
0.359	0.459440771471195
0.36	0.455474392691246
0.361	0.454480477425809
0.362	0.449145093226139
0.363	0.451471231214433
0.364	0.451816813515559
0.365	0.45425372275574
0.366	0.457031316192264
0.367	0.464210972627732
0.368	0.471157449001319
0.369	0.47139950237611
0.37	0.466239535778905
0.371	0.459448347973434
0.372	0.452744096473788
0.373	0.452041967401271
0.374	0.453501006373844
0.375	0.456454188171083
0.376	0.458457844032139
0.377	0.4580184643977
0.378	0.460182435674999
0.379	0.459638116953452
0.38	0.455615176146627
0.381	0.454437401220458
0.382	0.44903946699118
0.383	0.451392894863281
0.384	0.451750331440979
0.385	0.454178199790889
0.386	0.456881514236449
0.387	0.463921325532868
0.388	0.470857271503353
0.389	0.471147150971647
0.39	0.465995918968387
0.391	0.459227721059242
0.392	0.452539270948765
0.393	0.451950314689305
0.394	0.453384071407572
0.395	0.456304472729606
0.396	0.458290606378597
0.397	0.457943758148738
0.398	0.460268031701871
0.399	0.459829277237226
0.4	0.455743056608948
0.401	0.454396034776135
0.402	0.448936245202593
0.403	0.451316905114919
0.404	0.451696097182802
0.405	0.454106534975335
0.406	0.456741107128069
0.407	0.463648337611948
0.408	0.470409766225897
0.409	0.470973904543303
0.41	0.465733979180571
0.411	0.458990260632923
0.412	0.452311413460552
0.413	0.451830755442954
0.414	0.45324604522731
0.415	0.45614042523841
0.416	0.458114526097419
0.417	0.457864192354865
0.418	0.460365495417626
0.419	0.46000305926798
0.42	0.45587648384089
0.421	0.45437501596594
0.422	0.448994888182234
0.423	0.450714446174424
0.424	0.451741308310029
0.425	0.454046715054095
0.426	0.456585406676138
0.427	0.463364248869462
0.428	0.470097432128159
0.429	0.470707982628222
0.43	0.465474423413851
0.431	0.458758787954527
0.432	0.452101934852456
0.433	0.45173213491849
0.434	0.453132212051838
0.435	0.456008795341695
0.436	0.457973333692129
0.437	0.457816561005297
0.438	0.460486021965677
0.439	0.460192386737119
0.44	0.456018124193133
