"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
0	-0	-0	-0
0.001	0.0374887245006939	0.272181161573068	-0.291414780122339
0.002	0.14877410297903	0.414123465742595	-0.523743727480297
0.003	0.321249786822079	0.47760686473637	-0.739286482243757
0.004	0.532515917642739	0.46505635428113	-0.929178192615573
0.005	0.75993442824219	0.365753886560251	-1.07932658348297
0.006	0.980213223939662	0.191263064853651	-1.1715022975
0.007	1.17912848804719	-0.0321263129721037	-1.19227397319855
0.008	1.33833593065878	-0.291606618241585	-1.13470626585078
0.009	1.44893349846052	-0.534403687980385	-1.0031522389885
0.01	1.5008637481425	-0.759692173914532	-0.815083658868982
0.011	1.49129262058382	-0.951496844868517	-0.571042254858475
0.012	1.41315941129324	-1.08651164128752	-0.299377500330352
0.013	1.26331036467241	-1.16154566917609	-0.0424247062228125
0.014	1.06152926635135	-1.17436628981063	0.166037430382444
0.015	0.829375148568407	-1.12048485076644	0.325244694096801
0.016	0.591408037471218	-0.999042292044757	0.424205884716648
0.017	0.35575620460262	-0.80398572206715	0.455302416592877
0.018	0.184450633965225	-0.516493195057829	0.425665822532594
0.019	0.0845554933600886	-0.183569188720728	0.310174961018225
0.02	0.0377520481927306	0.0818259890625077	0.0882766614935626
0.021	0.0502209903384917	0.25878000128633	-0.213760570655765
0.022	0.145672519968662	0.386413282162204	-0.483272438686009
0.023	0.313114503036679	0.460848159908414	-0.709506132131187
0.024	0.522475664835107	0.466637843564814	-0.903299553910362
0.025	0.763721971203353	0.394140923801952	-1.05028846330645
0.026	1.00625192335928	0.242787728608064	-1.14229104436579
0.027	1.21791037086381	0.00412588856208894	-1.17143679901564
0.028	1.37738350352973	-0.26640426247163	-1.12225629372664
0.029	1.48077892794752	-0.534233115831555	-0.995139336524849
0.03	1.52703468981774	-0.768197864514108	-0.799536963927342
0.031	1.51145132429744	-0.956061202128543	-0.541659457529954
0.032	1.42137569348525	-1.08621052470769	-0.260950934506698
0.033	1.26377350463963	-1.15899696711601	-0.015021373319461
0.034	1.05469228197568	-1.16925606916808	0.188184769651975
0.035	0.819982231245087	-1.11097722543919	0.342975571698708
0.036	0.569600234357697	-0.974573727740887	0.440502587119445
0.037	0.340608070719532	-0.773592639356797	0.473772910949565
0.038	0.186109695315816	-0.45648992427634	0.451649578133529
0.039	0.0804018444543198	-0.159647829696852	0.327194910721982
0.04	0.0316599127663649	0.0978878088844028	0.113250723410091
0.041	0.0423542434052185	0.273149681155102	-0.17361804668392
0.042	0.130997568449987	0.39804762604997	-0.454348392260914
0.043	0.295658598034759	0.473095999292402	-0.682109927966646
0.044	0.505505852950637	0.48236883863369	-0.877859669362316
