"Time [s]"	"Current(Phase_A) [A]"	"Current(Phase_C) [A]"	"Current(Phase_B) [A]"
0	0	0	0
0.001	8.47095069773865	25.6440200177043	-34.114970715443
0.002	30.5223877313291	49.600553042732	-80.1229407740611
0.003	63.238673858463	59.6093105796003	-122.847984438063
0.004	102.878858281911	53.5522020019724	-156.431060283884
0.005	144.066311392381	33.5711535731754	-177.637464965557
0.006	182.366195733016	2.14091001584636	-184.507105748863
0.007	213.230287182464	-37.4506704286671	-175.779616753797
0.008	232.62503616392	-79.5968878775171	-153.028148286402
0.009	238.78723090211	-122.086816963508	-116.700413938602
0.01	229.031709995447	-158.126406576616	-70.9053034188309
0.011	204.180054945274	-182.215417634139	-21.9646373111349
0.012	166.977129467553	-192.832198600244	25.8550691326913
0.013	120.349141501579	-188.97026918819	68.6211276866115
0.014	67.2067058269996	-170.380830867671	103.174125040671
0.015	13.3599491665525	-137.886908573365	124.526959406813
0.016	-35.9600098598079	-94.7752305842001	130.735240444008
0.017	-73.8080753495731	-47.5120764997332	121.320151849306
0.018	-98.493790313912	-1.71128941210785	100.20507972602
0.019	-109.36355117292	38.5506622700114	70.8128889029088
0.02	-108.420347455564	74.7291188592925	33.6912285962713
0.021	-95.510907810372	103.104906207743	-7.59399839737095
0.022	-67.5252284380166	120.691241620587	-53.1660131825705
0.023	-27.768868304604	124.095337522093	-96.3264692174893
0.024	18.837044407721	111.631292501883	-130.468336909604
0.025	65.7332340643138	85.9615911757391	-151.694825240053
0.026	108.192132297621	49.8570922541387	-158.04922455176
0.027	141.547646663308	8.82737496496878	-150.375021628277
0.028	164.719640005156	-35.703330471906	-129.01630953325
0.029	174.651755010528	-79.202239285505	-95.449515725023
0.03	169.673086893071	-117.139946498118	-52.5331403949523
0.031	150.255692370136	-143.959924730544	-6.29576763959241
0.032	118.523132491844	-157.751607004793	39.2284745129497
0.033	75.4552352935218	-157.382957148362	81.9277218548404
0.034	25.893522545258	-141.775928418694	115.882405873436
0.035	-24.9499548780459	-111.970741331215	136.920696209261
0.036	-69.810843924848	-72.7627113896935	142.573555314541
0.037	-105.665687574094	-27.1147996439229	132.780487218017
0.038	-128.056312328287	15.5912254172326	112.465086911054
0.039	-138.621885934618	57.5579580115258	81.0639279230918
0.04	-135.533578642682	93.5531330933471	41.9804455493353
0.041	-119.972055370062	121.51112675095	-1.53907138088826
0.042	-90.375047192635	137.247382418908	-46.8723352262732
0.043	-48.8664831098486	139.273967647323	-90.4074845374739
0.044	-0.828715204210113	125.379714805718	-124.550999601508
0.045	48.0841207301951	97.855462432369	-145.939583162564
0.046	91.7991253763497	60.4651637886489	-152.264289164999
0.047	125.706164235959	18.7365480507932	-144.442712286752
0.048	149.480330065585	-26.2299188282473	-123.250411237337
0.049	159.971552966099	-69.3755552787923	-90.5959976873067
0.05	155.986229800948	-107.629837454587	-48.3563923463608
0.051	137.910582866197	-134.906217071171	-3.00436579502619
0.052	107.368266267259	-149.477974033543	42.109707766284
0.053	65.1504217551137	-149.955995178519	84.8055734234051
0.054	16.287125622519	-135.037760381564	118.750634759045
0.055	-33.7469175680242	-105.937940730161	139.684858298186
0.056	-77.6715685056228	-67.5820699364432	145.253638442066
0.057	-113.266467749996	-22.2248309478953	135.491298697891
0.058	-135.135246736474	19.8555499023498	115.279696834124
0.059	-145.505405567942	61.8373418207543	83.6680637471879
0.06	-141.896960778939	97.7436885596693	44.1532722192695
0.061	-125.569294656728	125.577101503979	-0.00780684725080505
0.062	-95.7516997398607	140.874887210869	-45.1231874710086
0.063	-53.8322121933991	142.612452676951	-88.7802404835514
0.064	-5.50095346383618	128.422298995196	-122.92134553136
0.065	43.8602714562137	100.497020138287	-144.357291594501
0.066	87.8842530826897	62.7923834858276	-150.676636568517
0.067	121.970830493426	20.8445259303199	-142.815356423746
0.068	145.803368675648	-24.0929320006594	-121.710436674989
0.069	156.354596250426	-67.0291232105118	-89.3254730399145
0.07	152.550043646717	-105.153001150077	-47.3970424966401
0.071	134.835812728545	-132.48392858524	-2.35188414330491
0.0720000000000001	104.62917166414	-147.243588634445	42.6144169703051
0.0730000000000001	62.6432276916054	-147.97413800792	85.3309103163144
0.0740000000000001	13.9520794282232	-133.241832527416	119.289753099193
0.0750000000000001	-35.8885558583081	-104.344919905056	140.233475763365
0.0760000000000001	-79.6453414124099	-66.1792103053959	145.824551717806
0.0770000000000001	-115.143615339727	-20.9831701434152	136.126785483142
0.0780000000000001	-137.025391642175	21.0974907506249	115.92790089155
0.0790000000000001	-147.228588727026	62.7472576623289	84.4813310646968
0.0800000000000001	-143.499343935516	98.6527905527397	44.8465533827764
0.0810000000000001	-126.914062928113	126.411270590694	0.502792337419265
0.0820000000000001	-97.141453132246	141.607165038377	-44.4657119061308
0.0830000000000001	-55.1329162279189	143.314338281749	-88.1814220538302
0.0840000000000001	-6.73471754442537	129.067152309042	-122.332434764617
0.0850000000000001	42.7256934906028	101.039551293323	-143.765244783926
0.0860000000000001	86.8321189620578	63.2374608788524	-150.06957984091
0.0870000000000001	120.951062284573	21.2426887427897	-142.193751027363
0.0880000000000001	144.750788094514	-23.6111235628053	-121.139664531709
0.0890000000000001	155.271125661132	-66.3669216495516	-88.9042040115803
0.0900000000000001	151.476729565674	-104.311038568088	-47.1656909975858
0.0910000000000001	133.880682437743	-131.633140289553	-2.24754214818955
0.0920000000000001	103.815048951747	-146.436207306704	42.6211583549569
0.0930000000000001	61.9086016214597	-147.270461592065	85.3618599706048
0.0940000000000001	13.2727971105733	-132.605898832079	119.333101721506
0.0950000000000001	-36.5242743985011	-103.784096189386	140.308370587887
0.0960000000000001	-80.2587005230857	-65.6790958176976	145.937796340783
0.0970000000000001	-115.71640443668	-20.5774935857889	136.293898022469
0.0980000000000001	-137.637667583916	21.5196394793184	116.118028104598
0.0990000000000001	-147.772876572808	62.936536298897	84.8363402739114
