"Time [s]"	"Moving1.Torque [kNewtonMeter]"
0.294	0.397789777587625
0.295	0.148579888543181
0.296	-0.055601898934719
0.297	-0.135169916848839
0.298	-0.105007769436447
0.299	0.0698328231070646
0.3	0.265169287234134
0.301	0.380339681567741
0.302	0.333372263996811
0.303	0.138370760869269
0.304	-0.151114927259767
0.305	-0.415291054343364
0.306	-0.514721637460344
0.307	-0.419586161538654
0.308	-0.199831173209385
0.309	0.0648262345067158
0.31	0.342701332490599
0.311	0.589314944706922
0.312	0.703718802649906
0.313	0.605776817159005
0.314	0.387236342114718
0.315	0.137074377569955
0.316	-0.0662038259877106
0.317	-0.143793675244213
0.318	-0.108886360345501
0.319	0.069688312185919
0.32	0.268216342399157
0.321	0.386784236215678
0.322	0.343477536590773
0.323	0.149957405981676
0.324	-0.139470768908069
0.325	-0.404700995412487
0.326	-0.507362298211273
0.327	-0.416451823642965
0.328	-0.198881172723077
0.329	0.0648507085265658
0.33	0.341858650717186
0.331	0.586621409331413
0.332	0.69880700725914
0.333	0.598084067532398
0.334	0.377309723809612
0.335	0.126295515766741
0.336	-0.0760813976256346
0.337	-0.151759619207869
0.338	-0.112405371979372
0.339	0.0695956151622051
0.34	0.271038108075547
0.341	0.392720942115087
0.342	0.352881208255072
0.343	0.160700196522067
0.344	-0.128606836847593
0.345	-0.394752521866505
0.346	-0.500434987367746
0.347	-0.413514589911265
0.348	-0.197998373991731
0.349	0.0648627132590435
0.35	0.341043944862146
0.351	0.584123588112794
0.352	0.694203736694469
0.353	0.590757627860957
0.354	0.368033813461913
0.355	0.116183857342729
0.356	-0.0853171727386581
0.357	-0.159175408078276
0.358	-0.115616520158997
0.359	0.0694779819236939
0.36	0.273577890900425
0.361	0.398153788589222
0.362	0.361441137925197
0.363	0.170794586671324
0.364	-0.118395100991122
0.365	-0.385351104082999
0.366	-0.493890814047242
0.367	-0.410712946911812
0.368	-0.197158501504631
0.369	0.0648643330569931
0.37	0.340263816982937
0.371	0.581736320774091
0.372	0.689858700417732
0.373	0.583902993879722
0.374	0.359317917505475
0.375	0.106659744540552
0.376	-0.0939810899625588
0.377	-0.166072623982548
0.378	-0.118552088670277
0.379	0.0693800928902443
0.38	0.27587679382675
0.381	0.403210676838667
0.382	0.369615678359571
0.383	0.180240252022436
0.384	-0.108815927816366
0.385	-0.376457861833843
0.386	-0.48768710597267
0.387	-0.408043618909913
0.388	-0.196385043935783
0.389	0.0648571900525314
0.39	0.339518385385435
0.391	0.579467268863715
0.392	0.685731500671738
0.393	0.577466324723139
0.394	0.351036598000282
0.395	0.0976659085742872
0.396	-0.102130093182391
0.397	-0.172505059404318
0.398	-0.121256797085275
0.399	0.0690721050834604
0.4	0.278028231840953
0.401	0.407872268633044
0.402	0.37718104051115
0.403	0.189101000135894
0.404	-0.0996485390391906
0.405	-0.367996126542367
0.406	-0.481779543674029
0.407	-0.405472745387885
0.408	-0.194099757219762
0.409	0.0650590645561679
0.41	0.338763636882116
0.411	0.577287102012405
0.412	0.681773428719158
0.413	0.571298784981985
0.414	0.343211090860676
0.415	0.0891721336797099
0.416	-0.109791971339587
0.417	-0.178486330318543
0.418	-0.123676787453258
0.419	0.0690012969271475
0.42	0.280088047491251
0.421	0.412330206600034
0.422	0.385393795165048
0.423	0.20109829655815
0.424	-0.0906158500870835
0.425	-0.359764459372187
0.426	-0.476187670984386
0.427	-0.403085929844274
0.428	-0.193392760195167
0.429	0.0650637560441142
0.43	0.338081898191061
0.431	0.575205537407272
0.432	0.67800560977213
0.433	0.565467063696361
0.434	0.3357331551353
0.435	0.0810861895139873
0.436	-0.117056712756291
0.437	-0.184122894315249
0.438	-0.125932936516686
0.439	0.0688352021405063
0.44	0.281970757502172
0.441	0.416467566524959
0.442	0.391101542645335
0.443	0.205426429412006
0.444	-0.0827994726316802
0.445	-0.352333375404065
0.446	-0.470807880356921
0.447	-0.400735363043659
0.448	-0.192774695853624
0.449	0.0651128004446168
0.45	0.337426584155605
0.451	0.573263357267167
0.452	0.674451039302499
0.453	0.559925373561327
0.454	0.328676095274768
0.455	0.0734161795023138
0.456	-0.123954167310013
0.457	-0.189445800604132
0.458	-0.128050633933768
0.459	0.0686949186002032
0.46	0.283720829013069
0.461	0.420334911604591
0.462	0.397410715621919
0.463	0.212885444222553
0.464	-0.0750055638354756
0.465	-0.345057266618109
0.466	-0.465682956812235
0.467	-0.398554383915537
0.468	-0.192157293813586
0.469	0.0651850544485663
0.47	0.336803341736612
0.471	0.571389344191397
0.472	0.671038650145321
0.473	0.554650401724136
0.474	0.321964981240659
0.475	0.0661123357744378
0.476	-0.130497577315618
0.477	-0.194466987367066
0.478	-0.130026057023801
0.479	0.0685986569319711
0.48	0.285360947219191
0.481	0.423957134687635
0.482	0.403300201188592
0.483	0.219990294373258
0.484	-0.0674720854083928
0.485	-0.338119994377839
0.486	-0.460787232431982
0.487	-0.396383569878709
0.488	-0.191585291140335
0.489	0.0651985703751087
0.49	0.336200327547655
0.491	0.56958558110245
0.492	0.667764561157174
0.493	0.549619435237198
0.494	0.315563581869549
0.495	0.0591453712661646
