"Time [s]"	"Current(EndConnection) [kA]"	"RingCurrent(EndConnection) [kA]"
0	0	0
0.001	-0.12600068900668	2.26581904479693
0.002	-0.494279895166017	5.14362240623428
0.003	-1.06263144958613	7.57179658581276
0.004	-1.70723036038558	9.13108285612709
0.005	-2.31047874088831	9.72629746506387
0.006	-3.14575017092071	9.25572427560831
0.007	-3.9449399004227	6.96343639858407
0.008	-4.25652900052643	4.07059579039265
0.009	-4.24315103027798	1.19786428500317
0.01	-3.96409306173339	-1.50722483369814
0.011	-3.48139096341607	-4.07728656131373
0.012	-2.84458619481376	-6.51684747039125
0.013	-2.03962510708986	-8.54827905329201
0.014	-0.792265788169039	-9.87200366846641
0.015	-0.0731097187455198	-9.72953168167433
0.016	0.757625462530789	-8.56721605036444
0.017	1.4072771112097	-6.56760552738936
0.018	1.84018602696948	-4.05289670874834
0.019	1.99945558860453	-1.32082588600504
0.02	1.95372800461204	1.50676130544407
0.021	1.69982168280579	4.08808114971127
0.022	0.556517558038623	6.53764885850579
0.023	-0.496571075573753	7.50660486729422
0.024	-1.15964528767159	6.99965175547817
0.025	-1.82791607653533	5.63234525380217
0.026	-2.28400607485504	2.67274129057634
0.027	-2.56996508356402	-0.645583009105728
0.028	-2.50975206514961	-4.06171962487981
0.029	-1.92776649738574	-7.6436778603797
0.03	-0.62903370440314	-10.7979895089858
0.031	0.0430578973969441	-12.0535417416477
0.032	0.872044505799404	-12.3195804634732
0.033	1.60205724014347	-11.3001831398576
0.034	2.27809507738003	-9.32206967553473
0.035	2.66878231327343	-6.90497917588926
0.036	2.75481469842241	-4.19994416751893
0.037	2.56419194133986	-1.40066723399455
0.038	2.14859927483511	1.84610496108786
0.039	2.14496765426999	3.95627917556397
0.04	1.49185922736706	5.77836324383942
0.041	0.897114028405629	7.31832516909283
0.042	0.119561514423018	8.479446085316
0.043	-0.678701666849473	8.8946099339714
0.044	-1.33676715319042	8.40294418465016
0.045	-1.88788559802442	6.99834901025958
0.046	-2.30717830796416	4.83149210030409
0.047	-2.69409398266901	2.45625342394077
0.048	-3.03324979311218	0.218820688798315
0.049	-2.38758759817747	-2.44903681008922
