"Time [s]"	"RingSolidLoss(EndConnection) [kW]"
0.162	0.102175771404555
0.163	0.135750612186853
0.164	0.160417209468316
0.165	0.166379756099761
0.166	0.149788172437264
0.167	0.117296195310539
0.168	0.107490070513027
0.169	0.139224010067831
0.17	0.185386506460246
0.171	0.194229009352123
0.172	0.15076941218881
0.173	0.0945679667033135
0.174	0.105607561423241
0.175	0.139099580217833
0.176	0.122377520650326
0.177	0.0619037319894142
0.178	0.0466835279438379
0.179	0.0745003650870878
0.18	0.0711539538337015
0.181	0.0365914381637954
0.182	0.0235744970353316
0.183	0.0463309887343949
0.184	0.0579636657357321
0.185	0.0402065558559716
0.186	0.0247713025335737
0.187	0.0499305393212336
0.188	0.0729813905874551
0.189	0.0607726119039119
0.19	0.0381486519208295
0.191	0.0520932411375956
0.192	0.0838549828785361
0.193	0.0808844323896467
0.194	0.0554070072666384
0.195	0.0365961583656648
0.196	0.0505212504111667
0.197	0.0655312643670897
0.198	0.0568419867487197
0.199	0.0376422125299337
0.2	0.0182440663909202
0.201	0.0114437095061653
0.202	0.0170651695572845
0.203	0.0208184186172958
0.204	0.0160774823277827
0.205	0.00717351235979481
0.206	0.00338326276456048
0.207	0.0096033717118324
0.208	0.0204321755170981
0.209	0.0254075676370992
0.21	0.0213414123755629
0.211	0.0138579111269639
0.212	0.0173752417956123
0.213	0.0325023953845523
0.214	0.0429693702580438
0.215	0.0382884111645063
0.216	0.0239866228815207
0.217	0.0167876774048425
0.218	0.025744155332746
0.219	0.0335483460841392
0.22	0.0232143257883493
0.221	0.00834682238677571
0.222	0.00634703510868403
0.223	0.0125366337348806
0.224	0.0115579988442547
0.225	0.00501604549437376
0.226	0.00125610456842856
0.227	0.0010476194318693
0.228	0.00446221985599154
0.229	0.00967675666193283
0.23	0.010932680165381
0.231	0.00502606714278983
0.232	0.00534526224144152
0.233	0.0162761114206303
0.234	0.023158909288574
0.235	0.017009457568928
0.236	0.00850724037327141
0.237	0.0126529976398739
0.238	0.0209283570441396
0.239	0.0226041592024074
0.24	0.0150264141475824
0.241	0.00564236318930402
0.242	0.00531296212009372
0.243	0.00976161660772096
0.244	0.0106302912716797
0.245	0.0057481129673131
0.246	0.000697152316835557
0.247	0.000508964305676286
0.248	0.00207027079039424
0.249	0.00208209238863478
0.25	0.000713353272979331
0.251	0.000444317714672612
0.252	0.00504065200865688
0.253	0.010465020714462
0.254	0.00995657925209014
0.255	0.00534682619696875
0.256	0.00400776746076488
0.257	0.00853150437585054
0.258	0.015832778534117
0.259	0.0165571951286451
0.26	0.00900690386752355
0.261	0.00371634699638485
0.262	0.00726018850622748
0.263	0.0125009705303688
0.264	0.00984687908782509
0.265	0.00282342507829796
0.266	0.000604391112272869
0.267	0.00219574927338091
0.268	0.00368122218189771
0.269	0.00202171992042079
0.27	0.0015339727873153
0.271	0.000865874724199302
0.272	4.87074289657005E-05
0.273	0.0012247451445721
0.274	0.00486250038403686
0.275	0.00668560259517608
0.276	0.00323558831955694
0.277	0.00137568616284776
0.278	0.00461887536258926
0.279	0.0102967474612684
0.28	0.010586620993117
0.281	0.00449673076672954
0.282	0.00159930737038998
0.283	0.00531192744117585
0.284	0.00908973583664095
0.285	0.0073931164350668
0.286	0.00220815782173594
0.287	0.000288564800774101
0.288	0.00112529060544691
0.289	0.00266607565985523
0.29	0.00252752881351918
0.291	0.000700671807510579
0.292	0.000895323461314037
0.293	0.0019692665582553
0.294	0.00103235547693276
0.295	5.10833290070424E-05
0.296	0.000548990960097137
0.297	0.003353298034182
0.298	0.00605510492109595
0.299	0.00483933795745749
0.3	0.00140654513640074
0.301	0.00113482319651631
0.302	0.00529194436372734
0.303	0.00866047282536725
0.304	0.00611215736851683
0.305	0.00148930758050413
0.306	0.000908178125246338
0.307	0.00336977961771648
0.308	0.00528976308588863
0.309	0.00303320146722228
0.31	0.000345162227973942
0.311	0.000188273400909718
0.312	0.00139721056656855
0.313	0.0017359492958635
0.314	0.000853721252277633
0.315	0.00144317342130134
0.316	0.000988717799156545
0.317	7.92816694558371E-05
0.318	0.000358172292690931
0.319	0.00267160850297052
0.32	0.00486598983524196
0.321	0.00260972281255443
0.322	0.000210866488712321
0.323	0.00137464389779879
0.324	0.00481840206341411
0.325	0.00552985754801434
0.326	0.00222859162935043
0.327	0.00020747346972246
0.328	0.000876596429602664
0.329	0.00315514831557428
0.33	0.00393498426953676
0.331	0.00160185852124271
0.332	0.000185643803462315
0.333	0.000534486683243195
0.334	0.000945998276294746
0.335	0.00105907555535625
0.336	0.000502813059921733
0.337	0.00105616744086988
0.338	0.0018236246394813
0.339	0.00094462714718576
0.34	0.000120863984468191
0.341	0.000420435965252983
0.342	0.00294551228391546
0.343	0.00457816498920905
0.344	0.00254302593249774
0.345	0.000251111687238373
0.346	0.000563946051162736
0.347	0.00284686283564356
0.348	0.00448864360846278
0.349	0.00261743897086234
0.35	0.000247729694390336
0.351	0.000297396400040904
0.352	0.00226661437285593
0.353	0.0030269639403356
0.354	0.00110620428487752
0.355	0.000253173689206858
0.356	0.000369032798449104
0.357	0.000675948030453274
0.358	0.00077058591153316
0.359	0.000679096310038146
0.36	0.00192063484689995
0.361	0.0013167284342221
0.362	0.000263663657568492
0.363	0.000427963054933857
0.364	0.00191230089729917
0.365	0.00318818025317674
0.366	0.00160395724404221
0.367	8.76690710082087E-05
0.368	0.000326597984777424
0.369	0.00219217824114952
0.37	0.00360921968010751
0.371	0.00177021836183173
0.372	0.000176717048994499
0.373	0.000421623402877673
0.374	0.00142074817516151
0.375	0.00195766514738075
0.376	0.000867691149576385
0.377	0.000401759313234367
0.378	0.000621761081621876
0.379	0.000482235257677429
0.38	0.000755791808743361
0.381	0.000565959455402576
0.382	0.00153387751499369
0.383	0.00222179658793933
0.384	0.000882559351425572
0.385	6.68535414090597E-05
0.386	0.000367962375958186
0.387	0.0018593341170783
0.388	0.00289672785676917
0.389	0.00147650104866196
0.39	0.000139311204890109
0.391	0.000346279058538265
0.392	0.00217457619110918
0.393	0.00298682897030119
0.394	0.0011677519661203
0.395	0.000114114270249845
0.396	0.000311446417185999
0.397	0.0011145937751837
0.398	0.00147948219575523
0.399	0.000592025140252044
0.4	0.000864436317152255
0.401	0.000756628772240282
0.402	0.000725824650624212
0.403	0.000775620697414028
0.404	0.000812034485152011
0.405	0.00166802804799101
0.406	0.00102089355765524
0.407	0.000208140587316112
0.408	0.000233424620636524
0.409	0.00117985499144517
0.41	0.00262542661243434
0.411	0.00150098423810595
0.412	0.000284891451815919
0.413	0.000411949239822329
0.414	0.00127061567323896
0.415	0.0020358844834289
0.416	0.00100465492587023
0.417	0.000280415604324795
0.418	0.000376536936273142
0.419	0.000634515758829929
0.42	0.0013704796732215
0.421	0.000831793809194705
0.422	0.000925741442536956
0.423	0.00124923447040905
0.424	0.000529880868163274
0.425	0.000434622491964186
0.426	0.000429680771086147
0.427	0.00116470749277969
0.428	0.00176244251844245
0.429	0.000780242996026868
0.43	0.000283329565784453
0.431	0.000421218825937317
0.432	0.00176818752916257
0.433	0.00241550809275382
0.434	0.000911731610690552
0.435	0.000150481302612056
0.436	0.000335578431395419
0.437	0.00119391953723751
0.438	0.00168376810782352
0.439	0.000677525007198008
0.44	0.000564570466264134
0.441	0.000579114437737559
0.442	0.00106379627900214
0.443	0.00124204527851915
0.444	0.000582179918689293
0.445	0.000937598200001793
0.446	0.000695580895275823
0.447	0.000435920645273858
0.448	0.000480795726305616
0.449	0.000667250375320808
0.45	0.00180342494684794
0.451	0.00117927859198971
0.452	0.000462995714107829
0.453	0.000522768712191601
0.454	0.000945551566696982
0.455	0.00172441207029513
0.456	0.000955546718262802
0.457	0.000303039758641311
0.458	0.000365249389623268
0.459	0.000679387138693278
0.46	0.00160455348999565
0.461	0.000981228140945774
0.462	0.000704427652680064
0.463	0.000890562810557391
0.464	0.000561650278585464
0.465	0.000816049966297334
0.466	0.00056340387430723
0.467	0.000781653926173634
0.468	0.00112204366253982
0.469	0.000519243344741634
0.47	0.000582080528604312
0.471	0.000547948288113801
0.472	0.00137757105130076
0.473	0.00184216620355867
0.474	0.000678951883236739
0.475	0.000277313793884707
0.476	0.00038052784489203
0.477	0.00108634121707763
0.478	0.00156869252054175
0.479	0.000654730794470989
0.48	0.000520882183042374
0.481	0.000544146372089632
0.482	0.00120521584185348
0.483	0.00149329232841992
0.484	0.000583203855312654
0.485	0.000632989541871266
0.486	0.000549267964040855
0.487	0.000631078269224153
0.488	0.000781150538657102
0.489	0.000511144244985691
0.49	0.00127316943906147
0.491	0.000938742512681449
0.492	0.000661570097693227
0.493	0.000740246336000826
0.494	0.000703576819471929
0.495	0.00134129437592476
0.496	0.000833859110390114
0.497	0.000378464612449872
0.498	0.000445165907786921
0.499	0.000619454147624243
0.5	0.00156297781411381
0.501	0.00100886020697521
0.502	0.000657585261387944
0.503	0.000793617059722325
0.504	0.000613412591430139
0.505	0.00102998106359934
0.506	0.000663923252436205
0.507	0.00060169613528857
0.508	0.000816943986512572
0.509	0.000475842663520394
0.51	0.00087290794013665
0.511	0.000681619292759335
0.512	0.00109764104968757
0.513	0.00142954280395793
0.514	0.000568276900481492
0.515	0.000459380536115153
0.516	0.000444841316426347
0.517	0.000926242860344058
0.518	0.0013398377262974
0.519	0.000583066120739925
0.52	0.000588310119709965
0.521	0.000569818192258028
0.522	0.00120237932095096
0.523	0.00153239973753958
0.524	0.000593825019605911
0.525	0.000534052308606377
0.526	0.000496768493079332
0.527	0.000740553910410369
0.528	0.000980608256210844
0.529	0.000496637437969142
0.53	0.000992949379848384
0.531	0.000798205259803435
0.532	0.000824367559205067
0.533	0.000963594314430209
0.534	0.000592459610316906
0.535	0.00104360830738156
0.536	0.000721044817143724
0.537	0.000468555330146914
0.538	0.000569311396080184
0.539	0.000549573878893223
0.54	0.00140616566458463
0.541	0.000966890686026816
0.542	0.000686441095539737
0.543	0.000811631345280542
0.544	0.000616504431044639
0.545	0.00108099286329545
0.546	0.000706538281459416
0.547	0.000535641783409039
0.548	0.000701679062881946
0.549	0.000488449154484197
0.55	0.00105772376570226
0.551	0.000778314732628067
0.552	0.000938468018059165
0.553	0.00119349336157784
0.554	0.000542984997799136
0.555	0.000625521889554616
0.556	0.000510981901852383
0.557	0.000793288806717952
0.558	0.00113663376719414
0.559	0.000529446185910949
0.56	0.000696374818201762
0.561	0.000618760069800656
0.562	0.00113505013668661
0.563	0.001458627773837
0.564	0.000584294069915476
0.565	0.000533202399546416
0.566	0.000490957024954943
0.567	0.000770806913201098
0.568	0.00105832471302212
0.569	0.000508391476053895
0.57	0.000872803533546608
0.571	0.000734102284479279
0.572	0.000920314322114897
0.573	0.00111596563252003
0.574	0.000561650871553178
0.575	0.000862803042798315
0.576	0.000645509179214067
0.577	0.0005459874659492
0.578	0.000694819522879468
0.579	0.000509624692764572
0.58	0.00124185109910259
0.581	0.000904417183066286
0.582	0.000742146101548688
0.583	0.000880026711364336
0.584	0.00059460011496687
0.585	0.00103537157692927
0.586	0.000705052152795228
0.587	0.00052825814092861
0.588	0.000685561142190665
0.589	0.000496128437377219
0.59	0.00112803057318185
0.591	0.000825968804422855
0.592	0.000867063638128249
0.593	0.00108477158438429
0.594	0.000546673816632261
0.595	0.000734606151408502
0.596	0.000561399453394376
0.597	0.000705621512487322
0.598	0.000999640851386995
0.599	0.000504382254895353
0.6	0.000802301599455465
0.601	0.000671511722034546
0.602	0.00105574706546946
0.603	0.00135462261687388
0.604	0.000570284096558265
0.605	0.000577744342107515
0.606	0.000508093833767229
0.607	0.000752097944367106
0.608	0.00105058247913674
0.609	0.00051152867682953
0.61	0.000846542698142739
0.611	0.000718401489921103
0.612	0.000955059246232835
0.613	0.00118461439129655
0.614	0.000557494868235312
0.615	0.000774156459651488
0.616	0.00060653198099179
0.617	0.000595510701506607
0.618	0.00078726430281253
0.619	0.000496245843217572
0.62	0.00112045134309864
0.621	0.000853135017185424
0.622	0.000796010435811957
0.623	0.000957432147755862
0.624	0.000574220706314015
0.625	0.000958660782950002
0.626	0.000682343217834603
0.627	0.000546507915836244
0.628	0.000716559281690525
0.629	0.000494981398191488
0.63	0.00112277972179432
0.631	0.000836472639185371
0.632	0.000847539194739573
0.633	0.00105261522196397
0.634	0.000551821934491686
0.635	0.000783844926389924
0.636	0.000590221766981978
0.637	0.000657815295994103
0.638	0.000925042980435971
0.639	0.00049685001419118
0.64	0.000880516769363751
0.641	0.000715141791049984
0.642	0.000991525161280868
0.643	0.00126613664677579
0.644	0.000562148395467732
0.645	0.000632927723768553
0.646	0.00053335252740169
0.647	0.000715959007568132
0.648	0.0010068573182775
0.649	0.000508086036161613
0.65	0.000866498319447994
0.651	0.000728759308123428
0.652	0.000951112571456727
0.653	0.00119405761944114
0.654	0.000557826233874557
0.655	0.000743889046010627
0.656	0.000593335377808422
0.657	0.000617491008627624
0.658	0.000838089194447128
0.659	0.000494774485808346
0.66	0.00104772877226628
0.661	0.000822736752756784
0.662	0.000834659833278627
0.663	0.00102024439118715
0.664	0.00056321061351091
0.665	0.000887985133418959
0.666	0.000656985804957825
0.667	0.000571407731001005
0.668	0.000764765327362136
0.669	0.000492832369199142
0.67	0.00108312706212984
0.671	0.000827057447977637
0.672	0.000854088363886639
0.673	0.00106169691610495
0.674	0.000553494075597649
0.675	0.000789258803028472
0.676	0.000600505451904206
0.677	0.000637600921381385
0.678	0.000896063572275822
0.679	0.00049677621789131
0.68	0.000924092584024202
0.681	0.000744287987032069
0.682	0.00094909795162858
0.683	0.00120668483667906
0.684	0.000560119357997755
0.685	0.000679415747903108
0.686	0.000557813923186998
0.687	0.000680547876945721
0.688000000000001	0.000958773361889086
0.689000000000001	0.000504281603154093
0.690000000000001	0.000903430726402116
0.691000000000001	0.000750717156944068
0.692000000000001	0.00092942851053417
0.693000000000001	0.00117265977777742
0.694000000000001	0.000557903106456705
0.695000000000001	0.000745871188828907
0.696000000000001	0.000595679663776865
0.697000000000001	0.000619847566824984
0.698000000000001	0.000855613611723224
0.699000000000001	0.000495995107030465
0.700000000000001	0.00101326349935571
0.701000000000001	0.000809881642330446
0.702000000000001	0.000855550422056043
0.703000000000001	0.00105935636175611
0.704000000000001	0.000559220845800168
0.705000000000001	0.000836528348909985
0.706000000000001	0.000637510739619154
0.707000000000001	0.000592486644271218
0.708000000000001	0.000810392457232839
0.709000000000001	0.000494253672539308
0.710000000000001	0.00103776049965772
0.711000000000001	0.000811709014107652
0.712000000000001	0.000869336057016887
0.713000000000001	0.0010875066566116
0.714000000000001	0.000554125922648972
0.715000000000001	0.000771421320821491
0.716000000000001	0.000599518829440101
0.717000000000001	0.000632252208753787
0.718000000000001	0.000894068874440273
0.719000000000001	0.000499567516396256
0.720000000000001	0.000940046459395838
0.721000000000001	0.00076039649695961
0.722000000000001	0.000924836758780237
0.723000000000001	0.00117354124092996
0.724000000000001	0.000561274705580127
0.725000000000001	0.000710019694851115
0.726000000000001	0.000577121866227006
0.727000000000001	0.000653114460914546
