"Time [s]"	"SolidLoss [kW]"	"StrandedLossR [kW]"
0.0970000000000001	9.49134012787133	10.043469274457
0.0980000000000001	7.98276242977598	7.25031419435142
0.0990000000000001	7.73268640205419	8.05894548218075
0.1	7.36312749492165	6.89988513048789
0.101	7.41813712394308	7.41826444850077
0.102	8.30434835598905	8.52854073313746
0.103	8.98113293192296	8.36365408897537
0.104	10.0188908995057	10.5501729474664
0.105	10.9626399770118	11.9133366897756
0.106	12.364177609392	12.2396904916749
0.107	13.3604368885318	14.1059482860385
0.108	13.8389251329735	15.8116473561504
0.109	14.1077459512219	15.9819279813518
0.11	15.1071895491978	15.6936748119936
0.111	15.1630706816526	15.9911810824398
0.112	14.4584260920979	16.5211835087149
0.113	13.771980027629	16.1715753768598
0.114	13.0458046496615	15.4433339760335
0.115	12.0501379200965	14.3588289987229
0.116	10.859333877169	12.9144823324627
0.117	9.65036948123934	11.0988828936805
0.118	8.69731865759749	9.215117388737
0.119	7.66786452385997	8.56172869272723
0.12	7.171149975939	8.60165378146401
0.121	6.72761842871805	8.09068052405379
0.122	5.72551160770954	6.72494869908956
0.123	5.13850690037912	5.53928116949919
0.124	5.17062171836167	6.19860739394437
0.125	5.15249722061708	6.29091939752564
0.126	4.3288402686377	5.09170138113994
0.127	4.06104202404837	4.70010919246988
0.128	4.55196767195408	5.60430979454587
0.129	4.12555963028158	5.006175560651
0.13	3.3181516352689	3.76022217716479
0.131	3.88173303069483	4.80346992194001
0.132	3.70240997011231	4.52388692418509
0.133	2.68008581533319	3.07125927537519
0.134	3.19278101275253	3.99016113677706
0.135	3.15310631490803	3.88054168475009
0.136	2.157808888826	2.5200569491405
0.137	2.55080308035619	3.24477300012981
0.138	2.65147663582077	3.31652083786564
0.139	1.87974866950822	2.26924513953902
0.14	1.93711223388925	2.47086708867515
0.141	2.25511449341192	2.90168104214415
0.142	1.86645486057539	2.36073382414475
0.143	1.38834807255264	1.71746119128841
0.144	1.80035009107343	2.35955763498172
0.145	1.92336623228948	2.51680776187886
0.146	1.58002935070517	2.07864067288221
0.147	1.14788590891115	1.49078775805761
0.148	1.43299540465759	1.90585396960289
0.149	1.69447747869882	2.27878151077036
0.15	1.61608129083698	2.20850048072037
0.151	1.30982280925142	1.81758668605958
0.152	0.932137909133597	1.32076687777776
0.153	0.804732354410411	1.18156927062379
0.154	0.959490018794077	1.40757258586167
0.155	1.05993844678568	1.52488971063457
0.156	1.00243058731569	1.48486963851446
0.157	0.838353107042831	1.26901417552538
0.158	0.663182318392031	1.01051288137888
0.159	0.476847649359976	0.759350497852186
0.16	0.331379316003433	0.547091801218553
0.161	0.302432275945048	0.481931140932874
0.162	0.369116058402656	0.56754257882393
0.163	0.457993488608189	0.71916698167142
0.164	0.5235427794407	0.819167939118387
0.165	0.535608345356648	0.825540265425556
0.166	0.478585212722618	0.754704081323362
0.167	0.383480313164051	0.599658841408253
0.168	0.364508219141034	0.539522419162182
0.169	0.455763700022576	0.671197626889065
0.17	0.590447599565573	0.892403102615376
0.171	0.617902193161499	0.940993814696204
0.172	0.482978717552315	0.76632074055001
0.173	0.314080944796808	0.521131939489641
0.174	0.33949339856561	0.549647932494271
0.175	0.44228945806358	0.731961454231129
0.176	0.398302640672806	0.69315285454328
0.177	0.222407857350715	0.429174746367474
0.178	0.162501995650472	0.330611784304043
0.179	0.237839623729572	0.485553820345042
0.18	0.243877604440139	0.501026471986525
0.181	0.147540480562603	0.316998854913267
0.182	0.0876424806598053	0.248335351346815
0.183	0.150040264523637	0.384059849244309
0.184	0.204372874106831	0.444676762826071
0.185	0.153501871245722	0.321562979681522
0.186	0.085820854338176	0.259587310284206
0.187	0.162563373541437	0.398911057555382
0.188	0.250258618818235	0.481831296256625
0.189	0.20770884002365	0.41043385252121
0.19	0.127992726823759	0.306918998219423
0.191	0.168013065546877	0.409930987608141
0.192	0.277903451775096	0.532753799584949
0.193	0.26142709361767	0.514270862284788
0.194	0.182495036311375	0.379212831183665
0.195	0.125259471298565	0.299262621199003
0.196	0.165794633048276	0.399678959682171
0.197	0.210536901283256	0.47131119930672
0.198	0.183048687185945	0.414372592685429
0.199	0.125054038440827	0.311859453100261
0.2	0.0697337195935525	0.218023461858171
0.201	0.0515124282192842	0.201059407968336
0.202	0.066918466626472	0.243715510984911
0.203	0.0709281936963247	0.273098096604534
0.204	0.0524817787744271	0.237995679134946
0.205	0.0305867864312377	0.166716028655523
0.206	0.0228544470400602	0.132999902624244
0.207	0.0461008973819262	0.154177565248149
0.208	0.0792350298658422	0.214020027549375
0.209	0.0871664702222653	0.261125150591018
0.21	0.069563788633331	0.241658810747008
0.211	0.0467798734756676	0.171263443364867
0.212	0.0641769161299954	0.150701214433891
0.213	0.110454398654365	0.218285432900526
0.214	0.140861945271709	0.291636029627448
0.215	0.123851300241213	0.294906311219477
0.216	0.078526929567181	0.229477765281496
0.217	0.0595491606633648	0.155625497618749
0.218	0.0850830904525554	0.183395487844127
0.219	0.108408561540359	0.257759983620817
0.22	0.0782756899489984	0.248129069284045
0.221	0.0364402731789517	0.162994227137031
0.222	0.0280399150344461	0.112786739699999
0.223	0.0402964217986718	0.165407395661615
0.224	0.0416058666837161	0.197482881385026
0.225	0.0293056123630256	0.159248799913354
0.226	0.0127475468239709	0.117981125797762
0.227	0.00542616305214592	0.113134080664563
0.228	0.0170810614797424	0.160889835642666
0.229	0.041671931308391	0.195673501725262
0.23	0.0447322560358594	0.17217513120169
0.231	0.0200278333186064	0.121075195132516
0.232	0.0206158710672483	0.151670523345997
0.233	0.0580236776646257	0.229400246869282
0.234	0.0802417652318965	0.238409181081145
0.235	0.0605290670009188	0.165647684358902
0.236	0.0302393293532862	0.145543213225602
0.237	0.0431234667387641	0.200363140862424
0.238	0.070426636644119	0.237498583120351
0.239	0.0738558896104986	0.225152173472755
0.24	0.0510845122153707	0.162305034490628
0.241	0.0230332355179438	0.125423269272712
0.242	0.0242196121309686	0.153506277409491
0.243	0.0337068212488497	0.195222008523924
0.244	0.0342848318828199	0.183341100317435
0.245	0.0225458065428685	0.122910839474805
0.246	0.00938645834511561	0.0940872619786116
0.247	0.00994114682611546	0.110548882109092
0.248	0.0117698460924008	0.135807079800687
0.249	0.00872032776108718	0.142299294207575
0.25	0.00345519432760434	0.119066427548586
0.251	0.0055778521518692	0.0827592027637978
0.252	0.0247864658405809	0.0886107034117637
0.253	0.0403296792594152	0.143748374265711
0.254	0.0349364997435933	0.162065626342661
0.255	0.0188894864385297	0.129732488068232
0.256	0.0142496018148687	0.100474941268527
0.257	0.0302826543833344	0.0947759842656949
0.258	0.0543229017313259	0.136051783392433
0.259	0.0554829973484241	0.176259265120085
0.26	0.0309317284525783	0.159768953810091
0.261	0.0155820482967436	0.100640980237102
0.262	0.0262018111346907	0.0859153446089959
0.263	0.0411105002764802	0.13491469950113
0.264	0.0338347624628255	0.159384968947753
0.265	0.0148533331953061	0.124052391900984
0.266	0.00645856108563329	0.0919196220328636
0.267	0.00853464917956671	0.082103478858832
0.268	0.0129664589075991	0.115624234757991
0.269	0.0105160911948097	0.13764973582608
0.27	0.012792648802677	0.125918371658741
0.271	0.00751737369547986	0.0855580073523669
0.272	0.00255099179073195	0.0832135326045118
0.273	0.00629313822465087	0.134686457968592
0.274	0.0213144590086958	0.153781795626826
0.275	0.0275205567242641	0.125398863560853
0.276	0.0124986671709505	0.094606316322124
0.277	0.00644273946539765	0.111210428260034
0.278	0.017326484056798	0.148086694622106
0.279	0.0369304360157943	0.170328723293181
0.28	0.0363520622017855	0.140094321331004
0.281	0.0167708142490523	0.095893652556745
0.282	0.00825832395608792	0.117884552508534
0.283	0.0195416400194992	0.15999386342833
0.284	0.0305295455162521	0.165326532971793
0.285	0.0262690806174747	0.117985577155599
0.286	0.0107891289451982	0.0884384817908899
0.287	0.00588513807354052	0.10313095113495
0.288	0.00621820888584726	0.126854639913835
0.289	0.0101668376894686	0.136822142370757
0.29	0.00940200900087341	0.113974978178593
0.291	0.00578590956976508	0.0749651712034232
0.292	0.0100631509074063	0.0793834636109233
0.293	0.0109889634160649	0.122731211232179
0.294	0.00487442411549918	0.125702113959857
0.295	0.00162303959797112	0.0967143280728239
0.296	0.00356197709065827	0.0764085510996329
0.297	0.0144124947914087	0.0790091807395302
0.298	0.0233177299146875	0.112744177414161
0.299	0.0174108664476856	0.132249159349273
0.3	0.00625432461932161	0.113289703890831
0.301	0.00593506874435464	0.0777911191900595
0.302	0.0201870019021087	0.0744376306524839
0.303	0.0306229441481153	0.122711964619273
0.304	0.0219192479607155	0.139021781791965
0.305	0.00795198577020297	0.10686732266236
0.306	0.0050933506036187	0.0820835320553513
0.307	0.0121287631698944	0.0767135133429487
0.308	0.0184655793685795	0.108782953177448
0.309	0.0119268234446387	0.129370185472039
0.31	0.00603273224721105	0.113419041551791
0.311	0.00442689350929992	0.0771538518459837
0.312	0.00666566214190357	0.0709994997110116
0.313	0.00750239048356896	0.116660695609419
0.314	0.00643714216061252	0.127880332342032
0.315	0.00992171205683116	0.10527650175302
0.316	0.00539149117702456	0.0807790020436712
0.317	0.00163079914917301	0.0834716332962379
0.318	0.00256356668766112	0.113785046554281
0.319	0.0125396629946167	0.135343313438752
0.32	0.0195436865879782	0.123230103400525
0.321	0.0106789810647345	0.0815957563104806
0.322	0.00404897756750801	0.0856317096598218
0.323	0.00679639242730907	0.132004333040736
0.324	0.0181312047748492	0.144904547764619
0.325	0.0208500204483299	0.112210027653391
0.326	0.00926932458811683	0.0833928949413491
0.327	0.0038334706406298	0.0939998584664911
0.328	0.00466914788020141	0.120520882255843
0.329	0.0122625352824819	0.135713132295356
0.33	0.0143418035346621	0.116494302779094
0.331	0.00783285822898978	0.0760732551777866
0.332	0.00604968442561104	0.0794264848513569
0.333	0.0049643059444233	0.121029516313683
0.334	0.00440290501432932	0.125437318551706
0.335	0.00540419180635113	0.0974027273656978
0.336	0.00360956168223553	0.0743005785726081
0.337	0.00706953950598108	0.0783741352766328
0.338	0.00901151733541886	0.106661128299874
0.339	0.00453935231485142	0.119567184762864
0.34	0.00222474008368113	0.105666832335846
0.341	0.0036123849504541	0.0717833579458592
0.342	0.0135357957585585	0.0704272348129209
0.343	0.0182656172811253	0.11624978967312
0.344	0.0103284721089473	0.126015948375331
0.345	0.00307801803082225	0.0976466046724075
0.346	0.00333406438270078	0.076673419761705
0.347	0.0109117268992768	0.0745358632513047
0.348	0.016506090311318	0.105763935135444
0.349	0.0101704566549023	0.124387855255223
0.35	0.00425406497591167	0.109101061675583
0.351	0.00388764155070082	0.0743330216652954
0.352	0.00971533006313681	0.0689090789497043
0.353	0.0119417315776861	0.113717727305517
0.354	0.0063578355086298	0.123856115117009
0.355	0.00489971766596519	0.0992953939939576
0.356	0.00323669954717458	0.0772462595887724
0.357	0.00348083992636638	0.0760402209268051
0.358	0.00387236032197623	0.105113718325907
0.359	0.00508290021202377	0.123205792813633
0.36	0.010607684442552	0.114541316554518
0.361	0.0068123593449465	0.0762557414441261
0.362	0.00370537024591115	0.074706853874326
0.363	0.00371051556377249	0.119727250955194
0.364	0.00899891270708692	0.131176630501831
0.365	0.0138251231229115	0.106266865118487
0.366	0.00685349932032276	0.0797468830979088
0.367	0.00259119354588645	0.0854386025920823
0.368	0.00264127987670628	0.112933068186166
0.369	0.00962469037713391	0.130599158111673
0.37	0.0140672387914127	0.116528950511321
0.371	0.00799777221364861	0.0762284374650023
0.372	0.0048895402127147	0.0776832517390173
0.373	0.00415109128421217	0.120351745799032
0.374	0.00627159756164632	0.127635795543138
0.375	0.00867748771386237	0.100511804509058
0.376	0.00462711874141224	0.0757797325974599
0.377	0.0045223696081421	0.0798160934863919
0.378	0.00442221421032171	0.106451518715873
0.379	0.00322750551070481	0.119879405019641
0.38	0.00457461771168115	0.107498263702376
0.381	0.00415849209349041	0.0716097687183342
0.382	0.00923095368650157	0.0702270178915303
0.383	0.0106200023989998	0.114166679296786
0.384	0.00476836719544548	0.121268566246594
0.385	0.00236791820358922	0.0954445649821074
0.386	0.00265515779457784	0.074686752125844
0.387	0.00818840244918161	0.0741057819599948
0.388	0.011701412560432	0.103899866053512
0.389	0.00642013235191839	0.120324577745202
0.39	0.00334550005934771	0.107173274911816
0.391	0.00360343425108867	0.0728926392766465
0.392	0.00988576621873807	0.0684894172047482
0.393	0.0122455134360638	0.112987385482597
0.394	0.00619411938106387	0.122618166764046
0.395	0.00365287018722749	0.0976566651423114
0.396	0.00277563821481752	0.0762444880997011
0.397	0.00507439966073123	0.0742818424125429
0.398	0.00638581232869252	0.10321569711993
0.399	0.00415253444310911	0.120214388279767
0.4	0.00682571104192115	0.110899434024964
0.401	0.00506359029266902	0.0744173019709839
0.402	0.00513302806560375	0.0705634552084382
0.403	0.00486463759793529	0.114824541709126
0.404	0.00529333240760575	0.124990335836323
0.405	0.00902303513133941	0.102093007354751
0.406	0.00495593892152824	0.0776785929437726
0.407	0.00261499148009061	0.0798761739452496
0.408	0.00232362600824124	0.10778755414473
0.409	0.00636702631515345	0.125326495554518
0.41	0.0115410779820254	0.114679920799838
0.411	0.00708782259088502	0.0755400306262703
0.412	0.004586169282804	0.0747469110367545
0.413	0.00398521753190842	0.118123635457074
0.414	0.00611739504030265	0.126904375294315
0.415	0.00926520612140547	0.101667721850686
0.416	0.00491279848144641	0.0767007813058493
0.417	0.00365536413597761	0.0798328663851356
0.418	0.00327531300493447	0.10660912230079
0.419	0.0039264655968639	0.121470238177794
0.42	0.00686651884831173	0.110038890934083
0.421	0.00499527288567652	0.0727404083518856
0.422	0.00713344526456996	0.0709363098446712
0.423	0.007217488940593	0.114135697377558
0.424	0.00355673901902736	0.121257148473497
0.425	0.00373360403490642	0.0965365078932704
0.426	0.00291217826386201	0.074644366324783
0.427	0.00616501446794953	0.07478753008468
0.428	0.00803962541189034	0.103382917385105
0.429	0.00416488551557641	0.118747362299343
0.43	0.00365261559978423	0.107288672619712
0.431	0.00370076224716541	0.0724734901196529
0.432	0.00897210024128741	0.0685345024699802
0.433	0.0106940554574834	0.11268194433032
0.434	0.00518432738560005	0.121607808247843
0.435	0.00334627938935766	0.0971617519994328
0.436	0.00269382889822635	0.0758004997666395
0.437	0.0055713817289996	0.0739473196348419
0.438	0.00727253234688955	0.102724269149639
0.439	0.00415076921239154	0.119464307194609
0.44	0.00540616544208254	0.109554853180826
0.441	0.00441088911327488	0.0737914368224751
0.442	0.00632888666573042	0.0691132871084449
0.443	0.00650753336480482	0.113091719770069
0.444	0.00434526730291193	0.122837681310405
0.445	0.00645010149974676	0.0999900969281646
0.446	0.00391116973372359	0.0768281253838149
0.447	0.00322391082406464	0.0768383765219064
0.448	0.00318015902151385	0.104841387576463
0.449	0.00449280360815492	0.122041012863612
0.45	0.00923505967385758	0.113023354656975
0.451	0.00613283555408858	0.0749177154164837
0.452	0.00484716071869536	0.0722194346282537
0.453	0.00430278030727703	0.115818077772075
0.454	0.00524968417957243	0.125246429207327
0.455	0.00850445386449482	0.101559829519186
0.456	0.00469143089389491	0.0769681287348168
