"Time [s]"	"InducedVoltage(Phase_A) [V]"	"InducedVoltage(Phase_C) [V]"	"InducedVoltage(Phase_B) [V]"
0	-36.2175255556912	404.389322956394	-347.497853791464
0.001	37.4887248907518	272.181163553476	-291.414779486899
0.002	111.194975337195	139.973004150559	-235.331705182333
0.003	170.170431704818	55.7193230288387	-227.939362243665
0.004	212.415523136503	-25.1377313902376	-208.268100217449
0.005	243.159231569253	-110.033358923367	-157.058177847063
0.006	256.651581104526	-172.645045525546	-70.4180868680633
0.007	215.288050754559	-214.72528569167	5.1983310307695
0.008	158.34483263042	-236.409506031384	61.7116192343454
0.009	109.937195128261	-231.341035246353	109.884047736504
0.01	57.5695741393596	-212.502410784126	155.791484733479
0.011	-4.02359559826304	-185.178178432126	216.202973513079
0.012	-68.6802531833568	-134.46585352821	255.808270666513
0.013	-137.604351355391	-79.0447266847478	259.257544468025
0.014	-205.267956239321	-25.3363782176006	203.936444448035
0.015	-286.617167210376	31.9786277851033	144.273650730867
0.016	-291.32960910892	118.080347998509	89.3166072152943
0.017	-234.906027381665	224.087072252088	46.1853871887335
0.018	-156.176055452756	303.510077874296	-7.20514380883214
0.019	-98.3064096839687	329.935545507463	-91.7069292127209
0.02	-78.6020475818724	237.065907520692	-227.516345204027
0.021	-39.8472073512883	153.191949077403	-329.322598597425
0.022	79.4299571917469	149.75396577557	-278.191842715011
0.023	202.729518915033	158.724655164658	-218.820878696818
0.024	264.545164369872	47.5469229446782	-269.035769526282
0.025	305.344479039779	-142.000356323684	-189.120828733193
0.026	208.424972181382	-126.226343605	-20.9329529947457
0.027	131.285309780786	-180.47503813812	-37.5728041807533
0.028	127.735044243835	-214.483567124579	4.60558860863869
0.029	132.643550511821	-197.063561190261	75.1357610552386
0.03	62.7831434259336	-216.253348377132	218.761756717261
0.031	-74.9652698977368	-202.626694852241	259.127679106796
0.032	-122.587400641492	-124.396480538732	261.047954888393
0.033	-149.830164201968	-76.4548865879437	235.627658200632
0.034	-182.904940248713	-28.6139762794054	197.376548298249
0.035	-284.341232288439	32.0959060969128	143.810362574464
0.036	-296.897581617767	140.813578135716	89.0879570458508
0.037	-259.271206791193	235.85427068508	43.943327467589
0.038	-139.828468798097	240.865840888308	20.8651678274276
0.039	-54.6678616128583	254.411554963808	-51.3971751100466
0.04	-19.4304176931457	287.425466679548	-205.511045811058
0.041	12.1014824145541	192.832434383612	-297.162142362347
0.042	46.7579260827183	99.2866057126619	-227.138417985095
0.043	140.759454299562	26.3129096271596	-229.781312051344
0.044	277.29572896686	-10.8578447603312	-200.663764164894
0.045	304.882762867013	-81.5031574548841	-144.478382778245
0.046	275.300172692377	-160.468495162577	-92.4170696947735
0.047	237.202439930928	-234.99782380906	-42.5248227379886
0.048	149.779825063408	-212.187203807557	12.9597770584722
0.049	83.5944238611752	-247.741476405419	117.858554904771
0.05	41.0997899645711	-238.726207485739	207.143721850607
0.051	-17.461565383764	-188.727866032472	273.761181588539
0.052	-99.1652090981368	-132.499187390442	292.225583419179
0.053	-183.173335096094	-88.1818809480851	287.712998949621
0.054	-202.117615977001	-72.3062559669628	215.519163630796
0.055	-267.457844983721	-4.58198947117427	120.439661821692
0.056	-315.06540845215	191.612764566555	100.150100724369
0.057	-202.150860562905	209.523838219948	128.444980752139
0.058	-111.425731438688	276.034084970224	35.0184147608751
0.059	-180.129456103547	248.997790191985	-187.159183015149
0.06	-121.40933389716	129.431025403858	-136.379111314295
0.061	65.142743060041	222.817143071198	-278.961181904865
0.062	48.6207062121088	149.76786408501	-152.32274621363
0.063	135.813907644937	-6.24444608131913	-272.927901812136
0.064	264.000876119132	29.6379892440782	-200.831575777571
0.065	216.447496016048	-14.4364034788316	-47.7965838780416
0.066	305.43491884685	-209.60726719314	-79.5353523634051
0.067	178.021313573593	-228.670735901634	-88.2446160131463
0.068	101.056066909432	-195.071573994748	50.0748348495087
0.069	104.714125107186	-325.364505783617	166.396731036827
0.07	76.002367715106	-298.298803647692	218.251493883831
0.071	32.3998638308782	-150.229944181231	202.916832763958
0.0720000000000001	-122.512798566287	-103.888076921535	265.662187365678
0.0730000000000001	-208.406726221856	-68.495065806893	315.810488595891
0.0740000000000001	-262.064670205179	-38.3419824272586	274.850967050643
0.0750000000000001	-226.465869193141	-21.2787235211787	137.5044960229
0.0760000000000001	-328.803745824078	190.28629829301	61.9710319118458
0.0770000000000001	-293.933247568293	269.544859012783	69.62844707377
0.0780000000000001	-119.221428916395	244.802762942717	80.4966405011116
0.0790000000000001	-113.115735229256	336.340669906308	-182.388623545719
0.0800000000000001	-192.801171517997	169.040544722187	-183.061479545061
0.0810000000000001	37.8034824443533	177.724387459526	-289.782271163037
0.0820000000000001	91.7506159978795	246.550297199477	-161.512024932897
0.0830000000000001	132.295589166934	18.7273636801006	-267.295427958636
0.0840000000000001	216.698121041952	79.1648684345328	-194.031412174017
0.0850000000000001	293.532071358481	-44.8487795543679	-78.1621717523658
0.0860000000000001	161.821928513057	-155.613908117936	-191.735964819057
0.0870000000000001	220.589628789172	-184.908029943812	33.1681534096919
0.0880000000000001	175.64809796914	-240.064064732937	-12.6619653035942
0.0890000000000001	33.5116072231189	-288.750548791899	126.380931814707
0.0900000000000001	133.782818680143	-200.494081066237	199.513962375411
0.0910000000000001	-94.6520452967595	-178.923180534111	217.216187678075
0.0920000000000001	-69.7436250146519	-193.967440822495	293.563706788745
0.0930000000000001	-162.641337781557	24.8233966338709	264.550080136572
0.0940000000000001	-276.724738723812	-82.7504401171639	259.287871495921
0.0950000000000001	-250.097725902946	120.82718883567	102.654603065304
0.0960000000000001	-316.739646891623	148.119745937067	200.525332798945
0.0970000000000001	-256.566657985444	206.036504253408	-70.9607989539296
0.0980000000000001	-229.037878496647	294.563292310737	62.4053912460467
0.0990000000000001	-79.4958968074577	360.304113289437	-197.442967294678
0.1	-167.101410811684	201.606066947769	-155.11161938576
0.101	96.8519421898922	312.990299155345	-338.572358861526
0.102	13.2009250183219	83.129585713349	-283.90539154944
0.103	213.577962405995	223.372812306036	-252.926674701784
0.104	291.343578092049	-64.9033640067223	-265.7239763322
0.105	250.753158081611	37.2015785164925	-136.590657775446
0.106	231.387753019025	-172.501625217417	-246.495034327944
0.107	317.182872904536	-255.499324873438	27.1801158967928
0.108	119.975923868963	-286.554982174896	-32.7219785806091
0.109	191.864210782745	-216.455881270452	39.6154184175187
0.11	176.911980580997	-244.451577766825	238.276570870574
0.111	-61.1362670673414	-296.599510457333	273.222887028036
0.112	-75.5508256896692	-121.389335600825	322.59472943348
0.113	-130.848006271619	-87.9599543919435	272.711557464003
0.114	-249.937250215659	-71.6661835817733	211.321004825731
0.115	-317.685773815821	16.6803541266214	180.649616036825
0.116	-320.260218339632	132.797063950188	147.665794673945
0.117	-302.717541703538	237.83518366378	94.745198727068
0.118	-249.975399290963	273.081491962048	36.9805104271803
0.119	-159.085303370478	321.208483978395	-64.4192934546196
0.12	-78.7812127980154	331.430753075561	-252.573595197892
0.121	4.8321436912242	290.283791534638	-360.103599174844
0.122	107.37656729689	254.453065348649	-396.21013267524
0.123	168.324788247691	197.852189569539	-303.925373825295
0.124	317.690686193508	6.63912952291956	-279.503597403568
0.125	416.572763529905	-136.432501469198	-258.146416867744
0.126	414.642563027565	-221.30566283611	-221.313426113502
0.127	280.171261108579	-265.076168100874	-123.493298638671
0.128	256.037363523995	-419.084213615313	131.67329186811
0.129	233.354078120265	-451.057108677885	238.263488595895
0.13	171.328059209654	-350.359671426801	262.991323960391
0.131	-112.465398582297	-268.422332718233	398.695380114199
0.132	-228.341333036221	-260.433537140263	469.84359129049
0.133	-255.958410580241	-190.889937575366	410.187383335952
0.134	-385.628315080862	104.330714179222	301.039353536296
0.135	-478.306611285179	207.766953649722	296.619040512477
0.136	-451.391228071264	235.978471589443	207.865606781236
0.137	-332.230981094321	368.686392561061	-90.9594565027634
0.138	-329.081422720506	477.217974829468	-181.120936686655
0.139	-231.731214326231	482.11223329289	-224.571858227504
0.14	39.3977488614512	365.315866444245	-338.38817785004
0.141	162.855795143586	338.688077285765	-469.630380882367
0.142	232.328395003343	260.211614820632	-483.379624070103
0.143	287.972519503181	73.5450609845405	-431.997517118471
0.144	439.257638612793	-142.617695704	-316.385773562843
0.145	480.560060961248	-239.634802915169	-268.868704055875
0.146	468.891717165334	-323.233886998084	-162.070301983417
0.147	393.293008432416	-372.739281485944	-5.54638472383528
0.148	248.587960285425	-436.648560946341	218.380398529514
0.149	143.365131516083	-468.428064110484	320.099904206989
0.15	30.3162994098469	-439.07330048937	397.468400001067
0.151	-92.4354471747788	-358.078507603962	453.081468796746
0.152	-208.908204175871	-236.585644750131	471.678497226366
0.153	-339.479670931896	-72.5355020119072	425.47753528865
0.154	-441.52048963568	85.1562747603638	346.924872743557
0.155	-481.417119046114	205.271605935388	254.900857716915
0.156	-475.123094975209	318.081169172903	136.659774868048
0.157	-427.810546863488	402.770113942875	6.63667005699486
0.158	-330.311128939331	462.817217910771	-124.529398316859
0.159	-212.37544219069	493.941633532023	-249.292493087317
0.16	-78.4794336980801	454.213019280168	-357.453570688172
0.161	71.483681974877	371.903502313014	-433.544757914362
0.162	213.11416132071	252.459571582141	-471.409310631458
0.163	347.908274666703	121.770281317262	-459.734950508004
0.164	441.553601676854	-18.1725357619218	-404.230263471255
0.165	491.497806599653	-158.853805324316	-314.142996890154
0.166	492.415676084072	-295.308854122286	-200.944952950976
0.167	459.88057164576	-397.905027181549	-69.9847541902265
0.168	377.853045779241	-454.447659328166	84.5104361953102
0.169	244.304683163969	-476.632030099167	243.329677363894
0.17	75.6745560648637	-461.529251848592	378.996035439767
0.171	-72.0224519964481	-407.321708886369	465.360557209205
0.172	-208.43052853485	-316.293098815152	514.585403732042
0.173	-317.785104792839	-187.280236588238	511.899525765861
0.174	-419.778183902778	-5.4923024227429	429.971795162209
0.175	-521.230118521403	163.801209747194	287.539128781863
0.176	-532.998231631248	327.277216850297	192.860635824634
0.177	-494.797596356271	434.502799394669	75.9844434881902
0.178	-379.892817721829	474.913963748141	-97.7115545860869
