"Time [s]"	"Pem [kW]"
0	0
0.001	0.0220378432278893
0.002	0.489987912304816
0.003	2.30476833839647
0.004	4.81706687913118
0.005	4.1615701115409
0.006	-2.035355969146
0.007	-6.83724921989272
0.008	-2.91483104153529
0.009	1.27213006921303
0.01	-0.535920994421502
0.011	-0.7107803151312
0.012	1.453068251021
0.013	2.26999090812512
0.014	1.51616108489084
0.015	0.662832725764542
0.016	0.325253447433899
0.017	0.230723703533241
0.018	1.04127647391446
0.019	2.00137932108593
0.02	3.0325911772606
0.021	5.62255278746951
0.022	9.67454065848476
0.023	18.0879458404546
0.024	16.8221401653395
0.025	-15.2678828750456
0.026	-17.0875360454613
0.027	-6.47671666338983
0.028	3.38691853491462
0.029	10.3072056339108
0.03	-9.07666427320225
0.031	-18.9849746528869
0.032	-9.21619160351304
0.033	1.76821797131854
0.034	2.41016703038797
0.035	-0.13531905859815
0.036	1.61508949056153
0.037	7.1173896033505
0.038	2.81701471914534
0.039	-4.54191094539059
0.04	0.200481477743488
0.041	4.5011567207209
0.042	-7.32344425850825
0.043	-6.82213513694391
0.044	-1.58782960335451
0.045	0.0884288079699121
0.046	2.49560982993834
0.047	8.2722901359244
0.048	-3.96364250336479
0.049	-6.115880441233
0.05	-1.00045851858442
0.051	0.101694077150245
0.052	2.14238226885173
0.053	11.1257494330602
0.054	13.3805586081718
0.055	-0.285664183991492
0.056	12.7220003753046
0.057	11.1037927333679
0.058	-0.00687093730670136
0.059	16.5107583614506
0.06	-9.43742439346496
0.061	12.9469180618262
0.062	-14.2918149112198
0.063	-1.88323205705708
0.064	5.12656769031241
0.065	-24.7387038302591
0.066	4.94067240247524
0.067	-2.2215110745412
0.068	-21.1186662225384
0.069	-1.77785225151605
0.07	14.8502067512491
0.071	-9.55294189090494
0.0720000000000001	-8.95952908603627
0.0730000000000001	3.58764300076
0.0740000000000001	16.3960838745771
0.0750000000000001	-2.03860700739582
0.0760000000000001	3.31402169578814
0.0770000000000001	19.5291612209325
0.0780000000000001	0.321611473777047
0.0790000000000001	18.3085670992752
0.0800000000000001	2.88972406007883
0.0810000000000001	12.8892151422138
