"Time [s]"	"FluxLinkage(Phase_A) [Wb]"	"FluxLinkage(Phase_C) [Wb]"	"FluxLinkage(Phase_B) [Wb]"
0.0750000000000001	0.478478002116095	-1.27865105154725	0.72456960328317
0.0760000000000001	0.149674256292017	-1.08836475325424	0.786540635195015
0.0770000000000001	-0.144258991276276	-0.818819894241456	0.856169082268786
0.0780000000000001	-0.263480420192671	-0.574017131298739	0.936665722769897
0.0790000000000001	-0.376596155421928	-0.237676461392431	0.754277099224179
0.0800000000000001	-0.569397326939925	-0.0686359166702442	0.571215619679117
0.0810000000000001	-0.531593844495571	0.109088470789281	0.28143334851608
0.0820000000000001	-0.439843228497692	0.355638767988758	0.119921323583183
0.0830000000000001	-0.307547639330757	0.374366131668859	-0.147374104375452
0.0840000000000001	-0.0908495182888051	0.453531000103392	-0.341405516549469
0.0850000000000001	0.202682553069676	0.408682220549024	-0.419567688301835
0.0860000000000001	0.364504481582733	0.253068312431088	-0.611303653120891
0.0870000000000001	0.585094110371905	0.0681602824872758	-0.578135499711199
0.0880000000000001	0.760742208341046	-0.171903782245662	-0.590797465014794
0.0890000000000001	0.794253815564164	-0.460654331037561	-0.464416533200087
0.0900000000000001	0.928036634244308	-0.661148412103798	-0.264902570824676
0.0910000000000001	0.833384588947548	-0.840071592637909	-0.0476863831466006
0.0920000000000001	0.763640963932896	-1.0340390334604	0.245877323642144
0.0930000000000001	0.60099962615134	-1.00921563682653	0.510427403778716
0.0940000000000001	0.324274887427528	-1.0919660769437	0.769715275274637
0.0950000000000001	0.0741771615245821	-0.971138888108028	0.872369878339941
0.0960000000000001	-0.242562485367041	-0.823019142170961	1.07289521113889
0.0970000000000001	-0.499129143352485	-0.616982637917553	1.00193441218496
0.0980000000000001	-0.728167021849132	-0.322419345606816	1.064339803431
0.0990000000000001	-0.80766291865659	0.0378847676826211	0.866896836136325
0.1	-0.974764329468274	0.23949083463039	0.711785216750565
0.101	-0.877912387278382	0.552481133785735	0.373212857889039
0.102	-0.86471146226006	0.635610719499084	0.0893074663395994
0.103	-0.651133499854064	0.85898353180512	-0.163619208362185
0.104	-0.359789921762015	0.794080167798397	-0.429343184694385
0.105	-0.109036763680404	0.83128174631489	-0.565933842469831
0.106	0.122350989338622	0.658780121097472	-0.812428876797776
0.107	0.439533862243158	0.403280796224035	-0.785248760900983
0.108	0.55950978611212	0.116725814049138	-0.817970739481592
0.109	0.751373996894865	-0.0997300672213136	-0.778355321064073
0.11	0.928285977475862	-0.344181644988139	-0.540078750193499
0.111	0.86714971040852	-0.640781155445471	-0.266855863165463
0.112	0.791598884718851	-0.762170491046297	0.0557388662680165
0.113	0.660750878447232	-0.85013044543824	0.328450423732019
0.114	0.410813628231573	-0.921796629020013	0.53977142855775
0.115	0.0931278544157518	-0.905116274893392	0.720421044594575
0.116	-0.22713236392388	-0.772319210943204	0.86808683926852
0.117	-0.529849905627418	-0.534484027279424	0.962832037995588
0.118	-0.779825304918381	-0.261402535317376	0.999812548422768
0.119	-0.938910608288859	0.0598059486610187	0.935393254968148
0.12	-1.01769182108687	0.39123670173658	0.682819659770257
0.121	-1.01285967739565	0.681520493271218	0.322716060595413
0.122	-0.90548311009876	0.935973558619867	-0.0734940720798274
0.123	-0.73715832185107	1.13382574818941	-0.377419445905122
0.124	-0.419467635657562	1.14046487771233	-0.65692304330869
