"Slice []"	"Time [ns]"	"Distance [mm]"	"Flux_Lines []"	"Mag_B [tesla]"	"Br []"	"Bt []"
1	2000000000	0	0.0112874135365741	0.242145963400248	0.288605024752882	-0.133847556745375
1	2000000000	0.513618	0.0114575728294315	0.602727347825359	0.524006084832889	-0.198193603530268
1	2000000000	1.027236	0.0118404043203455	0.992454581057653	0.966678165606772	-0.221370663528107
1	2000000000	1.540854	0.0124504767150183	1.31674334111036	1.40878939443782	-0.265827249964944
1	2000000000	2.054472	0.0130956765601019	1.14925495615559	0.830854716740757	-0.508666463019601
1	2000000000	2.56809	0.0134548832702591	0.591378026675938	0.568906182822225	-0.18404858262117
1	2000000000	3.081708	0.0136811392570971	0.385645310876125	0.313176400766673	0.146107593587447
1	2000000000	3.595326	0.0138347888021431	0.471460172864227	0.523167396309196	0.190802668612903
1	2000000000	4.108944	0.01415635157261	0.721304293311	0.728495568142308	0.0290330295203825
1	2000000000	4.622562	0.0145825761080092	0.935579829915465	0.93065281596343	-0.151094536101703
1	2000000000	5.13618	0.015107679235438	1.06511452254191	1.05720204092149	0.0263059143626023
1	2000000000	5.649798	0.0156547174680738	1.07600940407702	1.07291867067324	0.0121143522216114
1	2000000000	6.163416	0.016209784079315	1.08584543399714	1.08847014289859	-0.000123843607597
1	2000000000	6.677034	0.0167728044174312	1.09593644793423	1.10389625448364	-0.0104081723052938
1	2000000000	7.190652	0.0173244744016429	1.07800187565815	1.07323993058734	-0.00267117623742484
1	2000000000	7.70427	0.0178755768772123	1.07205848342501	1.07277266800553	0.0042225733324292
1	2000000000	8.217888	0.0184264951107906	1.07814550535507	1.07252378688774	0.0115232454649785
1	2000000000	8.731506	0.0189852292455758	1.08700739469503	1.0899869984945	-0.00503082912668349
1	2000000000	9.245124	0.0195445353565349	1.08840921947717	1.08798774793658	0.00735772200828634
1	2000000000	9.758742	0.0201028971108313	1.08162329936935	1.08631077758926	0.0200661624232277
1	2000000000	10.27236	0.0206238520891577	0.87720342739467	0.883929117260455	0.0929062769040325
1	2000000000	10.785978	0.0210048935948654	0.608989939865586	0.599857036445298	0.0988200437873027
1	2000000000	11.299596	0.0212400839551449	0.366597554956635	0.316031598744593	0.114445444115781
1	2000000000	11.813214	0.0214016880898498	0.433457881648294	0.416676885687047	0.195433066439415
1	2000000000	12.326832	0.0216587202304879	0.60851793799873	0.583133169021554	-0.147418206637426
1	2000000000	12.84045	0.0219996088900621	0.617911211323862	0.743220370446406	-0.485312000078248
1	2000000000	13.354068	0.0223288750274006	0.479264938756517	0.397190021232924	-0.257184105238594
1	2000000000	13.867686	0.0225281226257656	0.364868864528752	0.379390533429732	-0.030572976405396
