"Time [s]"	"Pro [W]"
0.309	104.187916950382
0.31	104.527834932553
0.311	104.809295754045
0.312	104.948013999976
0.313	104.97571966009
0.314	104.941480072953
0.315	104.926447433342
0.316	104.925872678186
0.317	104.808996060986
0.318	104.515292722592
0.319	104.146134468044
0.32	103.88601667433
0.321	103.696776450258
0.322	103.392837111416
0.323	102.933710487275
0.324	102.444431673875
0.325	102.099879859487
0.326	101.859934201127
0.327	101.529559958222
0.328	101.078029678801
0.329	100.653914757463
0.33	100.411126950345
0.331	100.283408181515
0.332	100.126283938132
0.333	99.9167319513725
0.334	99.7090707089951
0.335	99.6481700890304
0.336	99.7100481472431
0.337	99.7442820369179
0.338	99.7658693304727
0.339	99.8641614849183
0.34	100.07414579345
0.341	100.320452543165
0.342	100.515382145954
0.343	100.704140870528
0.344	100.987243445489
0.345	101.376575467747
0.346	101.768571397671
0.347	102.051329172775
0.348	102.250540593487
0.349	102.505288628029
0.35	102.854293603082
0.351	103.176043672605
0.352	103.376159078935
0.353	103.497040419999
0.354	103.636670130766
0.355	103.822150945689
0.356	103.983642865612
0.357	104.028038980038
0.358	103.962127146072
0.359	103.856633759849
0.36	103.788892139447
0.361	103.749315037314
0.362	103.648002093692
0.363	103.433636461977
0.364	103.139069542291
0.365	102.927718358024
0.366	102.804483214343
0.367	102.600684324361
0.368	102.271209537172
0.369	101.909802191483
0.37	101.678528400649
0.371	101.551820632786
0.372	101.386497255212
0.373	101.138475167161
0.374	100.857681855906
0.375	100.711074539394
0.376	100.682278284466
0.377	100.621695695006
0.378	100.51319317797
0.379	100.425057695209
0.38	100.453901793283
0.381	100.560085430333
0.382	100.635339127345
0.383	100.68876000204
0.384	100.798996758389
0.385	101.008644303733
0.386	101.240147154452
0.387	101.398546662829
0.388	101.506119504989
0.389	101.674485278194
0.39	101.936182497101
0.391	102.18926760219
0.392	102.357540170469
0.393	102.473177718433
0.394	102.62648552311
0.395	102.84735278834
0.396	103.05271652411
0.397	103.152006261108
0.398	103.170745987766
0.399	103.189177823072
0.4	103.246787365593
0.401	103.31459351123
0.402	103.324900070261
0.403	103.248306205727
0.404	103.117417341884
0.405	103.046707268392
0.406	103.026708156608
0.407	102.926939415076
0.408	102.724426681014
0.409	102.472109771922
0.41	102.302969007481
0.411	102.220956597097
0.412	102.110760197624
0.413	101.915641241336
0.414	101.656803535785
0.415	101.505867468376
0.416	101.464559277521
0.417	101.380079912657
0.418	101.223295212602
0.419	101.060281475806
0.42	101.012172727226
0.421	101.045912935299
0.422	101.050525219083
0.423	101.024355811565
0.424	101.022134379235
0.425	101.104455044675
0.426	101.228635331865
0.427	101.29645370789
0.428	101.318185667183
0.429	101.392495843144
0.43	101.54798595602
0.431	101.720383582668
0.432	101.841385984054
0.433	101.919355278311
0.434	102.031909160015
0.435	102.219049632022
0.436	102.410979012218
0.437	102.512525088993
0.438	102.545935367288
0.439	102.598187695748
0.44	102.700603297754
0.441	102.815057763633
0.442	102.871307434869
0.443	102.851426715157
0.444	102.814820640297
0.445	102.839692598482
0.446	102.896108338157
0.447	102.869326782243
0.448	102.753415136963
0.449	102.608476070184
0.45	102.517800525261
0.451	102.486393037377
0.452	102.42935496987
