"Time [s]"	"Current(Phase_A) [A]"	"Current(Phase_C) [A]"	"Current(Phase_B) [A]"
0	0	0	0
0.001	8.47095078911141	25.6440198716001	-34.1149706607115
0.002	30.283905334006	49.642634272008	-79.926539606014
0.003	62.2420612722057	59.6897192450891	-121.931780517295
0.004	100.292958376583	54.0228393215729	-154.315797698156
0.005	139.207495450134	35.5182723947505	-174.725767844885
0.006	175.384750172475	6.66810030239691	-182.052850474872
0.007	206.807524039955	-31.9797164947634	-174.827807545192
0.008	228.070241846606	-76.623430972423	-151.446810874183
0.009	234.092946478859	-121.563194016748	-112.529752462111
0.01	223.118328000683	-160.236362076965	-62.8819659237182
0.011	197.052197888936	-185.954116941597	-11.0980809473398
0.012	158.620739470911	-196.695431393625	38.0746919227137
0.013	111.245087345099	-191.452912948496	80.207825603397
0.014	58.2074962953437	-171.851119321298	113.643623025954
0.015	8.54795546820508	-140.533118277187	131.985162808982
0.016	-35.7869362953145	-100.046754918454	135.833691213768
0.017	-71.5247437578492	-54.5345286202506	126.0592723781
0.018	-95.954783978172	-7.99128279746282	103.946066775635
0.019	-106.116611114704	34.2490744988235	71.8675366158807
0.02	-103.913711817217	71.6715997395439	32.2421120776732
0.021	-88.6370680172189	98.6542559305969	-10.017187913378
0.022	-58.8449690298026	113.105220628256	-54.2602515984536
0.023	-18.6147498212377	110.748655500944	-92.1339056797067
0.024	20.2216421242343	94.0176669351172	-114.239309059351
0.025	55.088153959128	77.5326886215692	-132.620842580697
0.026	106.438843641466	41.3277566639619	-147.766600305428
0.027	150.388902969458	-9.34668896252641	-141.042214006931
0.028	176.702922929488	-62.0455729929019	-114.657349936586
0.029	183.860780554947	-111.967306652304	-71.8934739026433
0.03	178.658202940135	-147.511948717565	-31.1462542225708
0.031	163.881567625019	-173.734182574235	9.85261494921687
0.032	133.786343230298	-188.713649777888	54.9273065475896
0.033	88.2334672313299	-186.044913450229	97.8114462188986
0.034	34.0116432364615	-165.690198287025	131.678555050563
0.035	-14.2812223632583	-134.703716614353	148.984938977611
0.036	-55.4221716946178	-97.156953476432	152.57912517105
0.037	-86.9534244388572	-54.3328493934881	141.286273832345
0.038	-113.704829033319	0.644034328976041	113.060794704343
0.039	-128.782174483572	54.0064675819912	74.7757069015804
0.04	-127.359220615048	89.1412455985381	38.2179750165102
0.041	-112.119640687275	115.201450381673	-3.08180969439812
0.042	-77.4829085758356	134.489949437507	-57.0070408616711
0.043	-36.9793784091504	140.26141746832	-103.28203905917
0.044	2.30616218165859	131.418058046922	-133.72422022858
0.045	43.6443642697378	108.620359315296	-152.264723585034
0.046	83.8368993797558	73.5256158714397	-157.362515251195
0.047	115.787042115241	31.161286522245	-146.948328637486
0.048	142.739734032773	-22.9492954960776	-119.790438536695
0.049	156.645001773298	-70.7432074620183	-85.9017943112799
0.05	153.715593727125	-108.452115493123	-45.2634782340023
0.051	136.294867499767	-135.067172282511	-1.22769521725616
0.052	106.852686734481	-149.095998259502	42.2433115250206
0.053	68.4206060223941	-146.96389935176	78.5432933293658
0.054	16.1583989229776	-124.914131873974	108.755732950997
0.055	-35.6157824552531	-93.3133371385169	128.92911959377
0.056	-70.4490005092243	-63.9321965756233	134.381197084848
0.057	-103.770908096032	-13.6491714538724	117.420079549904
0.058	-129.775460619807	37.2370623796118	92.5383982401956
0.059	-138.320521698915	75.7005235032822	62.6199981956324
0.06	-130.53387948112	123.484621081864	7.04925839925539
0.061	-117.964786565853	147.820045214612	-29.8552586487588
0.062	-76.8878416090214	163.728736426132	-86.8408948171102
0.063	-39.6997251988593	168.40137530553	-128.701650106671
0.064	3.09768153937553	152.983609255464	-156.08129079484
0.065	61.3373687679189	122.484547151286	-183.821915919205
0.066	95.5476981710013	93.499857974088	-189.047556145089
0.067	130.649050617725	43.9547978302352	-174.603848447961
0.068	164.162251208935	-13.2889787999621	-150.873272408973
0.069	173.091511750902	-50.5313805496969	-122.560131201205
0.07	163.180594118794	-81.365032707021	-81.8155614117731
0.071	138.556189937532	-114.659844263071	-23.8963456744607
0.0720000000000001	111.389653090053	-135.379482003102	23.989828913049
0.0730000000000001	77.5459994768694	-135.977594454889	58.43159497802
0.0740000000000001	35.2878599473314	-118.070808496142	82.7829485488111
0.0750000000000001	-21.821963587477	-82.3736040820365	104.195567669513
0.0760000000000001	-58.1720233531317	-56.1727251774971	114.344748530629
0.0770000000000001	-83.1142706256414	-19.8772042943156	102.991474919957
0.0780000000000001	-109.008531170119	36.4082474136885	72.6002837564304
0.0790000000000001	-121.022081140859	69.8049972915922	51.2170838492663
0.0800000000000001	-107.631867410573	108.161312178747	-0.529444768173676
0.0810000000000001	-96.6486098031418	136.10617884506	-39.4575690419186
0.0820000000000001	-56.9240938019903	144.849312178064	-87.9252183760737
0.0830000000000001	-19.1911948444686	148.397866054728	-129.206671210259
0.0840000000000001	29.7537761612768	127.365167368695	-157.118943529972
0.0850000000000001	75.5203456984005	103.924200530098	-179.444546228499
0.0860000000000001	120.185971047162	58.0668753950667	-178.252846442229
0.0870000000000001	157.631310181546	14.6857667851869	-172.317076966732
0.0880000000000001	176.560832251587	-35.5408236210577	-141.020008630529
0.0890000000000001	191.583672907569	-80.4828843061996	-111.100788601369
0.0900000000000001	178.625466621564	-117.116009242721	-61.5094573788432
0.0910000000000001	164.904517534258	-150.787074764738	-14.1174427695201
0.0920000000000001	127.636246680114	-156.119428251674	28.48318157156
0.0930000000000001	90.2487436449478	-164.900384021039	74.6516403760908
0.0940000000000001	45.6194541477004	-142.152031486805	96.5325773391046
0.0950000000000001	-4.48688250111809	-121.909416768382	126.3962992695
0.0960000000000001	-38.3940694457475	-81.3824420502914	119.776511496039
0.0970000000000001	-78.5314103856202	-42.2246350268316	120.756045412452
0.0980000000000001	-92.2222463184474	4.2280831601163	87.9941631583311
0.0990000000000001	-108.256463201167	38.3052796292844	69.951183571883
0.1	-95.2621851966935	78.1867186197964	17.0754665768971
0.101	-86.6761744721361	95.1716818020043	-8.49550732986822
0.102	-54.0221378304694	112.905933722544	-58.8837958920744
0.103	-13.6726444279608	102.96933998977	-89.2966955618097
0.104	16.7347226946317	99.4491909287641	-116.183913623396
0.105	68.802207033889	64.6607017413023	-133.462908775191
0.106	103.423582825655	23.8348949374787	-127.258477763133
0.107	128.557141446408	-5.73061074897137	-122.826530697437
0.108	151.651400149594	-53.7397024899687	-97.9116976596253
0.109	151.848056001033	-101.104109289474	-50.7439467115595
0.11	136.982590240998	-127.912636257633	-9.06995398336514
0.111	119.627326098759	-144.694563124523	25.0672370257641
0.112	91.0083371043399	-156.501563555243	65.4932264509034
0.113	47.6862637702152	-152.040865740185	104.354601969969
0.114	1.38742632291509	-132.306059563348	130.918633240433
0.115	-40.348210200424	-101.833058424943	142.181268625367
0.116	-74.9117541110688	-63.9232929505365	138.835047061605
0.117	-98.193503469304	-23.1422858673213	121.335789336625
0.118	-110.826087037091	21.8711459047976	88.954941132293
0.119	-113.023755849098	61.3256319198089	51.6981239292889
0.12	-106.893528652189	86.2958829209318	20.5976457312572
0.121	-90.574764129958	99.3495630078242	-8.77479887786625
0.122	-64.0987108863798	98.8482641494061	-34.7495532630263
0.123	-22.3823271039106	87.597003045662	-65.2146759417514
0.124	8.85704275558161	78.6035774629008	-87.4606202184824
0.125	30.2487159675365	64.6908998786241	-94.9396158461606
0.126	48.0175400459032	39.0963159333218	-87.1138559792251
0.127	72.546986429688	0.126442093531551	-72.6734285232195
0.128	87.4105750826139	-20.1242183070752	-67.2863567755387
0.129	85.9632378453953	-34.4189441107164	-51.544293734679
0.13	71.9975469092911	-54.1707172389754	-17.8268296703157
0.131	71.7252749775244	-74.9754328986912	3.25015792116686
0.132	61.9131717354993	-77.8570097689842	15.943838033485
0.133	34.7017969058339	-67.7687833404808	33.0669864346468
0.134	16.0009902684841	-73.4517006969454	57.4507104284613
0.135	4.56592883705644	-68.1410303793021	63.5751015422457
0.136	-11.8008710483852	-46.275981160537	58.0768522089222
0.137	-39.0755215488001	-30.4080842711391	69.4836058199393
0.138	-48.463134957588	-20.0260290597291	68.4891640173171
0.139	-47.5424260269282	-5.38815943056778	52.9305854574959
0.14	-60.1199874296663	22.2602206480094	37.8597667816569
0.141	-65.6879130112396	37.1713914224837	28.5165215887559
0.142	-57.3593587345745	42.1159845291362	15.2433742054383
0.143	-40.5644413098955	46.5961444778839	-6.0317031679884
0.144	-29.481752117553	59.4052541966043	-29.9235020790513
0.145	-17.5786936509953	59.6953515006981	-42.1166578497028
0.146	-4.15158776116569	50.229165172631	-46.0775774114653
0.147	13.1009115169776	32.737407168399	-45.8383186853766
0.148	36.1043368721475	16.0097093165388	-52.1140461886863
0.149	50.2389823568321	0.633400498662054	-50.8723828554941
0.15	54.9665368386957	-12.9453366185178	-42.0212002201778
0.151	52.078323509707	-23.8647737283855	-28.2135497813215
0.152	42.9177114936679	-31.4636829188997	-11.4540285747681
0.153	31.9372372303407	-39.641631552535	7.70439432219428
0.154	20.3139887558499	-45.7859574946895	25.4719687388396
0.155	6.70079501994388	-44.2996256281368	37.5988306081929
0.156	-6.90322689673072	-36.920185445677	43.8234123424077
0.157	-18.4346912451324	-24.9676377598193	43.4023290049518
0.158	-26.9737048523636	-10.7585019241281	37.7322067764917
0.159	-30.0518287996959	1.81788494006734	28.2339438596286
0.16	-28.5831387281223	13.3207412697995	15.2623974583229
0.161	-23.7046977905409	22.7684915830644	0.936206207476509
0.162	-16.047804412957	29.0828814305594	-13.0350770176024
0.163	-6.94934745445615	31.2323973088749	-24.2830498544187
0.164	3.48915767486877	28.4175615817003	-31.906719256569
0.165	13.8761750186343	21.0194201827008	-34.8955952013352
0.166	22.3228566521556	10.5834993695967	-32.9063560217524
0.167	26.7244880494924	-1.65725748289245	-25.0672305666
0.168	28.403644223993	-14.5529828019072	-13.8506614220858
0.169	28.7728450897767	-25.8753371235273	-2.89750796624938
0.17	28.3766113286679	-34.11596029722	5.73934896855205
0.171	23.3862425827014	-37.0969375894977	13.7106950067963
0.172	14.2560789456878	-33.72086264224	19.4647836965522
0.173	1.61388227572903	-24.9443799019437	23.3304976262146
0.174	-10.5338542500705	-17.8271218349634	28.3609760850339
0.175	-18.5700948775352	-14.430494276627	33.0005891541621
0.176	-21.4755747954149	-10.0379249962152	31.5134997916301
0.177	-20.3373708647979	-2.91610593695526	23.2534768017532
0.178	-21.8769716369249	7.48800866639676	14.3889629705282
0.179	-26.7996261488663	15.8483619591772	10.9512641896891
0.18	-27.0161663441359	17.3305915014813	9.68557484265454
0.181	-20.9755933967954	15.5479880387587	5.42760535803669
0.182	-14.1073207131774	18.4248027475554	-4.31748203437797
0.183	-11.9004245989625	23.9667723376076	-12.0663477386451
0.184	-11.8726207971319	25.7627571642884	-13.8901363671565
0.185	-7.53261822410333	21.6031148398232	-14.0704966157199
0.186	2.14972078666316	15.8874784671952	-18.0371992538584
0.187	10.5078822058128	13.8421022495806	-24.3499844553934
0.188	14.2917856393033	12.5338770680213	-26.8256627073246
0.189	16.6122086198841	7.61312692893966	-24.2253355488238
0.19	19.2134778578643	-1.3962579814954	-17.8172198763689
0.191	24.7546729232968	-11.8909443691277	-12.8637285541692
0.192	27.6305631389332	-18.8172800204152	-8.81328311851804
0.193	25.6462335884293	-21.9651166808913	-3.68111690753792
0.194	18.9937453297028	-21.9388458712493	2.94510054154654
0.195	9.21403948584938	-21.0999883721635	11.8859488863141
0.196	0.642180611461029	-21.4876357271761	20.8454551157151
0.197	-5.80909352717917	-19.531469141579	25.3405626687581
0.198	-10.777678813263	-14.0455492595885	24.8232280728515
