"Time [s]"	"Pout [kW]"	"Pin [kW]"
0	0	0
0.001	0.0220370883825438	29.9417270812599
0.002	0.489962343029904	66.1865335000509
0.003	2.30457205888142	94.6394859868695
0.004	4.81639131841299	112.01809064196
0.005	4.16025476551632	117.640629617156
0.006	-2.03682888985283	112.505463358887
0.007	-6.83804884036788	100.423656687205
0.008	-2.91492471262486	83.7530476066563
0.009	1.27208208067018	65.3232841265246
0.01	-0.536056465956166	47.4995680518146
0.011	-0.710796720473811	29.6787450373023
0.012	1.45300259490109	13.8786062183838
0.013	2.26965025088146	1.85161751308382
0.014	1.51554778379195	-3.7379339824649
0.015	0.66206653195655	-7.22365458819206
0.016	0.324419155109905	-6.80139008699938
0.017	0.229851365361193	-2.89117814032047
0.018	1.04031837608145	3.47867762820508
0.019	2.00021563763847	10.2556586720594
0.02	3.03108595075429	19.2377920920497
0.021	5.62046547942232	27.2792748314732
0.022	9.67142322249662	36.8333041248091
0.023	18.0829689671986	45.4566685714889
0.024	16.8147403825629	47.6514129513141
0.025	-15.2753964076139	46.5535644847514
0.026	-17.0928034916826	57.0364366045598
0.027	-6.48042102192199	65.0497809167242
0.028	3.38341683049477	67.0051861429404
0.029	10.3027906976464	66.6090306798328
0.03	-9.08116959584925	56.7752504556752
0.031	-18.9874044744649	42.3922795693724
0.032	-9.21664219251559	29.7159136850373
0.033	1.76819063424253	21.0816752297615
0.034	2.40973509280975	17.4988409404074
0.035	-0.135922478924658	12.0686891541555
0.036	1.61438912172417	6.89068474190904
0.037	7.11613409520756	3.34808908562559
0.038	2.8150362602021	12.106281545569
0.039	-4.54376256295738	23.9930374152542
0.04	0.198914455182609	24.8456510646362
0.041	4.4992804598223	25.607096936211
0.042	-7.32510159234736	37.1006792584722
0.043	-6.82277601446812	44.5619908206716
0.044	-1.58795614821728	41.8291341566215
0.045	0.0883818032070257	36.882715800109
0.046	2.49542519008546	32.5696885556481
0.047	8.27142065500633	28.0824556625511
0.048	-3.96488443983972	32.6766025179032
0.049	-6.11635387103399	33.8726751165453
0.05	-1.00051705211826	30.8299685909029
0.051	0.101677796642005	26.5123822615197
0.052	2.14225325307258	22.4498239473392
0.053	11.12482727132	17.8937911927894
0.054	13.3778787907745	22.2438121481882
0.055	-0.289318897999315	30.0979703628407
0.056	12.7175367662608	26.7209692647491
0.057	11.0976787728388	33.3576321445005
0.058	-0.0137677911132491	42.6336536043015
0.059	16.5027719361441	42.1910048156751
0.06	-9.44592190986385	56.809241820722
0.061	12.93819150515	51.6400147292892
0.062	-14.300442832841	60.7135548333782
0.063	-1.89077802700437	58.0620980411183
0.064	5.11880394701578	49.0875255266592
0.065	-24.7450131285929	51.8346131979809
0.066	4.93561192219081	34.1931135316682
0.067	-2.2267617113228	26.6432239004159
0.068	-21.1221689563911	27.2354054717139
0.069	-1.77993373581456	11.7784338026959
0.07	14.8473177629044	-0.219814612553882
0.071	-9.55625046111035	5.93356882550149
0.0720000000000001	-8.9615549193033	7.57693923648039
0.0730000000000001	3.58594778790244	2.73658370703584
0.0740000000000001	16.3931173350988	1.92151186156761
0.0750000000000001	-2.04266167156831	18.4411732113435
0.0760000000000001	3.30988215561406	21.0446074649128
0.0770000000000001	19.523533806315	21.5869000365265
0.0780000000000001	0.314545621137965	39.8611305902896
0.0790000000000001	18.3002734182854	40.2292118475861
0.0800000000000001	2.87993305374709	53.0306201897303
0.0810000000000001	12.8783615743955	56.2267557618842
0.0820000000000001	4.56800376943389	63.6058635198576
0.0830000000000001	8.91423352570407	66.4915267135547
0.0840000000000001	1.58287270728007	66.8053193356175
0.0850000000000001	5.34365492193629	63.820277695085
0.0860000000000001	-4.35393870849826	60.9649897383372
0.0870000000000001	5.92255010934501	54.14008811512
0.0880000000000001	-7.27019226028983	46.0666580767926
0.0890000000000001	1.33155788595083	35.8231431992694
0.0900000000000001	-5.74275914811699	27.1306412319281
0.0910000000000001	-2.96837942005339	20.3544546014121
0.0920000000000001	6.93600657929012	9.4670460836405
0.0930000000000001	-8.55646532976123	6.99816078368828
0.0940000000000001	17.0310247094864	-0.678348202285153
0.0950000000000001	-6.18716362187688	3.7917475689263
0.0960000000000001	15.9529193390271	0.528974758431163
0.0970000000000001	3.68964138232504	6.95027034777875
0.0980000000000001	1.69495679414504	12.7444742483638
0.0990000000000001	19.2285710527224	13.5858745614397
0.1	-12.8343897584409	29.8164047011692
0.101	35.5010975429089	25.4692527615688
0.102	3.39523006613672	40.9752638919362
0.103	5.52866982179479	45.7908485285546
0.104	41.6000785060277	45.9610329358845
0.105	0.358512025419546	58.1429536415706
0.106	0.386188945731132	60.3424604734349
0.107	54.4864725292487	54.3107722673774
0.108	30.7146624192785	57.8929140027188
0.109	-13.4726663729968	63.0222605016883
0.11	-5.86819278162912	57.9837819060652
0.111	52.3013499819119	47.5338000369394
0.112	70.6556235498621	42.4204649104745
0.113	59.9913249862357	40.9276490595762
0.114	52.0626985226502	38.5714333234288
0.115	54.0777209882096	34.0972218238283
0.116	70.8829474715782	29.6375758756406
0.117	88.9088723860353	25.6990593389772
0.118	37.3448808355003	28.5702823796383
0.119	-35.3042372029418	33.9826685206163
0.12	-13.1674807410226	32.0544116298842
0.121	36.7843813306423	26.519401431581
0.122	78.0261855040489	20.8948062335602
0.123	-0.202756310332573	28.5213972313108
0.124	-25.4722578007481	32.1561081072622
0.125	31.5039141848179	25.5624022257184
0.126	70.0487844381137	19.5635515366939
0.127	-36.5466957581104	28.7211301327397
0.128	-1.8718916482969	24.8028057100181
0.129	60.7250347197165	14.5020576094537
0.13	-9.84164609012029	17.7323164545903
0.131	-23.5461408243011	17.5680522451033
0.132	39.9521852028629	6.271657555405
0.133	7.51740318822881	5.19304631094467
0.134	-39.5675396901952	6.87602024529412
0.135	19.0598279985678	-3.85854756916507
0.136	16.965540993108	-6.24881720601925
0.137	-48.9511868360426	-1.93207614861694
0.138	-1.01058198160573	-10.8662207294651
0.139	24.0808843801928	-14.6459612537196
0.14	-50.6290536209562	-7.6110759496302
0.141	-24.8055057881008	-13.1378200492535
0.142	15.0926099555312	-17.8844356706186
0.143	-21.1137416949948	-12.64031432794
0.144	-45.9968974737701	-10.2267265291992
0.145	-16.922148103278	-14.8552962774274
0.146	9.65893588929625	-17.8569039307613
0.147	-8.38048491623131	-13.5773292860374
0.148	-42.1358341955784	-8.95615125036174
0.149	-33.0268514469454	-10.7803990788209
0.15	-10.7243600161798	-14.1862208218978
0.151	5.57155197498003	-15.6177851254588
0.152	8.28599006793309	-13.4199138387299
0.153	-15.2160577671037	-8.25680888964608
